Wavelength (nm), Reflectance 
300, 0.6812
301, 0.6864
302, 0.6914
303, 0.6962
304, 0.7009
305, 0.7055
306, 0.7100
307, 0.7145
308, 0.7189
309, 0.7234
310, 0.7278
311, 0.7322
312, 0.7365
313, 0.7406
314, 0.7446
315, 0.7483
316, 0.7518
317, 0.7549
318, 0.7578
319, 0.7603
320, 0.7625
321, 0.7644
322, 0.7661
323, 0.7675
324, 0.7687
325, 0.7696
326, 0.7704
327, 0.7709
328, 0.7713
329, 0.7715
330, 0.7716
331, 0.7716
332, 0.7715
333, 0.7713
334, 0.7711
335, 0.7707
336, 0.7702
337, 0.7696
338, 0.7689
339, 0.7681
340, 0.7671
341, 0.7660
342, 0.7647
343, 0.7633
344, 0.7618
345, 0.7601
346, 0.7584
347, 0.7565
348, 0.7547
349, 0.7528
350, 0.7510
351, 0.7491
352, 0.7472
353, 0.7452
354, 0.7431
355, 0.7409
356, 0.7386
357, 0.7361
358, 0.7334
359, 0.7305
360, 0.7275
361, 0.7243
362, 0.7211
363, 0.7178
364, 0.7146
365, 0.7113
366, 0.7080
367, 0.7047
368, 0.7013
369, 0.6979
370, 0.6943
371, 0.6906
372, 0.6868
373, 0.6827
374, 0.6786
375, 0.6744
376, 0.6704
377, 0.6666
378, 0.6631
379, 0.6600
380, 0.6575
381, 0.6553
382, 0.6534
383, 0.6516
384, 0.6499
385, 0.6482
386, 0.6467
387, 0.6453
388, 0.6440
389, 0.6429
390, 0.6420
391, 0.6411
392, 0.6403
393, 0.6395
394, 0.6388
395, 0.6382
396, 0.6377
397, 0.6373
398, 0.6370
399, 0.6368
400, 0.6368
401, 0.6369
402, 0.6372
403, 0.6375
404, 0.6379
405, 0.6384
406, 0.6390
407, 0.6396
408, 0.6403
409, 0.6410
410, 0.6418
411, 0.6427
412, 0.6437
413, 0.6447
414, 0.6458
415, 0.6470
416, 0.6483
417, 0.6496
418, 0.6511
419, 0.6525
420, 0.6541
421, 0.6557
422, 0.6574
423, 0.6591
424, 0.6609
425, 0.6628
426, 0.6647
427, 0.6667
428, 0.6688
429, 0.6710
430, 0.6733
431, 0.6758
432, 0.6783
433, 0.6809
434, 0.6837
435, 0.6866
436, 0.6896
437, 0.6926
438, 0.6956
439, 0.6987
440, 0.7017
441, 0.7047
442, 0.7076
443, 0.7104
444, 0.7131
445, 0.7156
446, 0.7179
447, 0.7201
448, 0.7222
449, 0.7242
450, 0.7260
451, 0.7277
452, 0.7293
453, 0.7308
454, 0.7322
455, 0.7336
456, 0.7349
457, 0.7361
458, 0.7373
459, 0.7385
460, 0.7397
461, 0.7408
462, 0.7419
463, 0.7431
464, 0.7443
465, 0.7455
466, 0.7467
467, 0.7480
468, 0.7493
469, 0.7507
470, 0.7521
471, 0.7536
472, 0.7551
473, 0.7566
474, 0.7582
475, 0.7597
476, 0.7613
477, 0.7630
478, 0.7646
479, 0.7662
480, 0.7679
481, 0.7695
482, 0.7712
483, 0.7728
484, 0.7744
485, 0.7761
486, 0.7777
487, 0.7792
488, 0.7808
489, 0.7823
490, 0.7838
491, 0.7853
492, 0.7867
493, 0.7881
494, 0.7894
495, 0.7907
496, 0.7919
497, 0.7931
498, 0.7942
499, 0.7953
500, 0.7963
501, 0.7974
502, 0.7983
503, 0.7993
504, 0.8001
505, 0.8010
506, 0.8018
507, 0.8026
508, 0.8034
509, 0.8041
510, 0.8048
511, 0.8055
512, 0.8062
513, 0.8068
514, 0.8074
515, 0.8080
516, 0.8086
517, 0.8092
518, 0.8097
519, 0.8103
520, 0.8108
521, 0.8113
522, 0.8118
523, 0.8123
524, 0.8128
525, 0.8133
526, 0.8138
527, 0.8143
528, 0.8148
529, 0.8153
530, 0.8158
531, 0.8163
532, 0.8168
533, 0.8172
534, 0.8177
535, 0.8182
536, 0.8187
537, 0.8191
538, 0.8196
539, 0.8200
540, 0.8205
541, 0.8209
542, 0.8213
543, 0.8217
544, 0.8221
545, 0.8225
546, 0.8229
547, 0.8233
548, 0.8236
549, 0.8240
550, 0.8243
551, 0.8247
552, 0.8250
553, 0.8253
554, 0.8256
555, 0.8258
556, 0.8261
557, 0.8263
558, 0.8265
559, 0.8268
560, 0.8270
561, 0.8272
562, 0.8273
563, 0.8275
564, 0.8277
565, 0.8278
566, 0.8279
567, 0.8281
568, 0.8282
569, 0.8283
570, 0.8284
571, 0.8284
572, 0.8285
573, 0.8286
574, 0.8286
575, 0.8287
576, 0.8287
577, 0.8287
578, 0.8287
579, 0.8288
580, 0.8288
581, 0.8288
582, 0.8287
583, 0.8287
584, 0.8287
585, 0.8287
586, 0.8286
587, 0.8286
588, 0.8285
589, 0.8285
590, 0.8284
591, 0.8284
592, 0.8283
593, 0.8282
594, 0.8281
595, 0.8280
596, 0.8279
597, 0.8278
598, 0.8277
599, 0.8276
600, 0.8275
601, 0.8273
602, 0.8272
603, 0.8270
604, 0.8269
605, 0.8267
606, 0.8265
607, 0.8263
608, 0.8262
609, 0.8260
610, 0.8257
611, 0.8255
612, 0.8253
613, 0.8251
614, 0.8248
615, 0.8246
616, 0.8243
617, 0.8241
618, 0.8238
619, 0.8235
620, 0.8232
621, 0.8229
622, 0.8226
623, 0.8223
624, 0.8219
625, 0.8216
626, 0.8212
627, 0.8209
628, 0.8205
629, 0.8201
630, 0.8198
631, 0.8194
632, 0.8190
633, 0.8185
634, 0.8181
635, 0.8177
636, 0.8173
637, 0.8168
638, 0.8163
639, 0.8159
640, 0.8154
641, 0.8149
642, 0.8144
643, 0.8139
644, 0.8134
645, 0.8129
646, 0.8124
647, 0.8118
648, 0.8113
649, 0.8107
650, 0.8102
651, 0.8096
652, 0.8090
653, 0.8084
654, 0.8078
655, 0.8072
656, 0.8066
657, 0.8060
658, 0.8054
659, 0.8048
660, 0.8041
661, 0.8035
662, 0.8029
663, 0.8022
664, 0.8016
665, 0.8009
666, 0.8003
667, 0.7996
668, 0.7990
669, 0.7983
670, 0.7977
671, 0.7970
672, 0.7964
673, 0.7958
674, 0.7951
675, 0.7945
676, 0.7938
677, 0.7932
678, 0.7926
679, 0.7919
680, 0.7913
681, 0.7907
682, 0.7900
683, 0.7894
684, 0.7888
685, 0.7882
686, 0.7875
687, 0.7869
688, 0.7863
689, 0.7856
690, 0.7850
691, 0.7844
692, 0.7837
693, 0.7831
694, 0.7824
695, 0.7817
696, 0.7811
697, 0.7804
698, 0.7797
699, 0.7790
700, 0.7783
701, 0.7775
702, 0.7768
703, 0.7761
704, 0.7753
705, 0.7745
706, 0.7738
707, 0.7730
708, 0.7721
709, 0.7713
710, 0.7705
711, 0.7696
712, 0.7688
713, 0.7679
714, 0.7671
715, 0.7662
716, 0.7653
717, 0.7644
718, 0.7635
719, 0.7625
720, 0.7616
721, 0.7607
722, 0.7598
723, 0.7588
724, 0.7579
725, 0.7569
726, 0.7559
727, 0.7550
728, 0.7540
729, 0.7530
730, 0.7521
731, 0.7511
732, 0.7501
733, 0.7491
734, 0.7482
735, 0.7472
736, 0.7462
737, 0.7452
738, 0.7443
739, 0.7433
740, 0.7423
741, 0.7413
742, 0.7404
743, 0.7394
744, 0.7384
745, 0.7375
746, 0.7365
747, 0.7356
748, 0.7346
749, 0.7336
750, 0.7327
751, 0.7317
752, 0.7308
753, 0.7298
754, 0.7289
755, 0.7280
756, 0.7270
757, 0.7261
758, 0.7251
759, 0.7242
760, 0.7232
761, 0.7223
762, 0.7214
763, 0.7204
764, 0.7195
765, 0.7185
766, 0.7176
767, 0.7166
768, 0.7156
769, 0.7147
770, 0.7137
771, 0.7127
772, 0.7117
773, 0.7107
774, 0.7097
775, 0.7087
776, 0.7076
777, 0.7065
778, 0.7055
779, 0.7044
780, 0.7032
781, 0.7021
782, 0.7009
783, 0.6998
784, 0.6986
785, 0.6973
786, 0.6961
787, 0.6948
788, 0.6935
789, 0.6922
790, 0.6908
791, 0.6894
792, 0.6881
793, 0.6867
794, 0.6853
795, 0.6839
796, 0.6825
797, 0.6811
798, 0.6798
799, 0.6784
800, 0.6771
801, 0.6758
802, 0.6745
803, 0.6733
804, 0.6721
805, 0.6710
806, 0.6699
807, 0.6688
808, 0.6678
809, 0.6669
810, 0.6660
811, 0.6652
812, 0.6644
813, 0.6637
814, 0.6631
815, 0.6625
816, 0.6619
817, 0.6614
818, 0.6610
819, 0.6606
820, 0.6602
821, 0.6598
822, 0.6595
823, 0.6592
824, 0.6589
825, 0.6586
826, 0.6584
827, 0.6581
828, 0.6579
829, 0.6577
830, 0.6575
831, 0.6573
832, 0.6572
833, 0.6570
834, 0.6569
835, 0.6568
836, 0.6567
837, 0.6566
838, 0.6566
839, 0.6566
840, 0.6565
841, 0.6565
842, 0.6566
843, 0.6566
844, 0.6566
845, 0.6567
846, 0.6568
847, 0.6569
848, 0.6571
849, 0.6572
850, 0.6574
851, 0.6576
852, 0.6578
853, 0.6581
854, 0.6583
855, 0.6586
856, 0.6589
857, 0.6593
