Time sep (s?), Charge (C)
1.995117, 4.416536e-11
2.124023, 3.756179e-11
2.253906, 4.260461e-11
2.385742, 3.480021e-11
2.518555, 4.140383e-11
2.649414, 4.020329e-11
2.780273, 3.335933e-11
2.916016, 3.251894e-11
3.049805, -1.804121e-09
3.182617, -5.002643e-09
3.31543, -8.293272e-09
3.447266, -1.16226e-08
3.586914, -1.517552e-08
3.719727, -1.858857e-08
3.852539, -2.200099e-08
3.982422, -2.424113e-08
4.114258, -2.423259e-08
4.246094, -2.423686e-08
4.378906, -2.42333e-08
4.516602, -2.423596e-08
4.650391, -2.423026e-08
4.780273, -2.424177e-08
4.911133, -2.423009e-08
5.050781, -2.650889e-08
5.207031, -3.022116e-08
5.366211, -3.414824e-08
5.503906, -3.764442e-08
5.648438, -4.134951e-08
5.801758, -4.527236e-08
5.949219, -4.836883e-08
6.094727, -4.837144e-08
6.229492, -4.836994e-08
6.361328, -4.836064e-08
6.495117, -4.836551e-08
6.626953, -4.836661e-08
6.771484, -4.836643e-08
6.914063, -4.836073e-08
7.063477, -5.134856e-08
7.211914, -5.484114e-08
7.363281, -5.85842e-08
7.504883, -6.21324e-08
7.648438, -6.577478e-08
7.796875, -6.951905e-08
7.935547, -7.231321e-08
8.064453, -7.231701e-08
8.198242, -7.231991e-08
8.327148, -7.231592e-08
8.509766, -7.23135e-08
8.639648, -7.230809e-08
8.771484, -7.231823e-08
8.902344, -7.231392e-08
9.038086, -7.389783e-08
9.169922, -7.706301e-08
9.301758, -8.03378e-08
9.438477, -8.377398e-08
9.573242, -8.718122e-08
9.710938, -9.072753e-08
9.844727, -9.419627e-08
9.980469, -9.653732e-08
10.13379, -9.653648e-08
10.28906, -9.65349e-08
10.43945, -9.652904e-08
10.59473, -9.652982e-08
10.74023, -9.65309e-08
10.88184, -9.653704e-08
11.04492, -9.653319e-08
11.19434, -9.653328e-08
11.3252, -9.653598e-08
11.45801, -9.653392e-08
11.59082, -9.653223e-08
11.72461, -9.653304e-08
11.86719, -9.653483e-08
12.00977, -9.653677e-08
12.15918, -9.653487e-08
12.29199, -9.653339e-08
