Time sep (ms?), Current (A)
0.0, -2.384e-08
2.002, -2.069e-08
4.004, -2.232e-08
6.006, -2.413e-08
8.008, -2.264e-08
10.01, -2.437e-08
12.012, -2.335e-08
14.014, -2.362e-08
16.016, -2.282e-08
18.018, -2.452e-08
20.02, -2.653e-08
22.022, -2.869e-08
24.024, -2.505e-08
26.026, -2.664e-08
28.028, -2.337e-08
30.03, -2.416e-08
32.032, -2.144e-08
34.034, -2.184e-08
36.036, -2.134e-08
38.038, -2.433e-08
40.04, -2.315e-08
42.042, -2.506e-08
44.044, -2.375e-08
46.046, -2.088e-08
48.048, -1.814e-08
50.05, -2.1e-08
52.052, -1.806e-08
54.054, -1.895e-08
56.056, -1.82e-08
58.058, -2.143e-08
60.06, -2.136e-08
62.062, -2.045e-08
64.064, -1.912e-08
66.066, -2.089e-08
68.068, -2.528e-08
70.07, -2.507e-08
72.072, -2.325e-08
74.074, -2.24e-08
76.076, -2.245e-08
78.078, -2.624e-08
80.08, -2.258e-08
82.082, -1.981e-08
84.084, -2.259e-08
86.086, -2.108e-08
88.088, -2.197e-08
90.09, -2.495e-08
92.092, -2.468e-08
94.094, -2.643e-08
96.096, -2.401e-08
98.098, -2.324e-08
100.1, -2.671e-08
102.1, -2.348e-08
104.1, -2.182e-08
106.11, -2.734e-08
108.11, -2.635e-08
110.11, -2.64e-08
112.11, -2.623e-08
114.11, -2.133e-08
116.12, -2.222e-08
118.12, -2.362e-08
120.12, -2.47e-08
122.12, -2.511e-08
124.12, -2.176e-08
126.13, -2.387e-08
128.13, -2.332e-08
130.13, -2.326e-08
132.13, -2.255e-08
134.13, -2.389e-08
136.14, -2.013e-08
138.14, -2.268e-08
140.14, -2.428e-08
142.14, -2.827e-08
144.14, -2.891e-08
146.15, -2.536e-08
148.15, -2.858e-08
150.15, -2.713e-08
152.15, -2.451e-08
154.15, -2.651e-08
156.16, -2.821e-08
158.16, -2.417e-08
160.16, -2.518e-08
162.16, -2.836e-08
164.16, -2.358e-08
166.17, -2.189e-08
168.17, -2.528e-08
170.17, -3.116e-08
172.17, -2.814e-08
174.17, -2.731e-08
176.18, -2.689e-08
178.18, -2.476e-08
180.18, -2.616e-08
182.18, -2.658e-08
184.18, -2.27e-08
186.19, -2.808e-08
188.19, -2.17e-08
190.19, -2.276e-08
192.19, -2.332e-08
194.19, -2.399e-08
196.2, -2.229e-08
198.2, -2.273e-08
200.2, -2.322e-08
202.2, -2.498e-08
204.2, -2.366e-08
206.21, -2.362e-08
208.21, -2.215e-08
210.21, -2.488e-08
212.21, -2.205e-08
214.21, -2.053e-08
216.22, -2.173e-08
218.22, -2.278e-08
220.22, -2.091e-08
222.22, -2.092e-08
224.22, -1.881e-08
226.23, -1.857e-08
228.23, -2.119e-08
230.23, -1.982e-08
232.23, -1.938e-08
234.23, -2.147e-08
236.24, -1.991e-08
238.24, -1.945e-08
240.24, -2.381e-08
242.24, -2.443e-08
244.24, -2.077e-08
246.25, -2.034e-08
248.25, -1.773e-08
250.25, -2.215e-08
252.25, -2.237e-08
254.25, -2.555e-08
256.26, -2.886e-08
258.26, -2.53e-08
260.26, -2.24e-08
262.26, -2.5e-08
264.26, -2.512e-08
266.27, -2.375e-08
268.27, -2.42e-08
270.27, -2.632e-08
272.27, -2.661e-08
274.27, -2.29e-08
276.28, -2.518e-08
278.28, -2.638e-08
280.28, -2.708e-08
282.28, -2.601e-08
284.28, -2.679e-08
286.29, -2.73e-08
288.29, -2.403e-08
290.29, -2.51e-08
292.29, -2.505e-08
294.29, -2.448e-08
296.3, -2.807e-08
298.3, -2.684e-08
300.3, -3.033e-08
302.3, -3.146e-08
304.3, -2.551e-08
306.31, -2.734e-08
308.31, -2.842e-08
310.31, -2.864e-08
312.31, -2.938e-08
314.31, -2.516e-08
316.32, -2.463e-08
318.32, -2.464e-08
320.32, -2.394e-08
322.32, -2.38e-08
324.32, -2.176e-08
326.33, -2.659e-08
328.33, -2.725e-08
330.33, -2.379e-08
332.33, -2.532e-08
334.33, -2.071e-08
336.34, -2.252e-08
338.34, -2.52e-08
340.34, -2.396e-08
342.34, -2.744e-08
344.34, -2.477e-08
346.35, -2.654e-08
348.35, -2.7e-08
350.35, -2.571e-08
352.35, -2.655e-08
354.35, -2.605e-08
356.36, -2.353e-08
358.36, -2.46e-08
360.36, -2.548e-08
362.36, -2.778e-08
364.36, -2.394e-08
366.37, -2.544e-08
368.37, -2.627e-08
370.37, -2.447e-08
372.37, -1.938e-08
374.37, -2.131e-08
376.38, -2.751e-08
378.38, -2.751e-08
380.38, -2.827e-08
382.38, -2.999e-08
384.38, -2.427e-08
386.39, -2.46e-08
388.39, -2.292e-08
390.39, -2.288e-08
392.39, -2.472e-08
394.39, -2.271e-08
396.4, -2.588e-08
398.4, -2.492e-08
400.4, -2.412e-08
402.4, -2.515e-08
404.4, -2.173e-08
406.41, -2.459e-08
408.41, -2.579e-08
410.41, -2.702e-08
412.41, -2.755e-08
414.41, -2.366e-08
416.42, -2.375e-08
418.42, -2.199e-08
420.42, -2.354e-08
422.42, -2.149e-08
424.42, -2.817e-08
426.43, -2.343e-08
428.43, -2.152e-08
430.43, -2.206e-08
432.43, -2.097e-08
434.43, -2.417e-08
436.44, -2.146e-08
438.44, -2.452e-08
440.44, -2.299e-08
442.44, -2.527e-08
444.44, -2.09e-08
446.45, -2.095e-08
448.45, -1.932e-08
450.45, -2.27e-08
452.45, -2.38e-08
454.45, -2.367e-08
456.46, -2.397e-08
458.46, -2.566e-08
460.46, -2.144e-08
462.46, -2.599e-08
464.46, -2.333e-08
466.47, -2.58e-08
468.47, -2.355e-08
470.47, -2.609e-08
472.47, -2.31e-08
