Time sep (s?), Charge (C)
2.056641, 4.296467e-11
2.195313, 3.323944e-11
2.331055, 3.119827e-11
2.464844, 3.900255e-11
2.594727, 2.951738e-11
2.756836, 2.795636e-11
2.920898, 3.383969e-11
3.063477, 2.4835e-11
3.203125, -1.872193e-09
3.34375, -4.631525e-09
3.475586, -7.316331e-09
3.613281, -1.0171e-08
3.748047, -1.302724e-08
3.888672, -1.599386e-08
4.036133, -1.918901e-08
4.1875, -1.990255e-08
4.335938, -1.989908e-08
4.475586, -1.990238e-08
4.606445, -1.990779e-08
4.737305, -1.989804e-08
4.867188, -1.990585e-08
5.0, -1.990312e-08
5.128906, -2.040409e-08
5.260742, -2.278981e-08
5.393555, -2.539366e-08
5.522461, -2.806146e-08
5.654297, -3.075381e-08
5.785156, -3.347913e-08
5.923828, -3.635783e-08
6.057617, -3.917794e-08
6.191406, -3.94623e-08
6.323242, -3.946774e-08
6.456055, -3.946436e-08
6.594727, -3.946933e-08
6.740234, -3.947293e-08
6.874023, -3.946501e-08
7.006836, -3.947024e-08
7.15332, -4.101213e-08
7.282227, -4.339218e-08
7.429688, -4.628665e-08
7.564453, -4.896e-08
7.702148, -5.186244e-08
7.842773, -5.471774e-08
7.995117, -5.77414e-08
8.140625, -5.857952e-08
8.273438, -5.857512e-08
8.404297, -5.858075e-08
8.535156, -5.858047e-08
8.666992, -5.857647e-08
8.805664, -5.858169e-08
8.9375, -5.857647e-08
9.074219, -5.92683e-08
9.206055, -6.170369e-08
9.336914, -6.429251e-08
9.46875, -6.692591e-08
9.610352, -6.981906e-08
9.754883, -7.278854e-08
9.905273, -7.591686e-08
10.05566, -7.789292e-08
10.18457, -7.78946e-08
10.31641, -7.789519e-08
10.44629, -7.789266e-08
10.5791, -7.789207e-08
10.71875, -7.789211e-08
10.86914, -7.789372e-08
11.04004, -7.789631e-08
11.2168, -7.79018e-08
11.39551, -7.789711e-08
11.55664, -7.789926e-08
11.69922, -7.789507e-08
11.83887, -7.790317e-08
11.97852, -7.790035e-08
12.11523, -7.789836e-08
12.2627, -7.790786e-08
12.40723, -7.790363e-08
