Time sep (s?), Charge (C)
663.2803, 9.9e+37
663.4053, 9.9e+37
663.543, 9.9e+37
663.6709, 9.9e+37
663.8096, 9.9e+37
663.9346, 9.9e+37
664.0605, 9.9e+37
664.1855, 9.9e+37
664.3203, 9.9e+37
664.4463, 9.9e+37
664.5723, 9.9e+37
664.6973, 9.9e+37
664.8262, 9.9e+37
664.9512, 9.9e+37
665.0977, 9.9e+37
665.2236, 9.9e+37
665.3496, 9.9e+37
665.4756, 9.9e+37
665.5996, 9.9e+37
665.7441, 9.9e+37
665.8828, 9.9e+37
666.0449, 9.9e+37
666.1777, 9.9e+37
666.3213, 9.9e+37
666.4482, 9.9e+37
666.5732, 9.9e+37
666.6992, 9.9e+37
666.8252, 9.9e+37
666.9502, 9.9e+37
667.082, 9.9e+37
667.207, 9.9e+37
667.332, 9.9e+37
667.4619, 9.9e+37
667.5898, 9.9e+37
667.7187, 9.9e+37
667.8643, 9.9e+37
668.001, 9.9e+37
668.1309, 9.9e+37
668.2656, 9.9e+37
668.3936, 9.9e+37
668.541, 9.9e+37
668.6719, 9.9e+37
668.7998, 9.9e+37
668.9365, 9.9e+37
669.085, 9.9e+37
669.2344, 9.9e+37
669.3613, 9.9e+37
669.4941, 9.9e+37
669.6299, 9.9e+37
669.7588, 9.9e+37
669.8936, 9.9e+37
670.0215, 9.9e+37
670.1807, 9.9e+37
670.3135, 9.9e+37
670.4424, 9.9e+37
670.584, 9.9e+37
670.7227, 9.9e+37
670.8486, 9.9e+37
670.9766, 9.9e+37
671.1055, 9.9e+37
671.2324, 9.9e+37
671.3818, 9.9e+37
671.5791, 9.9e+37
671.7588, 9.9e+37
671.8867, 9.9e+37
672.0176, 9.9e+37
672.1455, 9.9e+37
672.2754, 9.9e+37
672.4023, 9.9e+37
672.5381, 9.9e+37
672.6797, 9.9e+37
672.8076, 9.9e+37
672.9385, 9.9e+37
673.0752, 9.9e+37
673.207, 9.9e+37
673.3389, 9.9e+37
673.4678, 9.9e+37
673.6074, 9.9e+37
