Time sep (ms?), Current (A)
0.0, -2.631e-08
2.002, -2.586e-08
4.004, -2.9e-08
6.006, -3.02e-08
8.008, -2.664e-08
10.01, -2.576e-08
12.012, -2.815e-08
14.014, -3.073e-08
16.016, -3.059e-08
18.018, -2.746e-08
20.02, -2.726e-08
22.022, -2.794e-08
24.024, -2.92e-08
26.026, -2.581e-08
28.028, -2.331e-08
30.03, -2.934e-08
32.032, -2.851e-08
34.034, -2.768e-08
36.036, -2.731e-08
38.038, -2.661e-08
40.04, -2.737e-08
42.042, -2.886e-08
44.044, -2.872e-08
46.046, -2.882e-08
48.048, -2.894e-08
50.05, -2.523e-08
52.052, -2.572e-08
54.054, -2.498e-08
56.056, -2.892e-08
58.058, -2.911e-08
60.06, -2.588e-08
62.062, -2.856e-08
64.064, -2.937e-08
66.066, -2.693e-08
68.068, -2.989e-08
70.07, -2.697e-08
72.072, -2.584e-08
74.074, -2.928e-08
76.076, -2.694e-08
78.078, -2.82e-08
80.08, -2.681e-08
82.082, -3.027e-08
84.084, -2.909e-08
86.086, -2.492e-08
88.088, -2.518e-08
90.09, -3.017e-08
92.092, -2.713e-08
94.094, -2.853e-08
96.096, -2.646e-08
98.098, -2.423e-08
100.1, -2.458e-08
102.1, -2.695e-08
104.1, -2.817e-08
106.11, -2.917e-08
108.11, -2.318e-08
110.11, -2.694e-08
112.11, -2.855e-08
114.11, -2.715e-08
116.12, -2.494e-08
118.12, -2.42e-08
120.12, -2.445e-08
122.12, -2.383e-08
124.12, -2.668e-08
126.13, -2.652e-08
128.13, -2.766e-08
130.13, -2.724e-08
132.13, -2.875e-08
134.13, -2.914e-08
136.14, -2.847e-08
138.14, -3.204e-08
140.14, -2.682e-08
142.14, -3.085e-08
144.14, -3.068e-08
146.15, -2.84e-08
148.15, -2.989e-08
150.15, -2.687e-08
152.15, -3.039e-08
154.15, -3.256e-08
156.16, -3.146e-08
158.16, -3.027e-08
160.16, -2.773e-08
162.16, -2.972e-08
164.16, -2.941e-08
166.17, -2.877e-08
168.17, -2.717e-08
170.17, -2.869e-08
172.17, -3.037e-08
174.17, -2.894e-08
176.18, -2.656e-08
178.18, -2.847e-08
180.18, -2.662e-08
182.18, -2.396e-08
184.18, -2.61e-08
186.19, -2.479e-08
188.19, -2.677e-08
190.19, -2.759e-08
192.19, -2.785e-08
194.19, -2.812e-08
196.2, -3.031e-08
198.2, -2.841e-08
200.2, -2.864e-08
202.2, -2.588e-08
204.2, -2.757e-08
206.21, -2.901e-08
208.21, -2.552e-08
210.21, -2.25e-08
212.21, -2.39e-08
214.21, -2.39e-08
216.22, -2.47e-08
218.22, -2.273e-08
220.22, -2.475e-08
222.22, -2.306e-08
224.22, -2.515e-08
226.23, -2.446e-08
228.23, -2.55e-08
230.23, -2.586e-08
232.23, -2.607e-08
234.23, -2.325e-08
236.24, -2.589e-08
238.24, -2.602e-08
240.24, -2.466e-08
242.24, -2.511e-08
244.24, -2.836e-08
246.25, -2.531e-08
248.25, -2.427e-08
250.25, -2.808e-08
252.25, -2.577e-08
254.25, -2.604e-08
256.26, -2.581e-08
258.26, -2.251e-08
260.26, -2.537e-08
262.26, -2.532e-08
264.26, -2.674e-08
266.27, -2.239e-08
268.27, -2.533e-08
270.27, -2.385e-08
272.27, -2.412e-08
274.27, -2.203e-08
276.28, -2.747e-08
278.28, -2.519e-08
280.28, -2.72e-08
282.28, -2.403e-08
284.28, -2.351e-08
286.29, -2.836e-08
288.29, -2.673e-08
290.29, -2.552e-08
292.29, -2.478e-08
294.29, -2.323e-08
296.3, -2.581e-08
298.3, -2.395e-08
300.3, -2.545e-08
302.3, -2.9e-08
304.3, -2.739e-08
306.31, -2.172e-08
308.31, -2.365e-08
310.31, -2.324e-08
312.31, -2.16e-08
314.31, -2.307e-08
316.32, -2.12e-08
318.32, -2.345e-08
320.32, -2.203e-08
322.32, -2.119e-08
324.32, -2.345e-08
326.33, -2.715e-08
328.33, -2.331e-08
330.33, -2.313e-08
332.33, -2.407e-08
334.33, -2.273e-08
336.34, -2.667e-08
338.34, -2.356e-08
340.34, -2.44e-08
342.34, -2.271e-08
344.34, -2.306e-08
346.35, -2.48e-08
348.35, -2.443e-08
350.35, -2.545e-08
352.35, -2.63e-08
354.35, -2.663e-08
356.36, -2.833e-08
358.36, -2.588e-08
360.36, -2.883e-08
362.36, -2.678e-08
364.36, -2.618e-08
366.37, -2.412e-08
368.37, -2.5e-08
370.37, -2.343e-08
372.37, -2.548e-08
374.37, -2.68e-08
376.38, -2.542e-08
378.38, -2.202e-08
380.38, -2.482e-08
382.38, -2.868e-08
384.38, -2.607e-08
386.39, -2.636e-08
388.39, -2.566e-08
390.39, -2.838e-08
392.39, -2.502e-08
394.39, -2.771e-08
396.4, -2.589e-08
398.4, -2.444e-08
400.4, -2.491e-08
402.4, -2.675e-08
404.4, -2.491e-08
406.41, -2.223e-08
408.41, -2.606e-08
410.41, -2.331e-08
412.41, -2.478e-08
414.41, -2.542e-08
416.42, -2.724e-08
418.42, -2.622e-08
420.42, -2.569e-08
422.42, -2.22e-08
424.42, -2.292e-08
426.43, -2.248e-08
428.43, -2.855e-08
430.43, -2.538e-08
432.43, -2.316e-08
434.43, -2.772e-08
436.44, -2.77e-08
438.44, -2.266e-08
440.44, -2.226e-08
442.44, -2.523e-08
444.44, -2.688e-08
446.45, -2.664e-08
448.45, -2.638e-08
450.45, -2.77e-08
452.45, -2.535e-08
454.45, -2.721e-08
456.46, -2.902e-08
458.46, -2.849e-08
460.46, -2.745e-08
462.46, -2.454e-08
464.46, -2.724e-08
466.47, -2.54e-08
468.47, -2.914e-08
470.47, -3.033e-08
472.47, -3.122e-08
474.47, -3.588e-08
476.48, -3.112e-08
478.48, -3.041e-08
480.48, -2.674e-08
482.48, -2.948e-08
484.48, -2.616e-08
486.49, -2.723e-08
488.49, -2.648e-08
490.49, -2.563e-08
492.49, -2.722e-08
494.49, -3.26e-08
496.5, -3.12e-08
498.5, -3.204e-08
500.5, -3.119e-08
502.5, -3.118e-08
504.5, -3.372e-08
506.51, -3.27e-08
508.51, -2.968e-08
510.51, -2.755e-08
512.51, -2.762e-08
514.51, -2.5e-08
516.52, -2.944e-08
518.52, -2.835e-08
520.52, -2.885e-08
522.52, -2.77e-08
524.52, -2.663e-08
526.53, -2.622e-08
528.53, -2.524e-08
530.53, -2.749e-08
532.53, -3.025e-08
534.53, -2.681e-08
536.54, -2.618e-08
538.54, -2.684e-08
540.54, -2.347e-08
542.54, -2.279e-08
544.54, -2.859e-08
546.55, -2.604e-08
548.55, -3.181e-08
550.55, -3.003e-08
552.55, -2.815e-08
554.55, -2.999e-08
556.56, -2.598e-08
558.56, -2.784e-08
560.56, -2.712e-08
562.56, -2.514e-08
564.56, -2.718e-08
566.57, -2.793e-08
568.57, -3.007e-08
570.57, -2.614e-08
572.57, -2.74e-08
574.57, -2.643e-08
576.58, -2.661e-08
578.58, -2.527e-08
580.58, -2.614e-08
582.58, -2.891e-08
584.58, -2.581e-08
586.59, -2.763e-08
588.59, -2.608e-08
590.59, -2.715e-08
592.59, -2.563e-08
594.59, -2.943e-08
596.6, -2.916e-08
598.6, -2.65e-08
600.6, -2.673e-08
602.6, -3.089e-08
604.6, -2.941e-08
606.61, -3.104e-08
608.61, -2.913e-08
610.61, -2.819e-08
612.61, -2.624e-08
614.61, -2.998e-08
616.62, -2.858e-08
618.62, -2.899e-08
620.62, -2.991e-08
622.62, -2.589e-08
624.62, -2.742e-08
626.63, -2.573e-08
628.63, -2.693e-08
630.63, -2.937e-08
632.63, -2.72e-08
634.63, -2.604e-08
636.64, -2.56e-08
638.64, -2.654e-08
640.64, -2.512e-08
642.64, -2.589e-08
644.64, -2.69e-08
646.65, -2.605e-08
648.65, -2.891e-08
650.65, -2.825e-08
652.65, -2.991e-08
654.65, -2.681e-08
656.66, -2.883e-08
658.66, -2.525e-08
660.66, -2.545e-08
662.66, -2.994e-08
664.66, -2.744e-08
666.67, -2.464e-08
668.67, -2.752e-08
670.67, -2.934e-08
672.67, -2.824e-08
674.67, -2.961e-08
676.68, -2.704e-08
678.68, -3.038e-08
680.68, -2.799e-08
682.68, -2.778e-08
684.68, -2.789e-08
686.69, -2.924e-08
688.69, -2.887e-08
690.69, -2.605e-08
692.69, -2.753e-08
694.69, -2.989e-08
696.7, -2.605e-08
698.7, -2.53e-08
700.7, -2.585e-08
702.7, -2.489e-08
704.7, -2.22e-08
706.71, -2.15e-08
708.71, -2.604e-08
710.71, -2.682e-08
712.71, -2.382e-08
714.71, -2.63e-08
716.72, -2.833e-08
718.72, -2.928e-08
720.72, -2.79e-08
722.72, -2.56e-08
724.72, -2.763e-08
726.73, -2.9e-08
728.73, -2.87e-08
730.73, -2.597e-08
732.73, -2.49e-08
