Time sep (s?), Charge (C)
1.996094, 3.984243e-11
2.125977, 3.564011e-11
2.256836, 4.0563e-11
2.386719, 3.732092e-11
2.517578, 4.104311e-11
2.645508, 4.368461e-11
2.77832, 3.564011e-11
2.90918, 3.900182e-11
3.041992, 2.891632e-11
3.171875, -1.16731e-09
3.300781, -2.454295e-09
3.431641, -3.755594e-09
3.563477, -5.079312e-09
3.694336, -6.397056e-09
3.825195, -7.730608e-09
3.956055, -9.057866e-09
4.084961, -9.622616e-09
4.214844, -9.61793e-09
4.348633, -9.625252e-09
4.480469, -9.625194e-09
4.610352, -9.624919e-09
4.742188, -9.628527e-09
4.874023, -9.618879e-09
5.006836, -9.624663e-09
5.138672, -1.079801e-08
5.269531, -1.206559e-08
5.398438, -1.335393e-08
5.529297, -1.46467e-08
5.658203, -1.592563e-08
5.791016, -1.724926e-08
5.919922, -1.855901e-08
6.049805, -1.917675e-08
6.177734, -1.918206e-08
6.308594, -1.917569e-08
6.44043, -1.918171e-08
6.573242, -1.917938e-08
6.702148, -1.917747e-08
6.833984, -1.917621e-08
6.964844, -1.918302e-08
7.09668, -2.017749e-08
7.226563, -2.144291e-08
7.358398, -2.276063e-08
7.491211, -2.408219e-08
7.621094, -2.54173e-08
7.75293, -2.67368e-08
7.884766, -2.807608e-08
8.017578, -2.884368e-08
8.147461, -2.884459e-08
8.27832, -2.883806e-08
8.410156, -2.884061e-08
8.542969, -2.883814e-08
8.672852, -2.88368e-08
8.802734, -2.884005e-08
8.936523, -2.884073e-08
9.068359, -2.978483e-08
9.199219, -3.108733e-08
9.331055, -3.24422e-08
9.463867, -3.380834e-08
9.595703, -3.519814e-08
9.726563, -3.657071e-08
9.858398, -3.795197e-08
9.988281, -3.875521e-08
10.11914, -3.874973e-08
10.25098, -3.875231e-08
10.38281, -3.874626e-08
10.51465, -3.874848e-08
10.64453, -3.874612e-08
10.77637, -3.87527e-08
10.9082, -3.875067e-08
11.03906, -3.96684e-08
11.16797, -4.097289e-08
11.2998, -4.231339e-08
11.43164, -4.368814e-08
11.5625, -4.505573e-08
11.69336, -4.642348e-08
11.82715, -4.779429e-08
11.95508, -4.8718e-08
12.08496, -4.871512e-08
12.2168, -4.871669e-08
12.34668, -4.871342e-08
12.47656, -4.871581e-08
12.6084, -4.871368e-08
12.73828, -4.871912e-08
12.86719, -4.871449e-08
12.99902, -4.871504e-08
13.12695, -4.871196e-08
13.25781, -4.87156e-08
13.38867, -4.871428e-08
13.51758, -4.870963e-08
