Wavelength(nm), SC charge (e-), PD charge (e-)
350.0, 9.827900923076921e-05, 7.180655178571422e-09
351.0, 9.442569262910798e-05, 6.655877142857145e-09
352.0, 9.480839626185957e-05, 6.723393750000002e-09
353.0, 0.00010645097739130434, 7.359248571428563e-09
354.0, 0.00011859031540229887, 8.217684285714286e-09
355.0, 0.00012520728545454543, 8.50704916666668e-09
356.0, 0.00011855869919540234, 7.952017500000021e-09
357.0, 0.00010924355857142858, 7.2157524999999954e-09
358.0, 0.00010981511674952199, 7.241965357142864e-09
359.0, 0.00012302558379310345, 7.83721775e-09
360.0, 0.00012689707637065636, 8.095701857142859e-09
361.0, 0.0001255181289908257, 8.046258249999997e-09
362.0, 0.00012870785982110915, 8.092391558441542e-09
363.0, 0.00013589505313725488, 8.400788749999995e-09
364.0, 0.00013131773122137402, 8.074807857142859e-09
365.0, 0.0001300162175572519, 8.151053250000001e-09
366.0, 0.00012412151788321167, 7.6232575e-09
367.0, 0.00012980159202312136, 8.001506249999997e-09
368.0, 0.00012279010974999998, 7.619947125000001e-09
369.0, 0.00012653592499999998, 7.971774107142853e-09
370.0, 0.00014373921938342968, 8.959119e-09
371.0, 0.00015337272405458092, 9.546857142857136e-09
372.0, 0.00014225796564885495, 8.961692857142867e-09
373.0, 0.00014102987121856868, 8.838169874999999e-09
374.0, 0.0001496378488845401, 9.577343678571429e-09
375.0, 0.00015212163348623853, 9.775775568181812e-09
376.0, 0.0001449034478625954, 9.353080357142866e-09
377.0, 0.00013756209747081715, 8.89336428571429e-09
378.0, 0.00013665100011385197, 8.996682374999994e-09
379.0, 0.00013964481468451244, 9.24076555555556e-09
380.0, 0.0001428822177071291, 9.38675e-09
381.0, 0.0001450234357364341, 9.643716249999993e-09
382.0, 0.00014606135260536397, 9.95392875000001e-09
383.0, 0.0001475968277394636, 9.995202125e-09
384.0, 0.00014780597806122447, 1.0089938750000009e-08
385.0, 0.00015047279583174, 1.0216394903846164e-08
386.0, 0.00014006466279069767, 9.422281250000004e-09
