Wavelength(nm), SC photons / PD electrons
350.0, 18876.700067547994
351.0, 19294.82893085436
352.0, 19408.116445785377
353.0, 19792.12426531463
354.0, 20156.041425120846
355.0, 20362.486332038447
356.0, 19880.56764296996
357.0, 20099.815600790607
358.0, 20137.377739109525
359.0, 20547.135054369694
360.0, 20703.238849536134
361.0, 20541.43864699985
362.0, 20870.228657925527
363.0, 20881.89636438873
364.0, 21185.57341501268
365.0, 21012.364203221747
366.0, 20562.864705904212
367.0, 20641.51602451986
368.0, 20580.887349106033
369.0, 20490.120043653933
370.0, 20472.047288526865
371.0, 20234.22819638986
372.0, 20111.37313846278
373.0, 20117.600917966964
374.0, 19844.9989521218
375.0, 19712.334979400726
376.0, 19312.83938506256
377.0, 19220.094997365566
378.0, 19076.59701952293
379.0, 18852.847444552393
380.0, 18813.277785267335
381.0, 18717.703144019924
382.0, 18657.15933064112
383.0, 18528.729382419235
384.0, 18607.139271641405
385.0, 18512.43106913884
386.0, 18462.007216577153
387.0, 18453.424577158636
388.0, 18381.87868292586
389.0, 18402.048899510828
390.0, 18449.854592677206
391.0, 18064.981188608985
392.0, 18088.961865813388
393.0, 18112.382703010142
394.0, 18047.92070907406
395.0, 17774.24153807655
396.0, 17582.219369558356
397.0, 17610.44169945465
398.0, 17529.795063322483
399.0, 17394.902177779208
400.0, 17340.744244644127
401.0, 17213.482928457113
402.0, 17161.7822111391
403.0, 17125.16256607914
404.0, 17035.909339055863
405.0, 16241.367172925378
406.0, 16065.527423954727
407.0, 16010.346024951672
408.0, 15839.915018793043
409.0, 15768.999046524259
410.0, 15434.29189424479
411.0, 15283.28287852649
412.0, 15270.017940708596
413.0, 15295.009884229285
414.0, 15099.1103536255
415.0, 14950.868754194493
416.0, 14763.912622149674
417.0, 14591.223317194044
418.0, 14375.520476937261
419.0, 14203.144665016876
420.0, 13764.755265575639
421.0, 13609.97724790246
422.0, 13503.877596899623
423.0, 13344.309641186259
424.0, 13204.471819177521
425.0, 13145.22527249859
426.0, 12912.539985882013
427.0, 12900.261719124992
428.0, 12890.715287349472
429.0, 12606.788182797407
430.0, 12443.250487858411
431.0, 12159.418171370986
432.0, 11998.218887605155
433.0, 11863.989408093035
434.0, 11773.680267337666
435.0, 11664.376234217098
436.0, 11483.124866414351
437.0, 11371.885543909853
438.0, 11262.52641763924
439.0, 11163.34693227443
440.0, 11024.88652655694
441.0, 10853.953760209266
442.0, 10802.293354215455
443.0, 10761.557359967395
444.0, 10711.086324942478
445.0, 10478.665295507044
446.0, 10438.332283846743
447.0, 10364.41257656161
448.0, 10298.12532932499
449.0, 10239.390424184376
450.0, 10194.372128611485
451.0, 10141.358783283724
452.0, 10094.171074840253
453.0, 10081.039746045464
454.0, 10051.681863422795
455.0, 10003.153843433549
456.0, 9893.788382292923
457.0, 9889.368349469718
458.0, 9869.45253032689
459.0, 9863.737340758445
460.0, 9797.883862046581
461.0, 9777.391738015238
462.0, 9764.523698642402
463.0, 9753.449893375262
464.0, 9719.206177667524
465.0, 9654.915729107755
466.0, 9615.39629320539
467.0, 9627.040667275782
468.0, 9606.582463498256
469.0, 9572.180674763487
470.0, 9537.875337429146
471.0, 9520.993021816908
472.0, 9473.426867183853
473.0, 9462.27594219968
474.0, 9432.739154066663
475.0, 9434.043325493283
476.0, 9407.126130420158
477.0, 9360.613231832169
478.0, 9327.34665127394
479.0, 9283.637875125054
480.0, 9224.944059750404
481.0, 9206.731217886527
482.0, 9202.063058124153
483.0, 9164.449156010822
484.0, 9144.21322684051
485.0, 9041.881203677012
486.0, 9047.518471677904
487.0, 9015.390184829968
488.0, 8958.8770603611
489.0, 8907.482319014862
490.0, 8879.489948933297
491.0, 8822.649227179585
492.0, 8792.951704653931
494.0, 8770.76251319602
495.0, 8712.637818351162
496.0, 8623.455402853211
497.0, 8596.967663303409
498.0, 8512.865741753661
499.0, 8470.845500606116
500.0, 8471.827106384844
501.0, 8398.944953763314
502.0, 8398.431521790832
503.0, 8326.220678768628
504.0, 8251.92873057465
505.0, 8267.153537674629
506.0, 8190.549892045138
507.0, 8131.954380233154
508.0, 8107.873822967075
509.0, 8064.765578810017
510.0, 8021.454494616384
511.0, 7933.404921444151
512.0, 7915.15105978919
513.0, 7865.369471172944
515.0, 7775.53016209574
516.0, 7757.073964460535
517.0, 7687.048140974762
518.0, 7667.093810938635
519.0, 7621.418892474526
520.0, 7603.039429212639
521.0, 7563.126925642994
522.0, 7517.227873355313
523.0, 7484.667200450342
524.0, 7422.693756316993
525.0, 7381.79135451029
526.0, 7352.118683951035
527.0, 7288.424608651442
528.0, 7258.305567298841
529.0, 7207.650137645423
530.0, 7221.787102287178
531.0, 7145.399397304641
532.0, 7070.621635140067
533.0, 7108.409042734732
534.0, 7095.539293820527
536.0, 7037.913638632713
537.0, 6965.125757738074
538.0, 7016.042679330928
539.0, 6896.80173407532
540.0, 6961.4717609922445
541.0, 6903.609673209033
542.0, 6881.668430686047
543.0, 6845.879157651291
544.0, 6785.373662257936
545.0, 6806.295771431608
546.0, 6761.424892142398
547.0, 6729.887562293154
548.0, 6728.552914760755
549.0, 6689.801536727733
550.0, 6635.156422120713
551.0, 6618.41994812102
552.0, 6651.324044222316
553.0, 6568.884983062388
554.0, 6550.04880939297
555.0, 6590.825756272952
556.0, 6524.644844047524
557.0, 6518.851446726396
558.0, 6462.431458001763
559.0, 6466.428607069982
560.0, 6422.499953418511
561.0, 6455.973850912932
562.0, 6414.0203610692715
563.0, 6398.302114190979
564.0, 6393.226682534059
565.0, 6438.955037890001
566.0, 6358.926952319981
567.0, 6400.239093660618
568.0, 6313.873995061116
569.0, 6289.4486097021545
570.0, 6300.653334258301
571.0, 6298.783020353983
572.0, 6281.716314534064
573.0, 6294.50896534487
