Wavelength(nm), SC photons / PD photons
350.0, 3009.101796689477
351.0, 3067.211224826418
352.0, 3076.6260983269462
353.0, 3128.7360698636044
354.0, 3177.3389311812048
355.0, 3200.8657742052224
356.0, 3116.307797775712
357.0, 3141.7750204729386
358.0, 3138.729462500888
359.0, 3193.4983481216336
360.0, 3208.5930669344343
361.0, 3181.7964114841725
362.0, 3230.976460884011
363.0, 3231.0334287057303
364.0, 3276.246271760623
365.0, 3247.7000354382562
366.0, 3176.502157190568
367.0, 3186.922820852886
368.0, 3175.838002274523
369.0, 3160.1151727388233
370.0, 3155.6128717904644
371.0, 3123.9508761319025
372.0, 3109.949057592372
373.0, 3115.879339630753
374.0, 3078.5577950151887
375.0, 3062.8447888888536
376.0, 3005.5408724364693
377.0, 2995.8532596373425
378.0, 2978.1963090610716
379.0, 2947.9199787315515
380.0, 2946.3778708632217
381.0, 2959.596404092719
382.0, 2978.1188283997662
383.0, 2985.5204664408807
384.0, 3026.174730311807
385.0, 3038.649365501315
386.0, 3058.1743275772865
387.0, 3084.5413002969008
388.0, 3100.2631256260474
389.0, 3131.376302144705
390.0, 3167.294420624803
391.0, 3138.265425209366
392.0, 3179.5229297440974
393.0, 3220.779227571681
394.0, 3246.3238737018737
395.0, 3233.5427506526416
396.0, 3234.6619874757284
397.0, 3275.964497059608
398.0, 3296.9072715681295
399.0, 3307.2057448801907
400.0, 3332.4663006782516
401.0, 3346.7897660192875
402.0, 3375.401176291136
403.0, 3406.779775561583
404.0, 3427.4041806558307
405.0, 3304.1425033192604
406.0, 3304.563441217839
407.0, 3329.2824701274653
408.0, 3329.5275613345198
409.0, 3350.146844186116
410.0, 3313.8094844638426
411.0, 3318.6906893768173
412.0, 3353.0813916679526
413.0, 3395.9013909020405
414.0, 3389.260421335055
415.0, 3392.4771301654523
416.0, 3386.09103591302
417.0, 3382.099202563791
418.0, 3367.1892741362335
419.0, 3361.480645166558
420.0, 3291.3234028527017
421.0, 3289.912502337873
422.0, 3299.5861706194314
423.0, 3295.5003166576967
424.0, 3295.503871365552
425.0, 3315.1002525348435
426.0, 3290.1934593173855
427.0, 3320.8069808144432
428.0, 3352.066650873088
429.0, 3311.2095014165648
430.0, 3300.802584811905
431.0, 3255.8694937761707
432.0, 3242.662145701659
433.0, 3236.0061062920386
434.0, 3240.7691100642737
435.0, 3239.8052884862173
436.0, 3218.1325057496406
437.0, 3215.350250070386
438.0, 3212.5488385568715
439.0, 3212.1304282091505
440.0, 3199.8160438774485
441.0, 3176.1001378334568
442.0, 3186.754834655532
443.0, 3200.4118768079475
444.0, 3210.956188169034
445.0, 3166.2808440404738
446.0, 3178.996958404656
447.0, 3181.2116562395663
448.0, 3185.43453140898
449.0, 3191.6952381168444
450.0, 3201.983985625185
451.0, 3205.7423043607014
452.0, 3211.140486356622
453.0, 3227.2512338733904
454.0, 3238.081852453056
455.0, 3242.5801947820632
456.0, 3227.0399683917044
457.0, 3245.500619179005
458.0, 3258.8268748924183
459.0, 3276.7905006917513
460.0, 3274.631807842981
461.0, 3289.201858722858
462.0, 3306.2636391260235
463.0, 3323.8804981224653
464.0, 3333.502002795991
465.0, 3332.602197868801
466.0, 3340.0252300464067
467.0, 3365.1595712751305
468.0, 3379.0530566337357
469.0, 3387.921797123021
470.0, 3396.6741614417488
471.0, 3410.650111285316
472.0, 3413.4990657451485
473.0, 3429.346016715648
474.0, 3438.444089934456
475.0, 3458.72511077743
476.0, 3468.6057945186117
477.0, 3471.1069716037596
478.0, 3478.3526672606163
479.0, 3481.5426606006536
480.0, 3478.8979944482635
481.0, 3488.239515908768
482.0, 3502.6725508451573
483.0, 3504.490676699573
484.0, 3512.8522956134484
485.0, 3489.459976743282
486.0, 3507.565125314811
487.0, 3510.982585216174
488.0, 3504.747468047095
489.0, 3500.32469315853
490.0, 3504.958446624418
491.0, 3497.4343190730287
492.0, 3500.52390476972
494.0, 3521.3395360010622
495.0, 3512.7296697033935
496.0, 3491.3490809802397
497.0, 3495.1559630552424
498.0, 3475.3524832947924
499.0, 3472.5155502838943
500.0, 3487.2373135052053
501.0, 3472.9183144642834
502.0, 3488.386356343232
503.0, 3473.9382631162825
504.0, 3458.3483441382755
505.0, 3480.164236098336
506.0, 3463.2091662419252
507.0, 3453.6160488924675
508.0, 3458.5269658665893
509.0, 3455.1959116347994
510.0, 3451.6166046965277
511.0, 3427.971456729531
512.0, 3434.2937302563273
513.0, 3426.8143424065565
515.0, 3415.590791085809
516.0, 3421.4093155803043
517.0, 3404.3232001048846
518.0, 3409.2504510831227
519.0, 3402.6229628108217
520.0, 3408.0666821629366
521.0, 3403.241190582498
522.0, 3395.573643854829
523.0, 3393.795578021209
524.0, 3378.517481426969
525.0, 3372.652374213455
526.0, 3371.7960786702056
527.0, 3355.175746141571
528.0, 3353.8493854851376
529.0, 3342.89422620367
530.0, 3361.9265686846297
531.0, 3338.2526508252304
532.0, 3315.079413965822
533.0, 3344.6211166578073
534.0, 3350.3692611024712
536.0, 3346.5750143893
537.0, 3323.550513545393
538.0, 3359.517876388864
539.0, 3313.894255038536
540.0, 3356.5485699485694
541.0, 3338.1601691033015
542.0, 3337.030937984409
543.0, 3329.1070460008264
544.0, 3309.031158014697
545.0, 3328.6106356014366
546.0, 3315.9811406443787
547.0, 3309.7855099692647
548.0, 3318.3983942542877
549.0, 3308.502813472068
550.0, 3290.618176028087
551.0, 3294.040506921121
552.0, 3322.1979824511964
553.0, 3292.6562141190548
554.0, 3294.8160394926826
555.0, 3327.0014137720277
556.0, 3305.1502348753274
557.0, 3313.7617163866275
558.0, 3296.5277264216948
559.0, 3310.020054382269
560.0, 3298.909509945591
561.0, 3324.328397529449
562.0, 3310.897197330304
563.0, 3310.935072157793
564.0, 3316.453802394705
565.0, 3348.378531335098
566.0, 3314.863831342737
567.0, 3344.5536119762596
568.0, 3307.4660844614746
569.0, 3302.6839688034524
570.0, 3316.5949158049034
571.0, 3324.7049456893324
572.0, 3324.766477518184
573.0, 3340.625701847369
574.0, 3340.171915207446
575.0, 3342.0264672968306
576.0, 3376.9394476468515
577.0, 3354.558748522103
578.0, 3339.9522758886706
579.0, 3355.8271657147197
580.0, 3335.64523702695
581.0, 3357.971983248828
582.0, 3358.8547829891877
583.0, 3361.4461068686305
584.0, 3352.8550279062733
585.0, 3339.987412707707
586.0, 3337.055147485504
587.0, 3357.9140361756795
588.0, 3356.0327694764796
589.0, 3337.0547347806314
590.0, 3352.616358853001
591.0, 3325.558787762682
592.0, 3357.268808781516
593.0, 3355.0571563847875
594.0, 3351.0650790084583
595.0, 3312.983611380242
596.0, 3323.644386192012
597.0, 3317.7937955176726
598.0, 3319.3128670205447
599.0, 3317.878575412041
600.0, 3316.5812667582486
601.0, 3312.8217016582953
602.0, 3343.3427722572837
603.0, 3305.101270883698
604.0, 3354.9635995312306
605.0, 3308.9289093071197
606.0, 3319.2233386837274
607.0, 3328.029806834708
608.0, 3319.8023510000276
609.0, 3287.780836163382
610.0, 3295.8313087554043
611.0, 3317.893870608269
612.0, 3289.523467932957
613.0, 3296.0416135130854
614.0, 3271.0171712478286
615.0, 3309.4050649572278
616.0, 3260.26144263888
617.0, 3296.378605840363
618.0, 3299.061485616815
619.0, 3267.7437806881794
620.0, 3267.156467725008
621.0, 3251.811839922235
622.0, 3252.327884167994
623.0, 3257.9282208021964
624.0, 3255.962144558363
625.0, 3257.0433738244697
626.0, 3272.4764579064745
627.0, 3260.6499328717987
628.0, 3230.4322837846526
629.0, 3263.5480994258423
630.0, 3217.4443371086572
631.0, 3245.280419381806
632.0, 3245.2093849131456
633.0, 3260.504308523852
634.0, 3231.372239969871
635.0, 3239.685420283956
636.0, 3232.463747054884
637.0, 3216.242690585757
638.0, 3193.981464924681
640.0, 3178.1108738873336
641.0, 3210.8721386794855
642.0, 3213.8483249751985
643.0, 3190.9842829520107
644.0, 3206.1263997754677
645.0, 3204.967404152208
646.0, 3186.315009848567
647.0, 3168.1938429421207
648.0, 3201.8960437037
649.0, 3166.8514988762067
650.0, 3136.2972437492526
651.0, 3127.013652353687
653.0, 3134.689806079234
654.0, 3155.9117739148774
655.0, 3112.0708034179197
656.0, 3108.376915409206
657.0, 3050.910913828507
658.0, 3096.929321460468
659.0, 3077.3567421051116
660.0, 3077.9149318356917
661.0, 3071.8084628070465
662.0, 3056.71485857974
663.0, 3076.3904044031337
664.0, 3105.2648504623926
665.0, 3052.90911937094
666.0, 3053.7461518607574
667.0, 3043.113145536193
668.0, 3058.4832359599377
669.0, 3056.6912749486996
670.0, 3053.836338331862
671.0, 3030.441997125199
672.0, 2986.879953716071
673.0, 2956.3194842906933
674.0, 2897.7282330227094
675.0, 2820.291807205109
676.0, 2772.4346557511208
677.0, 2713.2610546068395
678.0, 2624.918014384051
679.0, 2561.0620870941825
680.0, 2494.31399761144
681.0, 2452.6611669633926
682.0, 2473.2172153253214
683.0, 2653.6629158748638
684.0, 2873.2906100695113
685.0, 2845.6226624902642
686.0, 2813.6894918467638
687.0, 2796.602353742961
688.0, 2824.4807768638734
689.0, 2807.5153117383893
690.0, 2724.122106179882
691.0, 2673.527100728869
692.0, 2622.736447038394
693.0, 2619.710120997707
694.0, 2560.192747605049
695.0, 2473.8558490662685
696.0, 2430.4714389939904
697.0, 2400.6246491221027
698.0, 2347.058825979334
699.0, 2303.33544024742
700.0, 2260.865711858575
701.0, 2239.0478828225705
702.0, 2222.0721626640425
703.0, 2161.453923979467
704.0, 2177.1459494136143
705.0, 2178.161990563741
706.0, 2163.71383617754
707.0, 2169.4051023055385
708.0, 2162.380329867458
709.0, 2157.674478825258
710.0, 2177.247528741503
711.0, 2169.8007617497256
712.0, 2199.2578826492395
713.0, 2200.9464078471397
714.0, 2223.4498771266867
715.0, 2230.377578709219
716.0, 2212.8419759624853
717.0, 2232.106212272686
718.0, 2212.466847295703
719.0, 2215.770233936683
720.0, 2228.027577783345
721.0, 2230.437196328815
722.0, 2229.09277206643
723.0, 2220.829911198565
725.0, 2225.659750191137
726.0, 2222.4832034957903
727.0, 2221.5809733592573
729.0, 2205.8224506366246
730.0, 2215.3398015438843
731.0, 2192.096516314407
732.0, 2170.9212208210524
733.0, 2164.4850074144542
734.0, 2152.0390080434254
735.0, 2146.44202721105
736.0, 2141.9918409577353
737.0, 2141.3142833378492
738.0, 2137.826460660136
739.0, 2147.6203037679456
740.0, 2149.7598884145705
741.0, 2156.2296129723636
742.0, 2158.719118403255
743.0, 2165.773707914433
744.0, 2162.0518953728783
745.0, 2164.517608032538
746.0, 2166.80043666504
747.0, 2161.649156484658
748.0, 2171.6347818496156
749.0, 2171.7967181605486
750.0, 2179.5588885035095
751.0, 2178.509005901596
752.0, 2178.98181233484
753.0, 2205.555756757146
754.0, 2197.989187909243
755.0, 2217.9716246806092
756.0, 2218.3078986663213
757.0, 2229.2878919163177
758.0, 2232.7473448253495
759.0, 2228.928103350106
760.0, 2240.9472147585534
761.0, 2241.020236243844
763.0, 2253.406651170447
764.0, 2262.474998026764
765.0, 2263.224255113995
767.0, 2282.9958284905692
768.0, 2296.7578920157084
769.0, 2305.015874748515
770.0, 2315.671994379589
771.0, 2326.8417076700243
772.0, 2339.4154508495
773.0, 2336.98714532222
774.0, 2345.3361742005886
775.0, 2343.140725105531
776.0, 2355.3955803276363
777.0, 2354.5763082127237
778.0, 2357.4076062733848
779.0, 2359.3116864124136
780.0, 2367.67307883216
781.0, 2365.3942903722423
782.0, 2372.14795206971
783.0, 2368.423316487786
784.0, 2374.451946892381
785.0, 2370.17462376283
786.0, 2374.637042911995
788.0, 2369.3316561610354
789.0, 2376.0775417491996
790.0, 2360.799061086299
791.0, 2361.045478755768
792.0, 2355.67362650542
793.0, 2354.6041791030443
794.0, 2352.793584027393
795.0, 2348.4602644372308
797.0, 2345.0528727042783
798.0, 2349.3915746918865
799.0, 2340.0622210657984
800.0, 2330.939011801049
801.0, 2328.0222265960338
802.0, 2315.3942997688564
803.0, 2309.6432846082625
804.0, 2313.291311852995
805.0, 2304.20641013681
806.0, 2298.7966278072645
807.0, 2293.9778159957154
808.0, 2286.342736270397
809.0, 2284.4976357861997
810.0, 2278.9625589737875
811.0, 2277.8834301548673
812.0, 2277.37023172499
813.0, 2273.959128639879
814.0, 2282.7016344399735
815.0, 2274.0500799403017
816.0, 2256.157979797378
817.0, 2259.334342742389
818.0, 2250.6321041938554
819.0, 2250.735273180157
820.0, 2245.657478558837
821.0, 2250.053295208518
822.0, 2246.1304977701016
823.0, 2250.423566421566
824.0, 2244.13223159208
825.0, 2249.2118376907097
826.0, 2242.8523587309332
827.0, 2240.8522063551513
828.0, 2247.8652384846714
829.0, 2241.261897580932
830.0, 2249.161778958277
831.0, 2242.465738757408
832.0, 2236.7127172828
833.0, 2241.799494567091
834.0, 2260.2776731268705
835.0, 2245.1145779010576
836.0, 2253.191522622611
837.0, 2260.506166392024
838.0, 2246.6020726900815
839.0, 2237.679931901315
840.0, 2265.5472384233913
841.0, 2272.7132926645154
842.0, 2260.0938559813
843.0, 2260.282779073503
844.0, 2255.914614782124
845.0, 2267.144394266487
846.0, 2274.918872519512
847.0, 2276.278345911013
848.0, 2281.0671865385216
849.0, 2298.3025898999113
850.0, 2327.130055687309
851.0, 2355.604381084955
852.0, 2390.5423708311273
853.0, 2462.848349366364
854.0, 2496.357109049568
856.0, 2736.751503777747
857.0, 2667.3028403430167
858.0, 2591.6291080821215
859.0, 2491.6169051282545
860.0, 2421.1828510934247
861.0, 2380.27482842979
