Time sep (ms?), Current (A)
0.0, -3.012e-08
2.002, -3.279e-08
4.004, -3.249e-08
6.006, -2.993e-08
8.008, -2.879e-08
10.01, -3.217e-08
12.012, -2.903e-08
14.014, -3.241e-08
16.016, -2.911e-08
18.018, -2.97e-08
20.02, -3.024e-08
22.022, -2.924e-08
24.024, -3.213e-08
26.026, -3.223e-08
28.028, -3.167e-08
30.03, -3.332e-08
32.032, -3.214e-08
34.034, -3.442e-08
36.036, -2.94e-08
38.038, -3.176e-08
40.04, -3.09e-08
42.042, -3.13e-08
44.044, -3.116e-08
46.046, -3.237e-08
48.048, -3.037e-08
50.05, -2.898e-08
52.052, -2.744e-08
54.054, -3.286e-08
56.056, -2.958e-08
58.058, -3.243e-08
60.06, -3.214e-08
62.062, -3.028e-08
64.064, -3.255e-08
66.066, -2.923e-08
68.068, -3.096e-08
70.07, -2.989e-08
72.072, -3.127e-08
74.074, -3.122e-08
76.076, -3.138e-08
78.078, -2.91e-08
80.08, -3.121e-08
82.082, -2.874e-08
84.084, -2.568e-08
86.086, -3.086e-08
88.088, -2.884e-08
90.09, -2.732e-08
92.092, -2.876e-08
94.094, -2.787e-08
96.096, -2.853e-08
98.098, -2.486e-08
100.1, -2.813e-08
102.1, -2.945e-08
104.1, -2.819e-08
106.11, -2.181e-08
108.11, -2.753e-08
110.11, -2.603e-08
112.11, -2.978e-08
114.11, -2.759e-08
116.12, -2.588e-08
118.12, -2.953e-08
120.12, -2.506e-08
122.12, -2.889e-08
124.12, -2.781e-08
126.13, -3.485e-08
128.13, -3.258e-08
130.13, -3.478e-08
132.13, -3.5e-08
134.13, -3.085e-08
136.14, -2.956e-08
138.14, -3.3e-08
140.14, -3.293e-08
142.14, -3.461e-08
144.14, -3.002e-08
146.15, -2.99e-08
148.15, -3.313e-08
150.15, -3.179e-08
152.15, -3.093e-08
154.15, -3.007e-08
156.16, -2.394e-08
158.16, -2.631e-08
160.16, -2.981e-08
162.16, -3.273e-08
164.16, -3.186e-08
166.17, -3.593e-08
168.17, -3.156e-08
170.17, -3.5e-08
172.17, -3.37e-08
174.17, -3.101e-08
176.18, -3.1e-08
178.18, -3.183e-08
180.18, -3.277e-08
182.18, -3.117e-08
184.18, -3.147e-08
186.19, -3.451e-08
188.19, -3.008e-08
190.19, -3.221e-08
192.19, -3.142e-08
194.19, -3.148e-08
196.2, -3.494e-08
198.2, -3.16e-08
200.2, -3.349e-08
202.2, -3.472e-08
204.2, -3.163e-08
206.21, -3.329e-08
208.21, -3.521e-08
210.21, -3.469e-08
212.21, -3.469e-08
214.21, -3.423e-08
216.22, -3.642e-08
218.22, -3.36e-08
220.22, -3.563e-08
222.22, -3.084e-08
224.22, -3.354e-08
226.23, -3.14e-08
228.23, -3.473e-08
230.23, -3.389e-08
232.23, -3.608e-08
234.23, -3.789e-08
236.24, -3.574e-08
238.24, -3.453e-08
240.24, -3.473e-08
242.24, -3.608e-08
244.24, -3.272e-08
246.25, -3.528e-08
248.25, -3.018e-08
250.25, -3.267e-08
252.25, -3.485e-08
254.25, -3.272e-08
256.26, -3.609e-08
258.26, -3.579e-08
260.26, -3.391e-08
262.26, -3.026e-08
264.26, -3.376e-08
266.27, -3.449e-08
268.27, -3.616e-08
270.27, -3.29e-08
272.27, -3.716e-08
274.27, -3.36e-08
276.28, -2.95e-08
278.28, -3.071e-08
280.28, -3.414e-08
282.28, -2.921e-08
284.28, -3.035e-08
286.29, -3.064e-08
288.29, -3.229e-08
290.29, -2.996e-08
292.29, -3.443e-08
294.29, -3.502e-08
296.3, -3.035e-08
298.3, -2.753e-08
300.3, -3.012e-08
302.3, -3.087e-08
304.3, -3.113e-08
306.31, -3.301e-08
308.31, -3.376e-08
310.31, -3.157e-08
312.31, -3.306e-08
314.31, -3.102e-08
316.32, -3.051e-08
318.32, -2.969e-08
320.32, -2.86e-08
322.32, -2.698e-08
324.32, -2.703e-08
326.33, -3.073e-08
328.33, -2.978e-08
330.33, -2.813e-08
332.33, -2.69e-08
334.33, -3.04e-08
336.34, -2.688e-08
338.34, -2.809e-08
340.34, -2.921e-08
342.34, -3.015e-08
344.34, -2.918e-08
346.35, -3.085e-08
348.35, -3.155e-08
350.35, -2.768e-08
352.35, -3.462e-08
354.35, -3.293e-08
356.36, -3.074e-08
358.36, -3.23e-08
360.36, -2.979e-08
362.36, -3.096e-08
364.36, -2.944e-08
366.37, -3.293e-08
368.37, -2.709e-08
370.37, -2.974e-08
372.37, -3.31e-08
374.37, -3.054e-08
376.38, -2.878e-08
378.38, -2.685e-08
380.38, -3.008e-08
382.38, -3.339e-08
384.38, -2.879e-08
386.39, -2.933e-08
388.39, -2.756e-08
390.39, -3.013e-08
392.39, -3.217e-08
394.39, -3.025e-08
396.4, -2.815e-08
398.4, -3.103e-08
400.4, -2.859e-08
402.4, -2.592e-08
404.4, -2.875e-08
406.41, -3.19e-08
408.41, -3.159e-08
410.41, -3.091e-08
412.41, -2.776e-08
414.41, -3.164e-08
416.42, -2.508e-08
418.42, -3.141e-08
420.42, -2.749e-08
422.42, -2.961e-08
424.42, -3.004e-08
426.43, -2.635e-08
428.43, -2.703e-08
430.43, -3.114e-08
432.43, -3.075e-08
434.43, -2.628e-08
436.44, -2.712e-08
438.44, -2.575e-08
440.44, -2.623e-08
442.44, -2.728e-08
444.44, -2.457e-08
446.45, -2.445e-08
448.45, -2.427e-08
450.45, -2.583e-08
452.45, -2.645e-08
454.45, -2.733e-08
456.46, -2.892e-08
458.46, -2.723e-08
460.46, -2.614e-08
462.46, -2.953e-08
464.46, -2.747e-08
466.47, -2.446e-08
468.47, -2.455e-08
470.47, -2.823e-08
472.47, -2.624e-08
474.47, -2.978e-08
476.48, -2.665e-08
478.48, -2.582e-08
480.48, -2.435e-08
482.48, -2.425e-08
484.48, -2.55e-08
486.49, -2.386e-08
488.49, -2.711e-08
490.49, -2.527e-08
492.49, -2.551e-08
494.49, -2.638e-08
496.5, -2.945e-08
498.5, -2.718e-08
500.5, -3.065e-08
502.5, -2.495e-08
504.5, -2.723e-08
506.51, -2.89e-08
508.51, -2.981e-08
510.51, -3.074e-08
512.51, -3.126e-08
514.51, -3.307e-08
516.52, -2.923e-08
518.52, -3.088e-08
520.52, -3.162e-08
522.52, -3.002e-08
524.52, -2.997e-08
526.53, -2.713e-08
528.53, -3.048e-08
530.53, -2.906e-08
532.53, -2.973e-08
534.53, -2.78e-08
536.54, -3.185e-08
538.54, -3.211e-08
540.54, -3.227e-08
542.54, -2.945e-08
544.54, -3.004e-08
546.55, -3.292e-08
548.55, -2.968e-08
550.55, -3.062e-08
552.55, -3.254e-08
554.55, -2.978e-08
556.56, -3.403e-08
558.56, -3.068e-08
560.56, -3.121e-08
562.56, -3.267e-08
564.56, -3.04e-08
566.57, -3.178e-08
568.57, -3.047e-08
570.57, -3.327e-08
572.57, -3.167e-08
574.57, -2.97e-08
576.58, -2.696e-08
578.58, -2.864e-08
580.58, -3.052e-08
582.58, -2.756e-08
584.58, -3.026e-08
586.59, -2.796e-08
588.59, -2.894e-08
590.59, -3.034e-08
592.59, -3.063e-08
594.59, -2.841e-08
596.6, -3.2e-08
598.6, -2.971e-08
600.6, -3.257e-08
602.6, -2.986e-08
604.6, -3.258e-08
606.61, -3.357e-08
608.61, -3.03e-08
610.61, -3.276e-08
612.61, -2.985e-08
614.61, -2.691e-08
616.62, -2.608e-08
618.62, -2.509e-08
620.62, -3.431e-08
622.62, -3.216e-08
624.62, -3.158e-08
626.63, -3.215e-08
628.63, -3.155e-08
630.63, -2.98e-08
632.63, -3.02e-08
634.63, -3.043e-08
636.64, -2.702e-08
638.64, -2.981e-08
640.64, -3.374e-08
642.64, -3.29e-08
644.64, -3.206e-08
646.65, -2.978e-08
648.65, -3.267e-08
650.65, -2.935e-08
652.65, -3.475e-08
654.65, -3.191e-08
656.66, -3.326e-08
658.66, -3.141e-08
660.66, -3.51e-08
662.66, -3.102e-08
664.66, -3.035e-08
666.67, -3.184e-08
668.67, -3.151e-08
670.67, -3.118e-08
672.67, -3.216e-08
674.67, -3.361e-08
676.68, -3.699e-08
678.68, -3.233e-08
680.68, -3.753e-08
682.68, -3.375e-08
684.68, -3.688e-08
686.69, -3.378e-08
688.69, -3.307e-08
690.69, -3.573e-08
692.69, -3.383e-08
694.69, -3.336e-08
696.7, -3.437e-08
698.7, -3.504e-08
700.7, -2.948e-08
702.7, -3.275e-08
704.7, -3.199e-08
706.71, -3.046e-08
708.71, -3.037e-08
710.71, -3.336e-08
712.71, -3.238e-08
714.71, -3.139e-08
716.72, -2.978e-08
718.72, -3.207e-08
720.72, -3.526e-08
722.72, -3.178e-08
724.72, -3.343e-08
726.73, -3.191e-08
728.73, -3.35e-08
730.73, -3.133e-08
732.73, -3.432e-08
734.73, -3.17e-08
736.74, -3.452e-08
738.74, -3.229e-08
740.74, -2.93e-08
742.74, -3.351e-08
744.74, -3.421e-08
746.75, -2.928e-08
748.75, -2.98e-08
750.75, -3.069e-08
752.75, -3.187e-08
754.75, -3.093e-08
756.76, -2.87e-08
758.76, -2.955e-08
760.76, -2.952e-08
762.76, -2.577e-08
764.76, -2.646e-08
766.77, -2.98e-08
768.77, -3.228e-08
770.77, -3.653e-08
772.77, -3.229e-08
774.77, -3.109e-08
776.78, -2.824e-08
778.78, -2.722e-08
780.78, -2.972e-08
782.78, -2.814e-08
784.78, -2.631e-08
786.79, -3.115e-08
788.79, -3.052e-08
790.79, -3.137e-08
792.79, -3.034e-08
