Time sep (s?), Charge (C)
1.986328, 3.527989e-11
2.118164, 3.407274e-13
2.25, -3.435829e-11
2.381836, -5.705066e-11
2.510742, -9.427188e-11
2.642578, -1.155232e-10
2.774414, -1.427774e-10
2.90625, -1.759173e-10
3.037109, -3.487703e-08
3.166016, -1.580116e-07
3.294922, -2.864506e-07
3.426758, -4.172927e-07
3.55957, -5.509044e-07
3.6875, -6.810503e-07
3.819336, -8.144093e-07
3.950195, -9.484217e-07
4.080078, -9.653453e-07
4.209961, -9.653262e-07
4.341797, -9.65316e-07
4.473633, -9.65319e-07
4.606445, -9.653124e-07
4.734375, -9.653129e-07
4.866211, -9.653124e-07
4.999023, -9.664452e-07
5.128906, -1.087449e-06
5.258789, -1.214683e-06
5.388672, -1.34362e-06
5.518555, -1.474251e-06
5.647461, -1.603182e-06
5.779297, -1.734184e-06
5.910156, -1.866838e-06
6.038086, -1.923547e-06
6.166016, -1.923534e-06
6.294922, -1.923499e-06
6.426758, -1.923494e-06
6.557617, -1.923464e-06
6.688477, -1.923469e-06
6.820313, -1.923452e-06
6.951172, -1.923444e-06
7.080078, -2.00533e-06
7.277344, -2.190012e-06
7.407227, -2.317719e-06
7.537109, -2.446656e-06
7.667969, -2.578024e-06
7.798828, -2.708508e-06
7.928711, -2.838201e-06
8.05957, -2.870893e-06
8.191406, -2.870868e-06
8.322266, -2.870757e-06
8.454102, -2.870825e-06
8.582031, -2.870785e-06
8.711914, -2.870844e-06
8.841797, -2.870716e-06
8.972656, -2.870757e-06
9.103516, -2.968607e-06
9.234375, -3.094927e-06
9.366211, -3.223577e-06
9.496094, -3.354083e-06
9.626953, -3.483583e-06
9.759766, -3.615673e-06
9.889648, -3.74685e-06
10.01855, -3.825e-06
10.14941, -3.824918e-06
10.28027, -3.82486e-06
10.41309, -3.82493e-06
10.54297, -3.824868e-06
10.67578, -3.824849e-06
10.80762, -3.824777e-06
10.93848, -3.824783e-06
11.06836, -3.890833e-06
11.19629, -4.016768e-06
11.32715, -4.145948e-06
11.45801, -4.276945e-06
11.58887, -4.408821e-06
11.7207, -4.543152e-06
11.85059, -4.674884e-06
11.98047, -4.790382e-06
12.10938, -4.790322e-06
12.24023, -4.790343e-06
12.37207, -4.790265e-06
12.5, -4.790286e-06
12.63086, -4.790179e-06
12.7627, -4.790234e-06
12.89258, -4.7902e-06
13.02051, -4.790187e-06
13.14941, -4.790124e-06
13.28027, -4.790174e-06
13.40918, -4.790065e-06
