Wavelength(nm), SC charge (e-), PD charge (e-)
350.0, 0.00010253660111764707, 7.301557500000003e-09
354.0, 0.000125674987818854, 8.514869134615394e-09
358.0, 0.00011767229945054945, 7.634218499999998e-09
362.0, 0.00013377721883720928, 8.351953750000005e-09
366.0, 0.0001264701922836096, 7.788315375e-09
370.0, 0.00014763612095238093, 9.042634999999998e-09
374.0, 0.00015515120191681738, 9.708024166666687e-09
378.0, 0.00014279128302752294, 9.252225277777766e-09
382.0, 0.0001509948121875, 1.0101188928571438e-08
386.0, 0.00014746545616858234, 9.882214166666687e-09
390.0, 0.0001668348046449136, 1.1055753749999998e-08
394.0, 0.00016625493691449806, 1.1109915096153864e-08
398.0, 0.00017815699112852662, 1.2009077045454521e-08
402.0, 0.00018155060824175825, 1.2538804027777755e-08
406.0, 0.00020642015196940724, 1.4590418376068376e-08
410.0, 0.000224713559273743, 1.6083817499999993e-08
414.0, 0.00023456681534351147, 1.7388311607142827e-08
418.0, 0.00024160384265774375, 1.865122057692309e-08
422.0, 0.0002578523680524345, 2.0877854999999997e-08
426.0, 0.00024104723662337658, 2.0362350000000006e-08
430.0, 0.00023471941443378122, 2.053562500000001e-08
434.0, 0.00023663054082066873, 2.2115821249999985e-08
438.0, 0.00023790985905660378, 2.285810125000001e-08
442.0, 0.0002424867329818181, 2.395831857142858e-08
446.0, 0.00023482312778115504, 2.414215375e-08
450.0, 0.00024185593559566786, 2.508256874999999e-08
454.0, 0.0002398715850674374, 2.513324732142853e-08
458.0, 0.0002409350360192308, 2.5707402499999984e-08
462.0, 0.00023206650018691596, 2.4825467499999997e-08
466.0, 0.00022856529430656929, 2.4918049999999988e-08
470.0, 0.0002194300426765799, 2.4035258749999986e-08
474.0, 0.00021290441763205826, 2.3805424188034164e-08
478.0, 0.00020605502704710145, 2.290925499999999e-08
482.0, 0.0001936328325048169, 2.17527875e-08
486.0, 0.00018120057566037734, 2.0878945000000007e-08
490.0, 0.00016886439188715957, 1.9694751250000003e-08
494.0, 0.0001583060261643836, 1.8949337499999993e-08
498.0, 0.00015223327054380664, 1.86176425e-08
502.0, 0.0001518668601734104, 1.8806207678571448e-08
506.0, 0.00016090994366412215, 2.055363611111115e-08
510.0, 0.00018160061116883117, 2.3511650000000007e-08
514.0, 0.0001869524410681399, 2.469398500000006e-08
518.0, 0.00017695983354898333, 2.408541642857144e-08
522.0, 0.00017082164519230766, 2.347321125e-08
526.0, 0.00017017326059479555, 2.4039465e-08
530.0, 0.00017030352087452476, 2.428975249999999e-08
534.0, 0.00011965678881619938, 1.7387735972222288e-08
538.0, 0.0001234416717365269, 1.8182957499999963e-08
542.0, 0.0001233979090909091, 1.8562675e-08
546.0, 0.00012065493881261595, 1.8356376249999997e-08
550.0, 0.00012295636810707457, 1.9378573611111127e-08
554.0, 0.00013041940517906337, 2.0697560341880348e-08
558.0, 0.00012852793495412844, 2.0812431249999978e-08
562.0, 0.00012783865092936804, 2.039085124999999e-08
566.0, 0.000124021537184466, 2.005222625e-08
570.0, 0.0001184164203623188, 1.953933041666665e-08
574.0, 0.00011485157750915751, 1.9058489166666687e-08
578.0, 0.00011075200268382353, 1.8726052500000017e-08
582.0, 0.00011206224716390421, 1.8653305e-08
586.0, 0.00011252572406998154, 1.9013866250000032e-08
590.0, 0.00010734266404761905, 1.8443239999999992e-08
594.0, 0.00010778580206831121, 1.8482146249999997e-08
598.0, 0.00010517594968810914, 1.8456511666666695e-08
602.0, 0.00010114951468354427, 1.8196230833333314e-08
606.0, 9.585976238095239e-05, 1.7379314999999997e-08
610.0, 9.338040981308409e-05, 1.7133134999999995e-08
614.0, 9.420578775047258e-05, 1.731973041666669e-08
618.0, 9.311607147540983e-05, 1.7498163977272718e-08
622.0, 8.78469282142857e-05, 1.6875076249999996e-08
626.0, 8.74612184803002e-05, 1.6597249464285708e-08
630.0, 8.263609492366414e-05, 1.6080937499999995e-08
634.0, 8.287720276437849e-05, 1.654028221153849e-08
638.0, 8.313621112167301e-05, 1.6446453750000012e-08
646.0, 7.778896695984705e-05, 1.6108968749999998e-08
650.0, 7.659098910780668e-05, 1.61185175e-08
654.0, 7.752592002754822e-05, 1.6426073000000004e-08
658.0, 7.516963057471263e-05, 1.622157e-08
662.0, 7.139348907196969e-05, 1.5653928749999995e-08
666.0, 7.04489270112782e-05, 1.5713343749999993e-08
670.0, 0.0017306667477039847, 3.8292670833333486e-07
674.0, 0.002234599897164751, 5.286205000000002e-07
678.0, 0.0024377990113649017, 6.419675999999998e-07
682.0, 0.002515159852932331, 7.03144553571429e-07
686.0, 0.002258358617924528, 5.592416666666675e-07
690.0, 0.0023178978727724665, 5.961819999999996e-07
694.0, 0.0024169398412098287, 6.636916249999999e-07
698.0, 0.0025602168887061986, 7.7202085e-07
702.0, 0.0026241840637284885, 8.479583749999984e-07
706.0, 0.002644830375134099, 8.840639519230765e-07
710.0, 0.002650139451362799, 8.893458333333344e-07
714.0, 0.002621479285873606, 8.597752500000002e-07
718.0, 0.0026171619188888893, 8.656555555555544e-07
722.0, 0.0026067063640301314, 8.683883375000001e-07
726.0, 0.0026066658142465753, 8.814149642857159e-07
730.0, 0.0026080608558286776, 8.86556670454544e-07
734.0, 0.0026410143387850457, 9.204823749999998e-07
738.0, 0.0026436993516504854, 9.371441428571428e-07
742.0, 0.0026354107971755724, 9.272786607142865e-07
746.0, 0.0026220874386891383, 9.286436249999996e-07
750.0, 0.002627744369859155, 9.317606624999999e-07
754.0, 0.0026013723566852883, 9.114871249999992e-07
758.0, 0.0025881265909380854, 8.989673750000001e-07
762.0, 0.002565801129849341, 8.875159875e-07
766.0, 0.0025506678370184692, 8.776579999999997e-07
770.0, 0.0025145459013812157, 8.532423750000002e-07
774.0, 0.002485728270915751, 8.422128749999993e-07
778.0, 0.002490313369664805, 8.361194624999998e-07
782.0, 0.0024752632938521402, 8.301732500000003e-07
786.0, 0.0024629185631166346, 8.287020288461558e-07
790.0, 0.0024769585183908043, 8.420311749999998e-07
794.0, 0.002478060655714285, 8.509061250000001e-07
798.0, 0.0024885733624953445, 8.598259250000001e-07
802.0, 0.0025063199506032904, 8.814122999999998e-07
806.0, 0.0025088835216825994, 8.93891181818181e-07
810.0, 0.002536315761439394, 9.075718124999999e-07
814.0, 0.0025361270571566726, 9.200633571428577e-07
818.0, 0.0025580639937984495, 9.421855000000004e-07
822.0, 0.0025579998892156864, 9.409260476190472e-07
826.0, 0.002558416296489564, 9.530859423076935e-07
830.0, 0.0025696859300188323, 9.568799249999998e-07
834.0, 0.0025656415040624997, 9.537929999999999e-07
838.0, 0.002574698708955224, 9.662010000000004e-07
842.0, 0.0025776355745574394, 9.532038874999996e-07
846.0, 0.0025818935889820364, 9.590017954545436e-07
850.0, 0.002593023061278065, 9.450070714285726e-07
854.0, 0.002590958597560521, 8.850854642857154e-07
862.0, 0.0025664544011940304, 9.16151985714286e-07
874.0, 0.002494805142962962, 8.792144999999994e-07
894.0, 0.0025217178291433886, 8.952965999999999e-07
910.0, 0.0025101014546153842, 8.722563000000004e-07
