Wavelength(nm), SC photons / PD electrons
350.0, 2262.3933890056746
354.0, 2435.5098740925837
358.0, 2484.182131405112
362.0, 2431.379477002449
366.0, 2417.5146385013186
370.0, 2428.403093158747
374.0, 2353.2481328988742
378.0, 2218.2357459019563
382.0, 2239.282341074019
386.0, 2250.0523953430593
390.0, 2085.3900154913536
394.0, 2111.1075033028987
398.0, 2080.943345356702
402.0, 2103.7863057739632
406.0, 1982.253687285911
410.0, 1882.246336216214
414.0, 2089.3661048087647
418.0, 1850.6825077660014
422.0, 1637.1743395746741
426.0, 1610.7543174482505
430.0, 1561.5667968788985
434.0, 1476.4059489659596
438.0, 1403.0801004418465
446.0, 1252.6746401508842
450.0, 1272.5843817980497
454.0, 1224.909022908618
458.0, 1209.083859877558
462.0, 1174.7927404462055
466.0, 1178.338466269827
470.0, 1175.3840236584756
474.0, 1165.522684115669
478.0, 1162.1961652081081
482.0, 1104.554207140176
486.0, 1135.500715781138
490.0, 1098.0716702212744
494.0, 1125.6901900213797
498.0, 1070.2175590116842
502.0, 1083.2141019126598
506.0, 1034.9051887138694
510.0, 1019.9052776456363
514.0, 962.3703510252741
518.0, 949.6835112381451
522.0, 950.9696200986532
526.0, 983.1948571644788
530.0, 933.7989254011379
534.0, 917.3323132523598
538.0, 928.1013192563357
542.0, 892.817387548431
546.0, 841.8198789215683
550.0, 849.6082813483698
554.0, 826.1473124895344
558.0, 831.5982815449933
562.0, 822.9172499244708
566.0, 857.0413303100696
570.0, 840.5335553754675
574.0, 836.551033151414
578.0, 777.898139886204
582.0, 816.0321488540812
586.0, 802.9695535165777
590.0, 848.9121713794356
594.0, 808.5901947815867
598.0, 749.3962324688151
602.0, 772.109774020495
606.0, 798.3277307656494
614.0, 773.9465882878392
618.0, 729.2860589519448
622.0, 731.6355465705423
626.0, 713.5929128535696
630.0, 652.3749751078374
634.0, 692.1223651455508
638.0, 734.2543935924921
646.0, 717.9597523661007
650.0, 653.6731930995264
654.0, 690.2570479647633
658.0, 717.3853733260958
662.0, 651.2956244711476
666.0, 684.1207524874969
670.0, 639.6063594910199
674.0, 635.9577437730751
678.0, 632.4240879831917
682.0, 626.3035199153292
686.0, 617.1547415661498
690.0, 611.081757686272
694.0, 608.9016484456862
698.0, 608.1012769478982
702.0, 612.3109974388431
706.0, 606.3628463760591
710.0, 613.8617149302614
714.0, 605.8412986959944
718.0, 604.6766472617912
722.0, 602.3636259786291
726.0, 600.6535955294523
730.0, 596.498146463499
734.0, 592.9918852913822
738.0, 594.8715533140308
742.0, 594.0904167170057
746.0, 595.1886746770177
750.0, 591.9927051523916
754.0, 590.5238131932385
758.0, 591.0508672441532
766.0, 590.8901615528781
770.0, 589.4863472404501
774.0, 591.7736878239591
778.0, 599.1563978350472
782.0, 594.0928643328325
786.0, 591.902240912889
790.0, 591.7954482541504
798.0, 582.4514828595186
802.0, 578.6486603376002
806.0, 575.0673550288016
810.0, 574.8953745140327
814.0, 576.6396078111471
818.0, 573.4985805020118
822.0, 569.4477528591408
826.0, 572.3906147906424
830.0, 572.2466590720919
834.0, 575.5403995725239
838.0, 578.8760617981376
842.0, 583.6924398631146
846.0, 596.208692694754
850.0, 731.4791196013203
854.0, 1002.7715811474847
858.0, 1103.914871368876
862.0, 694.653100442014
866.0, 613.8532695757775
870.0, 611.152712480932
874.0, 609.1717890234083
878.0, 606.2224117274917
882.0, 613.1828535266988
886.0, 617.7727215412104
890.0, 619.280293432601
894.0, 617.8970217559448
898.0, 622.0652311408096
902.0, 628.3901816983824
906.0, 635.1774578814137
910.0, 638.1793872417278
914.0, 641.3727719157843
918.0, 643.1528530381117
922.0, 651.1290143957525
926.0, 656.0246857761148
930.0, 663.4281390167669
934.0, 661.316249045354
938.0, 671.6710332211117
942.0, 683.9707900086366
946.0, 699.8328488248333
950.0, 703.7983139725086
954.0, 709.9454811492716
958.0, 714.6446568478075
962.0, 723.561207256769
966.0, 738.5257305784077
970.0, 743.135332856213
974.0, 746.1784675398685
978.0, 757.2371488956258
982.0, 771.4514643524071
986.0, 795.5828583280789
990.0, 806.5766712791259
994.0, 841.0842090058201
998.0, 865.1478461952057
1002.0, 891.7436391318054
1006.0, 920.6131014508816
1010.0, 952.9482910992847
1014.0, 972.517770337902
1018.0, 993.4846357495741
1022.0, 1029.1663232721342
1026.0, 1060.3642448893768
1030.0, 1114.8251463210684
1034.0, 1181.032090584607
1038.0, 1273.6645382645672
1042.0, 1397.8721701358456
1046.0, 1513.0150074590708
