Wavelength(nm), SC photons / PD photons
350.0, 360.64417971968504
354.0, 383.9265943652031
358.0, 387.1991550774907
362.0, 376.4084230427516
366.0, 373.451879106819
370.0, 374.3201620563932
374.0, 365.0597513569626
378.0, 346.30607882064237
382.0, 357.44181543774596
386.0, 372.7142119716746
390.0, 357.999794942232
394.0, 379.7300973556286
398.0, 391.37235901761267
402.0, 413.77536923674126
406.0, 407.735326289823
410.0, 404.1264609862951
414.0, 468.99490624671114
418.0, 433.4867944418861
422.0, 400.0330846448022
426.0, 410.42996386690135
430.0, 414.23450604998914
434.0, 406.38871488616996
438.0, 400.21778239890966
446.0, 381.5024050415424
450.0, 399.7102282972169
454.0, 394.5962209985602
458.0, 399.2313620700034
462.0, 397.7843304109689
466.0, 409.3102444104683
470.0, 418.5834267790187
474.0, 424.8590488325236
478.0, 433.40601376486313
482.0, 420.43742558955114
486.0, 440.21382469808754
490.0, 433.43655972079637
494.0, 451.9490027744914
498.0, 436.91318108474593
502.0, 449.9255943572864
506.0, 437.5888289534944
510.0, 438.8633001536033
514.0, 421.01689795438733
518.0, 422.2863341590543
522.0, 429.5582670254113
526.0, 450.90846686037816
530.0, 434.7072784963419
534.0, 433.1456507066829
538.0, 444.40621524826406
542.0, 432.9414115527958
546.0, 412.85067672162876
550.0, 421.35200366766395
554.0, 415.56994388665555
558.0, 424.2036159568591
562.0, 424.78730391112737
566.0, 446.76960894702785
570.0, 442.4476587474175
574.0, 445.18274328665814
578.0, 418.462452037619
582.0, 443.26634583450806
586.0, 439.9761183923221
590.0, 469.17280671055437
594.0, 451.928785563523
598.0, 423.5166256716332
602.0, 441.08764528289083
606.0, 460.8791125948551
614.0, 455.98673694736954
618.0, 433.92967564013793
622.0, 439.81716913436605
626.0, 433.5645701405426
630.0, 400.5693106659943
634.0, 428.21838118132365
638.0, 457.7265474447673
646.0, 454.9641927126654
650.0, 417.69421527021177
654.0, 444.10337250055886
658.0, 464.7088338864158
662.0, 424.95655838069297
666.0, 449.79621928151045
670.0, 423.72816506150536
674.0, 423.93469543722034
678.0, 424.188228234526
682.0, 422.62935543416165
686.0, 418.92806607104484
690.0, 417.2536651753133
694.0, 417.27181905729
698.0, 418.22811264908603
702.0, 423.25879722902965
706.0, 421.8759954890432
710.0, 429.85591524621674
714.0, 427.3076957249802
718.0, 429.54842119825906
722.0, 430.30013500498956
726.0, 430.81283905333714
730.0, 429.5546554144019
734.0, 429.09298800533065
738.0, 432.5229561811712
742.0, 434.1909714630368
746.0, 437.40290733268984
750.0, 437.45053307899747
754.0, 438.3072421953022
758.0, 440.64231406348745
766.0, 443.191749994801
770.0, 443.2678586017854
774.0, 446.8447029628968
778.0, 454.29937234495515
782.0, 452.1141094848225
786.0, 451.8856814876318
790.0, 453.24256267217754
798.0, 449.56899727784804
802.0, 448.3424178366889
806.0, 447.24444191321004
810.0, 448.78703990279143
814.0, 451.44033513100896
818.0, 450.265922621178
822.0, 448.3457285019828
826.0, 451.9140062099014
830.0, 453.05129722681124
834.0, 456.2075645152519
838.0, 459.40338045435044
842.0, 463.9458153030933
846.0, 474.7970954385738
850.0, 583.6287391282666
854.0, 800.9909721409969
858.0, 882.7780003270691
862.0, 556.5153625570842
866.0, 493.0242759206048
870.0, 492.09083216669774
874.0, 491.012757301465
878.0, 489.1498925945861
882.0, 495.45148146346423
886.0, 500.01678835061733
890.0, 502.09578254495153
894.0, 501.1311164651838
898.0, 504.66955791175997
902.0, 510.4723280390358
906.0, 517.1821508652467
910.0, 520.8282564593552
914.0, 523.578802766152
918.0, 525.1767311710257
922.0, 531.4875633964988
926.0, 534.9285081952385
930.0, 540.403912813056
934.0, 539.182617918947
938.0, 548.1318382484806
942.0, 558.1443680565336
946.0, 570.5092668286168
950.0, 573.1595614459743
954.0, 578.3239792015042
958.0, 582.311276459702
962.0, 588.9964966441014
966.0, 599.8288873622067
970.0, 602.2152782995719
974.0, 603.3460877207643
978.0, 610.9328850396
982.0, 619.6817469278401
986.0, 634.8809923508242
990.0, 639.4115948326329
994.0, 660.3461663243925
998.0, 672.6339384874066
1002.0, 684.6006435496575
1006.0, 695.8064410670754
1010.0, 708.9031745473058
1014.0, 705.4926989089715
1018.0, 702.3469752719196
1022.0, 706.2642310563242
1026.0, 703.3572444161724
1030.0, 713.9166307846416
1034.0, 720.1774320246332
1038.0, 737.6919980243828
1042.0, 763.9658333930412
1046.0, 774.3342138487185
