Time sep (ms?), Current (A)
0.0, -3.571e-08
2.002, -3.126e-08
4.004, -2.994e-08
6.006, -3.162e-08
8.008, -3.452e-08
10.01, -3.385e-08
12.012, -3.557e-08
14.014, -3.476e-08
16.016, -3.425e-08
18.018, -3.389e-08
20.02, -3.087e-08
22.022, -3.027e-08
24.024, -3.198e-08
26.026, -3.31e-08
28.028, -3.37e-08
30.03, -3.556e-08
32.032, -3.638e-08
34.034, -3.088e-08
36.036, -3.603e-08
38.038, -3.65e-08
40.04, -3.801e-08
42.042, -4.011e-08
44.044, -3.836e-08
46.046, -3.395e-08
48.048, -3.672e-08
50.05, -3.735e-08
52.052, -3.755e-08
54.054, -3.072e-08
56.056, -3.044e-08
58.058, -3.333e-08
60.06, -3.449e-08
62.062, -3.217e-08
64.064, -3.239e-08
66.066, -3.321e-08
68.068, -3.358e-08
70.07, -3.327e-08
72.072, -2.989e-08
74.074, -3.394e-08
76.076, -2.949e-08
78.078, -3.057e-08
80.08, -3.006e-08
82.082, -3.099e-08
84.084, -2.918e-08
86.086, -3.266e-08
88.088, -3.06e-08
90.09, -3.191e-08
92.092, -2.895e-08
94.094, -3e-08
96.096, -2.995e-08
98.098, -2.931e-08
100.1, -2.695e-08
102.1, -3.045e-08
104.1, -2.631e-08
106.11, -2.827e-08
108.11, -2.948e-08
110.11, -3.212e-08
112.11, -3.178e-08
114.11, -2.992e-08
116.12, -3.521e-08
118.12, -2.858e-08
120.12, -3.105e-08
122.12, -3.1e-08
124.12, -2.914e-08
126.13, -3.431e-08
128.13, -3.687e-08
130.13, -3.271e-08
132.13, -3.392e-08
134.13, -3.707e-08
136.14, -3.361e-08
138.14, -3.164e-08
140.14, -3.473e-08
142.14, -3.625e-08
144.14, -3.248e-08
146.15, -3.41e-08
148.15, -3.497e-08
150.15, -3.46e-08
152.15, -3.089e-08
154.15, -3.386e-08
156.16, -3.391e-08
158.16, -3.414e-08
160.16, -3.609e-08
162.16, -3.095e-08
164.16, -3.516e-08
166.17, -3.514e-08
168.17, -3.442e-08
170.17, -3.103e-08
172.17, -3.283e-08
174.17, -3.106e-08
176.18, -3.146e-08
178.18, -2.79e-08
180.18, -3.331e-08
182.18, -3.22e-08
184.18, -3.472e-08
186.19, -3.126e-08
188.19, -3.454e-08
190.19, -3.241e-08
192.19, -3.153e-08
194.19, -2.876e-08
196.2, -3.266e-08
198.2, -3.278e-08
200.2, -2.573e-08
202.2, -3.067e-08
204.2, -2.773e-08
206.21, -2.491e-08
208.21, -2.85e-08
210.21, -2.854e-08
212.21, -3.141e-08
214.21, -3.021e-08
216.22, -3.131e-08
218.22, -3.044e-08
220.22, -2.917e-08
222.22, -2.648e-08
224.22, -3.043e-08
226.23, -2.929e-08
228.23, -2.846e-08
230.23, -2.857e-08
232.23, -3.281e-08
234.23, -2.925e-08
236.24, -2.927e-08
238.24, -2.442e-08
240.24, -3.03e-08
242.24, -2.893e-08
244.24, -2.984e-08
246.25, -3.261e-08
248.25, -3.385e-08
250.25, -3.122e-08
252.25, -2.978e-08
254.25, -2.826e-08
256.26, -2.919e-08
258.26, -3.178e-08
260.26, -3.448e-08
262.26, -3.306e-08
264.26, -3.728e-08
266.27, -3.162e-08
268.27, -3.465e-08
270.27, -3.653e-08
272.27, -3.213e-08
274.27, -3.224e-08
276.28, -2.955e-08
278.28, -3.434e-08
280.28, -3.424e-08
282.28, -3.116e-08
284.28, -3.579e-08
286.29, -3.137e-08
288.29, -3.696e-08
290.29, -3.455e-08
292.29, -3.126e-08
294.29, -3.241e-08
296.3, -3.401e-08
298.3, -3.477e-08
300.3, -3.192e-08
302.3, -3.305e-08
304.3, -3.186e-08
306.31, -3.112e-08
308.31, -3.538e-08
310.31, -3.588e-08
312.31, -3.368e-08
314.31, -3.283e-08
316.32, -3.209e-08
318.32, -3.007e-08
320.32, -3.076e-08
322.32, -3.071e-08
324.32, -3.269e-08
326.33, -2.652e-08
328.33, -3.069e-08
330.33, -3.088e-08
332.33, -3.243e-08
334.33, -3.225e-08
336.34, -2.988e-08
338.34, -3.067e-08
340.34, -2.955e-08
342.34, -3.061e-08
344.34, -3.256e-08
346.35, -3.385e-08
348.35, -3.108e-08
350.35, -3.296e-08
352.35, -3.106e-08
354.35, -3.149e-08
356.36, -3.31e-08
358.36, -2.901e-08
360.36, -3.326e-08
362.36, -3.057e-08
364.36, -2.903e-08
366.37, -3.445e-08
368.37, -3.371e-08
370.37, -3.232e-08
372.37, -3.345e-08
374.37, -3.077e-08
376.38, -2.961e-08
378.38, -3.152e-08
380.38, -3.169e-08
382.38, -3.382e-08
384.38, -3.247e-08
386.39, -3.173e-08
388.39, -3.193e-08
390.39, -3.211e-08
392.39, -3.563e-08
394.39, -3.142e-08
396.4, -3.285e-08
398.4, -3.719e-08
400.4, -3.222e-08
402.4, -3.273e-08
404.4, -3.12e-08
406.41, -3.055e-08
408.41, -3.135e-08
410.41, -3.366e-08
412.41, -3.148e-08
414.41, -2.764e-08
416.42, -3.493e-08
418.42, -2.853e-08
420.42, -2.856e-08
422.42, -2.955e-08
424.42, -2.645e-08
426.43, -3.005e-08
428.43, -2.874e-08
430.43, -3e-08
432.43, -3.067e-08
434.43, -3.074e-08
436.44, -2.764e-08
438.44, -3.184e-08
440.44, -2.624e-08
442.44, -2.935e-08
444.44, -2.808e-08
446.45, -2.967e-08
448.45, -3.08e-08
450.45, -3.098e-08
452.45, -3.102e-08
454.45, -2.926e-08
456.46, -2.741e-08
458.46, -2.877e-08
460.46, -3.248e-08
462.46, -2.988e-08
464.46, -2.594e-08
466.47, -3.195e-08
468.47, -2.752e-08
470.47, -2.912e-08
472.47, -3.228e-08
474.47, -2.69e-08
476.48, -2.847e-08
478.48, -2.967e-08
480.48, -3.013e-08
482.48, -2.93e-08
484.48, -2.814e-08
486.49, -2.87e-08
488.49, -3.001e-08
490.49, -3.165e-08
492.49, -2.709e-08
494.49, -2.853e-08
496.5, -2.94e-08
498.5, -2.996e-08
500.5, -2.84e-08
502.5, -3.22e-08
504.5, -3.232e-08
