Time sep (s?), Charge (C)
1.985352, 4.224387e-11
2.113281, 3.984227e-11
2.243164, 3.912215e-11
2.37207, 3.864182e-11
2.503906, 2.939663e-11
2.636719, 3.023684e-11
2.782227, 2.459376e-11
2.910156, 2.327316e-11
3.042969, -1.660507e-08
3.171875, -5.593746e-08
3.303711, -9.736353e-08
3.433594, -1.395845e-07
3.56543, -1.83332e-07
3.693359, -2.273101e-07
3.825195, -2.717382e-07
3.955078, -3.154681e-07
4.084961, -3.155873e-07
4.214844, -3.155838e-07
4.34668, -3.15568e-07
4.477539, -3.155718e-07
4.608398, -3.15565e-07
4.741211, -3.155621e-07
4.874023, -3.15558e-07
5.004883, -3.27712e-07
5.135742, -3.673911e-07
5.266602, -4.099919e-07
5.394531, -4.531328e-07
5.526367, -4.9766e-07
5.658203, -5.429915e-07
5.790039, -5.875167e-07
5.918945, -6.327546e-07
6.054688, -6.35853e-07
6.195313, -6.358435e-07
6.325195, -6.358326e-07
6.457031, -6.358341e-07
6.584961, -6.358241e-07
6.716797, -6.358172e-07
6.84668, -6.358142e-07
6.977539, -6.4625e-07
7.108398, -6.870517e-07
7.235352, -7.29572e-07
7.365234, -7.732462e-07
7.49707, -8.182874e-07
7.62793, -8.647443e-07
7.758789, -9.104508e-07
7.887695, -9.564199e-07
8.019531, -9.631558e-07
8.150391, -9.63142e-07
8.28125, -9.631289e-07
8.413086, -9.631284e-07
8.545898, -9.631085e-07
8.678711, -9.631094e-07
8.810547, -9.631083e-07
8.941406, -9.630962e-07
9.072266, -9.970753e-07
9.204102, -1.039532e-06
9.336914, -1.083209e-06
9.466797, -1.128358e-06
9.595703, -1.172886e-06
9.726563, -1.2187e-06
9.858398, -1.264022e-06
9.988281, -1.287217e-06
10.11914, -1.287199e-06
10.25293, -1.287187e-06
10.37988, -1.28718e-06
10.51172, -1.287174e-06
10.64258, -1.287162e-06
10.77246, -1.28716e-06
10.90137, -1.287146e-06
11.03906, -1.313815e-06
11.18262, -1.358631e-06
11.31152, -1.400637e-06
11.43945, -1.443392e-06
11.56738, -1.486881e-06
11.69531, -1.529911e-06
11.83496, -1.577813e-06
11.96289, -1.605387e-06
12.0918, -1.60536e-06
12.21973, -1.605344e-06
12.35059, -1.605346e-06
12.4834, -1.605327e-06
12.61133, -1.605329e-06
12.74121, -1.605317e-06
12.86914, -1.605309e-06
12.99707, -1.605297e-06
