Time sep (s?), Charge (C)
1.981445, 4.152342e-11
2.12793, 8.985167e-12
2.255859, -2.331278e-11
2.387695, -4.276295e-11
2.516602, -6.67771e-11
2.647461, -8.862888e-11
2.777344, -1.089206e-10
2.90918, -1.294508e-10
3.037109, -2.873818e-09
3.166016, -9.845472e-08
3.295898, -2.008174e-07
3.424805, -3.034755e-07
3.552734, -4.069669e-07
3.683594, -5.131314e-07
3.814453, -6.192524e-07
3.946289, -7.271619e-07
4.075195, -7.729362e-07
4.208984, -7.729132e-07
4.344727, -7.729037e-07
4.475586, -7.729104e-07
4.607422, -7.729003e-07
4.738281, -7.728981e-07
4.869141, -7.729053e-07
5.000977, -7.798504e-07
5.129883, -8.768924e-07
5.257813, -9.774047e-07
5.388672, -1.082287e-06
5.521484, -1.189227e-06
5.651367, -1.293579e-06
5.782227, -1.399112e-06
5.90918, -1.502481e-06
6.041992, -1.542135e-06
6.175781, -1.542113e-06
6.307617, -1.54209e-06
6.439453, -1.542081e-06
6.575195, -1.542073e-06
6.705078, -1.542058e-06
6.835938, -1.542056e-06
6.980469, -1.565408e-06
7.111328, -1.66627e-06
7.243164, -1.769547e-06
7.374023, -1.874905e-06
7.512695, -1.986149e-06
7.643555, -2.0933e-06
7.84082, -2.252031e-06
7.970703, -2.315409e-06
8.102539, -2.315418e-06
8.230469, -2.315361e-06
8.361328, -2.315418e-06
8.490234, -2.315357e-06
8.619141, -2.315337e-06
8.74707, -2.315338e-06
8.876953, -2.315319e-06
9.003906, -2.37487e-06
9.130859, -2.475955e-06
9.264648, -2.584023e-06
9.393555, -2.689269e-06
9.524414, -2.797589e-06
9.65625, -2.907764e-06
9.789063, -3.019031e-06
9.921875, -3.103881e-06
10.05273, -3.103956e-06
10.18457, -3.103912e-06
10.31836, -3.103864e-06
10.44922, -3.103887e-06
10.58203, -3.10382e-06
10.71387, -3.103794e-06
10.85449, -3.103856e-06
11.01465, -3.209228e-06
11.14551, -3.314581e-06
11.27246, -3.420151e-06
11.39941, -3.526184e-06
11.52734, -3.632912e-06
11.65527, -3.738982e-06
11.7832, -3.846376e-06
11.91211, -3.895509e-06
12.04492, -3.895542e-06
12.17773, -3.895541e-06
12.32227, -3.895442e-06
12.47363, -3.895447e-06
12.62598, -3.895457e-06
12.77441, -3.89538e-06
12.9082, -3.895376e-06
13.04785, -3.895364e-06
13.17578, -3.895334e-06
13.30469, -3.895363e-06
13.43652, -3.895289e-06
13.56543, -3.895335e-06
