Time sep (s?), Charge (C)
1.991211, 4.248377e-11
2.123047, 3.912189e-11
2.254883, 3.936223e-11
2.385742, 4.452503e-11
2.518555, 3.828172e-11
2.648438, 3.756092e-11
2.780273, 3.708088e-11
2.910156, 3.191787e-11
3.041992, -1.886442e-10
3.174805, -1.31811e-09
3.306641, -2.483247e-09
3.4375, -3.665648e-09
3.570313, -4.923109e-09
3.701172, -6.123773e-09
3.831055, -7.357829e-09
3.961914, -8.584561e-09
4.094727, -8.756955e-09
4.226563, -8.765255e-09
4.357422, -8.754774e-09
4.489258, -8.762242e-09
4.62207, -8.760114e-09
4.753906, -8.75973e-09
4.884766, -8.764655e-09
5.017578, -8.817937e-09
5.147461, -9.933739e-09
5.280273, -1.111414e-08
5.40918, -1.230829e-08
5.540039, -1.351215e-08
5.670898, -1.474041e-08
5.802734, -1.598029e-08
5.936523, -1.723917e-08
6.066406, -1.764921e-08
6.202148, -1.765182e-08
6.337891, -1.764968e-08
6.47168, -1.765375e-08
6.609375, -1.765091e-08
6.745117, -1.765121e-08
6.87793, -1.765697e-08
7.008789, -1.794705e-08
7.144531, -1.911517e-08
7.275391, -2.029627e-08
7.40332, -2.148637e-08
7.533203, -2.272076e-08
7.660156, -2.392383e-08
7.791992, -2.517094e-08
7.920898, -2.640432e-08
8.049805, -2.660273e-08
8.181641, -2.660927e-08
8.311523, -2.661059e-08
8.442383, -2.66093e-08
8.573242, -2.660791e-08
8.705078, -2.661147e-08
8.836914, -2.660139e-08
8.967773, -2.661026e-08
9.098633, -2.762662e-08
9.230469, -2.881098e-08
9.362305, -3.001096e-08
9.496094, -3.125161e-08
9.626953, -3.246213e-08
9.759766, -3.370485e-08
9.890625, -3.493545e-08
10.02246, -3.54127e-08
10.15527, -3.541481e-08
10.28613, -3.540777e-08
10.41699, -3.541489e-08
10.54883, -3.540775e-08
10.68359, -3.541082e-08
10.81836, -3.541283e-08
10.96387, -3.563224e-08
11.12012, -3.693437e-08
11.2832, -3.837096e-08
11.41602, -3.957887e-08
11.54688, -4.078863e-08
11.68066, -4.202866e-08
11.81445, -4.324815e-08
11.94238, -4.408746e-08
12.07227, -4.40889e-08
12.20508, -4.408308e-08
12.33984, -4.408807e-08
12.47266, -4.408805e-08
12.60742, -4.40876e-08
12.74023, -4.408205e-08
12.87207, -4.408426e-08
13.00195, -4.408312e-08
13.13379, -4.40903e-08
13.26172, -4.408277e-08
13.39551, -4.408484e-08
13.53418, -4.40825e-08
13.66602, -4.408611e-08
