Wavelength(nm), SC photons / PD electrons
350.0, 17617.00350572328
370.0, 20096.2968941387
390.0, 18329.63569445949
410.0, 9801.08536165048
430.0, 12651.073322891112
450.0, 10183.86334533944
490.0, 9060.170878090206
510.0, 8123.549469422094
530.0, 7215.574885456714
550.0, 7115.9321897459295
570.0, 6666.270408409905
590.0, 6007.304132502748
610.0, 5690.107084768418
630.0, 5266.245738675035
650.0, 5032.3179325984
690.0, 4301.638561409981
710.0, 4084.1088943792847
730.0, 3912.5119651253867
750.0, 3769.7529899845204
770.0, 3640.9424593977833
790.0, 3555.581803170325
810.0, 3493.4556400000397
830.0, 3306.5680580015273
850.0, 3643.460510422962
870.0, 3622.6260996938686
890.0, 3788.2804391362442
910.0, 3945.36775780941
950.0, 4300.863429165872
970.0, 4540.1304928126
990.0, 4969.500171200288
1010.0, 5361.258176186426
1030.0, 6675.187133275235
