Wavelength(nm), SC photons / PD photons
350.0, 2808.295767356688
370.0, 3097.6937607020413
390.0, 3146.656391004247
410.0, 2104.335582871021
430.0, 3355.931439746412
450.0, 3198.6832472058904
490.0, 3576.27776253496
510.0, 3495.547878074937
530.0, 3359.0346228937947
550.0, 3529.0525668537584
570.0, 3509.0517397138515
590.0, 3320.0887390156954
610.0, 3319.2413839741957
630.0, 3233.564293281007
650.0, 3215.6284088689304
690.0, 2937.2083742176787
710.0, 2859.892259216828
730.0, 2817.5070433131714
750.0, 2785.6432025127137
770.0, 2737.8289163519203
790.0, 2723.1385658907493
810.0, 2727.135554069518
830.0, 2617.8308327311797
850.0, 2907.0252407488483
870.0, 2916.883220219322
890.0, 3071.4357484957773
910.0, 3219.8768112397474
950.0, 3502.5389347494656
970.0, 3679.189815584414
990.0, 3939.558560439179
1010.0, 3988.2677540478235
1030.0, 4274.685697367989
