Wavelength(nm), SC charge (e-), PD charge (e-)
350.0, 7.537320364928908e-05, 5.460844999999997e-09
370.0, 0.0001150795554589372, 7.098191057692317e-09
390.0, 0.0001302995632038835, 8.670038499999998e-09
410.0, 0.00017721648695312494, 1.3010477142857136e-08
430.0, 0.00018296605472868213, 1.62659218269231e-08
450.0, 0.00017898693755725187, 1.91526225e-08
470.0, 0.00016478102893048127, 1.815695625e-08
490.0, 0.00011484947276119404, 1.3418616249999997e-08
510.0, 0.00012605717681992337, 1.6439456249999987e-08
530.0, 0.00011866671183206109, 1.689323375e-08
550.0, 8.254965643137254e-05, 1.2876693269230774e-08
570.0, 7.668918429118776e-05, 1.2570284999999998e-08
590.0, 7.268044096692112e-05, 1.2417123749999999e-08
610.0, 6.64820888372093e-05, 1.2076522499999998e-08
630.0, 5.9105940076481826e-05, 1.132738085714285e-08
650.0, 5.5476905670498085e-05, 1.1545647678571441e-08
670.0, 0.0011251564678373383, 2.549340625e-07
690.0, 0.0018613577607692303, 4.438574285714286e-07
710.0, 0.0024484277370542635, 7.138692857142861e-07
730.0, 0.0024066125208029193, 7.124094642857141e-07
750.0, 0.0024296516712713464, 7.574918749999996e-07
770.0, 0.0023115682326717555, 6.999657000000002e-07
790.0, 0.002243175733007518, 6.827807499999998e-07
810.0, 0.0023209028727552983, 7.479358285714284e-07
830.0, 0.002375727185, 7.956972916666677e-07
850.0, 0.0024045294059500963, 7.703227499999994e-07
870.0, 0.0023011405429981023, 7.247485714285721e-07
890.0, 0.0022855561559143966, 7.052137500000002e-07
910.0, 0.0023116133619607844, 7.015483406593398e-07
930.0, 0.0022589274806249994, 6.625848749999997e-07
950.0, 0.0021485948002025784, 6.032012500000005e-07
970.0, 0.0019659564995533505, 5.13325125e-07
990.0, 0.0016262783954954958, 4.097486124999999e-07
1010.0, 0.0017086990829535866, 4.02130655555555e-07
1030.0, 0.001777923340627306, 3.639270625e-07
