Wavelength(nm), SC photons / PD photons
350.0, 2874.5246842968563
370.0, 3085.1947089422847
390.0, 3111.3497991676422
410.0, 3388.9464225135225
430.0, 3352.905860211681
450.0, 3206.444462900556
470.0, 3396.6350649030232
490.0, 3492.1705714645773
510.0, 3449.8288835057665
530.0, 3359.40514335237
550.0, 3328.7448324433694
570.0, 3302.3719554635513
590.0, 3284.42184638466
610.0, 3331.745746161815
630.0, 3288.6211158392102
650.0, 3185.9737858737235
670.0, 3061.210919928385
690.0, 2964.380511151606
710.0, 2508.2792278649645
730.0, 2518.0246365831094
750.0, 2464.0346104208256
770.0, 2592.3030306992937
790.0, 2640.1088249520294
810.0, 2548.033869852575
830.0, 2507.3793184449946
850.0, 2613.1460727234758
870.0, 2735.8764948560715
890.0, 2873.5488813559327
910.0, 3013.546097759857
930.0, 3231.54170702425
950.0, 3424.1807933394016
970.0, 3697.6344866034465
990.0, 3968.266254952648
1010.0, 4039.760418980328
1030.0, 4317.356795850198
