Time sep (ms?), Current (A)
0.0, -3.825e-08
2.002, -4.152e-08
4.004, -3.895e-08
6.006, -4.113e-08
8.008, -3.89e-08
10.01, -3.715e-08
12.012, -3.828e-08
14.014, -3.503e-08
16.016, -3.94e-08
18.018, -3.983e-08
20.02, -4.357e-08
22.022, -4.131e-08
24.024, -4.497e-08
26.026, -4.28e-08
28.028, -4.178e-08
30.03, -4.154e-08
32.032, -4.545e-08
34.034, -3.866e-08
36.036, -4.112e-08
38.038, -3.916e-08
40.04, -3.908e-08
42.042, -4.187e-08
44.044, -3.924e-08
46.046, -4.18e-08
48.048, -4.115e-08
50.05, -3.708e-08
52.052, -3.964e-08
54.054, -3.58e-08
56.056, -3.908e-08
58.058, -3.479e-08
60.06, -3.694e-08
62.062, -3.752e-08
64.064, -3.786e-08
66.066, -3.952e-08
68.068, -3.808e-08
70.07, -3.81e-08
72.072, -3.562e-08
74.074, -3.69e-08
76.076, -3.706e-08
78.078, -3.843e-08
80.08, -3.468e-08
82.082, -3.506e-08
84.084, -3.624e-08
86.086, -4.263e-08
88.088, -4.128e-08
90.09, -4.028e-08
92.092, -3.907e-08
94.094, -3.988e-08
96.096, -4.314e-08
98.098, -4.107e-08
100.1, -3.703e-08
102.1, -3.751e-08
104.1, -3.864e-08
106.11, -4.115e-08
108.11, -4.182e-08
110.11, -3.859e-08
112.11, -4.162e-08
114.11, -4.103e-08
116.12, -4.326e-08
118.12, -4.366e-08
120.12, -4.255e-08
122.12, -4.325e-08
124.12, -4.413e-08
126.13, -4.322e-08
128.13, -4.447e-08
130.13, -4.162e-08
132.13, -4.108e-08
134.13, -4.195e-08
136.14, -4.42e-08
138.14, -4.377e-08
140.14, -4.344e-08
142.14, -3.962e-08
144.14, -3.893e-08
146.15, -3.851e-08
148.15, -4.008e-08
150.15, -4.218e-08
152.15, -4.001e-08
154.15, -3.989e-08
156.16, -4.339e-08
158.16, -4.089e-08
160.16, -4.254e-08
162.16, -4.089e-08
164.16, -4.147e-08
166.17, -4.342e-08
168.17, -4.51e-08
170.17, -3.898e-08
172.17, -3.619e-08
174.17, -4.026e-08
176.18, -4.283e-08
178.18, -3.822e-08
180.18, -4.286e-08
182.18, -3.883e-08
184.18, -3.768e-08
186.19, -3.865e-08
188.19, -4.151e-08
190.19, -4.225e-08
192.19, -4.046e-08
194.19, -3.562e-08
196.2, -4.06e-08
198.2, -3.918e-08
200.2, -3.925e-08
202.2, -3.893e-08
204.2, -3.816e-08
206.21, -3.632e-08
208.21, -4.011e-08
210.21, -3.76e-08
212.21, -3.909e-08
214.21, -3.651e-08
216.22, -3.861e-08
218.22, -4.012e-08
220.22, -3.893e-08
222.22, -4.02e-08
224.22, -3.686e-08
226.23, -4.178e-08
228.23, -4.065e-08
230.23, -3.93e-08
232.23, -4.17e-08
234.23, -4.036e-08
236.24, -3.921e-08
238.24, -4.281e-08
240.24, -3.838e-08
242.24, -4.018e-08
244.24, -3.771e-08
246.25, -3.981e-08
248.25, -3.75e-08
250.25, -4.295e-08
252.25, -3.853e-08
254.25, -4.067e-08
256.26, -3.836e-08
258.26, -4.269e-08
260.26, -3.604e-08
262.26, -3.708e-08
264.26, -3.49e-08
266.27, -3.922e-08
268.27, -3.756e-08
270.27, -3.408e-08
272.27, -3.866e-08
274.27, -3.587e-08
276.28, -3.883e-08
278.28, -3.726e-08
280.28, -4.027e-08
282.28, -4.183e-08
284.28, -4.004e-08
286.29, -4.164e-08
288.29, -4.223e-08
290.29, -4.187e-08
292.29, -4.006e-08
294.29, -4.088e-08
296.3, -3.861e-08
298.3, -4.059e-08
300.3, -3.604e-08
302.3, -3.782e-08
304.3, -3.745e-08
306.31, -3.996e-08
308.31, -3.918e-08
310.31, -4.025e-08
312.31, -3.585e-08
314.31, -3.607e-08
316.32, -3.748e-08
318.32, -3.271e-08
320.32, -3.635e-08
322.32, -3.684e-08
324.32, -3.737e-08
326.33, -3.652e-08
328.33, -3.884e-08
330.33, -3.927e-08
332.33, -3.966e-08
334.33, -3.8e-08
336.34, -3.861e-08
338.34, -3.955e-08
340.34, -4.113e-08
342.34, -4.157e-08
344.34, -3.748e-08
346.35, -4.178e-08
348.35, -3.941e-08
350.35, -4.081e-08
352.35, -3.775e-08
354.35, -4.258e-08
356.36, -4.413e-08
358.36, -4.435e-08
360.36, -4.351e-08
362.36, -4.275e-08
364.36, -4.457e-08
366.37, -4.304e-08
368.37, -4.034e-08
370.37, -4.181e-08
372.37, -4.178e-08
374.37, -4.044e-08
376.38, -4.326e-08
378.38, -3.776e-08
380.38, -4.023e-08
382.38, -4.536e-08
384.38, -4.402e-08
386.39, -4.252e-08
388.39, -4.448e-08
390.39, -4.41e-08
392.39, -4.347e-08
394.39, -4.446e-08
396.4, -4.313e-08
398.4, -4.148e-08
400.4, -4.198e-08
402.4, -4.169e-08
404.4, -4.362e-08
406.41, -4.451e-08
408.41, -4.585e-08
410.41, -3.932e-08
412.41, -4.319e-08
414.41, -4.361e-08
416.42, -4.369e-08
418.42, -4.236e-08
420.42, -4.191e-08
422.42, -4.502e-08
424.42, -4.157e-08
426.43, -4.229e-08
428.43, -4.247e-08
430.43, -4.466e-08
432.43, -4.329e-08
434.43, -4.362e-08
436.44, -4.162e-08
438.44, -4.149e-08
440.44, -3.85e-08
442.44, -3.809e-08
444.44, -4.076e-08
446.45, -3.858e-08
448.45, -3.853e-08
450.45, -3.662e-08
452.45, -3.735e-08
454.45, -3.805e-08
456.46, -3.899e-08
458.46, -4.05e-08
460.46, -4.048e-08
462.46, -3.905e-08
