Time sep (s?), Charge (C)
1.985352, 4.284426e-11
2.118164, 3.768149e-11
2.251953, 3.756159e-11
2.383789, 2.903661e-11
2.516602, 3.612083e-11
2.649414, 2.519465e-11
2.780273, 2.615499e-11
2.913086, 2.30334e-11
3.045898, -3.697011e-10
3.176758, -1.567238e-09
3.308594, -2.846301e-09
3.44043, -4.139304e-09
3.570313, -5.449448e-09
3.702148, -6.774395e-09
3.834961, -8.125104e-09
3.963867, -9.447684e-09
4.09375, -9.520385e-09
4.225586, -9.525478e-09
4.354492, -9.526778e-09
4.486328, -9.52331e-09
4.617188, -9.528561e-09
4.749023, -9.529201e-09
4.880859, -9.535519e-09
5.013672, -9.576624e-09
5.145508, -1.077834e-08
5.277344, -1.206961e-08
5.40625, -1.336502e-08
5.537109, -1.470656e-08
5.668945, -1.602847e-08
5.800781, -1.739933e-08
5.928711, -1.872366e-08
6.058594, -1.925772e-08
6.188477, -1.925603e-08
6.316406, -1.925734e-08
6.448242, -1.926367e-08
6.580078, -1.925864e-08
6.772461, -1.926458e-08
6.904297, -1.926996e-08
7.03418, -1.953808e-08
7.166016, -2.076586e-08
7.294922, -2.202885e-08
7.424805, -2.333381e-08
7.555664, -2.466362e-08
7.688477, -2.598199e-08
7.819336, -2.731703e-08
7.949219, -2.866755e-08
8.080078, -2.890487e-08
8.211914, -2.890517e-08
8.339844, -2.890378e-08
8.470703, -2.891151e-08
8.600586, -2.891175e-08
8.732422, -2.891224e-08
8.861328, -2.891258e-08
8.994141, -2.906133e-08
9.126953, -3.026306e-08
9.256836, -3.151095e-08
9.390625, -3.282438e-08
9.524414, -3.415175e-08
9.65918, -3.551624e-08
9.788086, -3.680385e-08
9.919922, -3.814483e-08
10.0498, -3.843375e-08
10.18164, -3.843643e-08
10.30957, -3.842999e-08
10.44043, -3.844041e-08
10.57227, -3.843808e-08
10.7041, -3.844164e-08
10.83398, -3.844761e-08
10.96484, -3.844082e-08
11.09668, -3.925562e-08
11.22559, -4.044161e-08
11.35547, -4.167875e-08
11.48633, -4.293861e-08
11.61719, -4.423299e-08
11.74902, -4.554225e-08
11.88184, -4.684926e-08
12.01465, -4.776402e-08
12.14453, -4.776278e-08
12.27441, -4.775775e-08
12.40527, -4.776209e-08
12.53613, -4.776674e-08
12.66895, -4.776158e-08
12.79785, -4.777107e-08
12.92969, -4.777169e-08
13.06055, -4.776999e-08
13.19238, -4.776929e-08
13.32324, -4.777673e-08
