Time sep (s?), Charge (C)
1.985352, 3.93623e-11
2.118164, 4.560601e-11
2.251953, 3.924249e-11
2.381836, 4.524563e-11
2.511719, 4.248425e-11
2.644531, 3.600046e-11
2.774414, 3.936256e-11
2.904297, 4.464531e-11
3.03418, -6.227986e-10
3.166016, -2.173574e-09
3.298828, -3.778009e-09
3.427734, -5.375981e-09
3.560547, -7.051132e-09
3.692383, -8.700372e-09
3.824219, -1.036592e-08
3.956055, -1.190862e-08
4.087891, -1.190578e-08
4.237305, -1.190742e-08
4.366211, -1.190752e-08
4.5, -1.190828e-08
4.630859, -1.190156e-08
4.760742, -1.190549e-08
4.894531, -1.191058e-08
5.026367, -1.284176e-08
5.157227, -1.439221e-08
5.287109, -1.597131e-08
5.416992, -1.75783e-08
5.548828, -1.922372e-08
5.680664, -2.088405e-08
5.813477, -2.255778e-08
5.945313, -2.381148e-08
6.078125, -2.381678e-08
6.209961, -2.380711e-08
6.339844, -2.381455e-08
6.47168, -2.381137e-08
6.604492, -2.381204e-08
6.765625, -2.380792e-08
6.896484, -2.380782e-08
7.026367, -2.509657e-08
7.158203, -2.667431e-08
7.286133, -2.824288e-08
7.418945, -2.991055e-08
7.579102, -3.189716e-08
7.712891, -3.359327e-08
7.84375, -3.524545e-08
8.170898, -3.577073e-08
8.300781, -3.576912e-08
8.431641, -3.57726e-08
8.561523, -3.57644e-08
8.692383, -3.576802e-08
8.822266, -3.576573e-08
8.954102, -3.617468e-08
9.086914, -3.775991e-08
9.21875, -3.937061e-08
9.349609, -4.102801e-08
9.482422, -4.269732e-08
9.613281, -4.438179e-08
9.743164, -4.60361e-08
9.873047, -4.771278e-08
10.00195, -4.784751e-08
10.13477, -4.785262e-08
10.26367, -4.78518e-08
10.39551, -4.78529e-08
10.52734, -4.785259e-08
10.65918, -4.784872e-08
10.79102, -4.784977e-08
10.92285, -4.785901e-08
11.05469, -4.938119e-08
11.18457, -5.095735e-08
11.31543, -5.258138e-08
11.44824, -5.426197e-08
11.5791, -5.591798e-08
11.70801, -5.758417e-08
11.83887, -5.92776e-08
11.96875, -5.995253e-08
12.09961, -5.994886e-08
12.22852, -5.995032e-08
12.35937, -5.994955e-08
12.49121, -5.995481e-08
12.62207, -5.994286e-08
12.75488, -5.995025e-08
12.88672, -5.994892e-08
13.01855, -5.99444e-08
13.15039, -5.994636e-08
13.28125, -5.994679e-08
13.41113, -5.995048e-08
