Time sep (s?), Charge (C)
1.983398, 4.368472e-11
2.114258, 3.407952e-11
2.246094, 3.540005e-11
2.376953, 3.275876e-11
2.505859, 3.672098e-11
2.636719, 2.663539e-11
2.768555, 2.81961e-11
2.900391, 2.303339e-11
3.033203, -6.717087e-08
3.165039, -1.625928e-07
3.296875, -2.60099e-07
3.429688, -3.600472e-07
3.55957, -4.579908e-07
3.691406, -5.574589e-07
3.823242, -6.587289e-07
3.951172, -7.219459e-07
4.083008, -7.219195e-07
4.213867, -7.21899e-07
4.344727, -7.218919e-07
4.476563, -7.218786e-07
4.606445, -7.218694e-07
4.737305, -7.218537e-07
4.869141, -7.218542e-07
4.999023, -7.218483e-07
5.130859, -7.4597e-07
5.262695, -8.379905e-07
5.392578, -9.329664e-07
5.524414, -1.030015e-06
5.655273, -1.126548e-06
5.78418, -1.222331e-06
5.915039, -1.320313e-06
6.043945, -1.416363e-06
6.175781, -1.432115e-06
6.307617, -1.432094e-06
6.436523, -1.432071e-06
6.564453, -1.432065e-06
6.694336, -1.43204e-06
6.825195, -1.432036e-06
6.955078, -1.432012e-06
7.086914, -1.432008e-06
7.216797, -1.432002e-06
7.34668, -1.490709e-06
7.473633, -1.581292e-06
7.604492, -1.67563e-06
7.736328, -1.771772e-06
7.868164, -1.868909e-06
7.998047, -1.965456e-06
8.128906, -2.063192e-06
8.327148, -2.135956e-06
8.457031, -2.13608e-06
8.588867, -2.136022e-06
8.72168, -2.135993e-06
8.851563, -2.136028e-06
8.982422, -2.135945e-06
9.143555, -2.136004e-06
9.274414, -2.135867e-06
9.402344, -2.135937e-06
9.533203, -2.221089e-06
9.665039, -2.315551e-06
9.794922, -2.411507e-06
9.926758, -2.510009e-06
10.05762, -2.608046e-06
10.18945, -2.707433e-06
10.32129, -2.806604e-06
10.45117, -2.849319e-06
10.58105, -2.849221e-06
10.71387, -2.849212e-06
10.8457, -2.849261e-06
10.97461, -2.849184e-06
11.10547, -2.84919e-06
11.23828, -2.849117e-06
11.36816, -2.849142e-06
11.5, -2.849054e-06
11.63086, -2.903539e-06
11.7627, -2.998151e-06
11.8916, -3.09362e-06
12.02246, -3.190882e-06
12.15234, -3.289841e-06
12.2832, -3.388653e-06
12.41406, -3.487808e-06
12.54492, -3.568003e-06
12.67383, -3.567991e-06
12.80176, -3.567954e-06
12.93359, -3.567999e-06
13.06641, -3.567851e-06
13.19629, -3.567917e-06
13.32617, -3.567874e-06
