Time sep (s?), Charge (C)
1.972656, 3.588052e-11
2.102539, 2.987728e-11
2.236328, 2.26734e-11
2.37793, 1.222732e-11
2.510742, 7.905149e-12
2.654297, -7.102825e-12
2.788086, -1.466712e-11
3.00293, -5.080126e-09
3.240234, -5.320419e-08
3.378906, -8.451263e-08
3.509766, -1.156953e-07
3.639648, -1.46243e-07
3.769531, -1.774909e-07
3.901367, -2.090494e-07
4.033203, -2.198373e-07
4.318359, -2.198361e-07
4.451172, -2.19829e-07
4.581055, -2.198337e-07
4.90625, -2.198384e-07
5.133789, -2.437729e-07
5.385742, -2.97986e-07
5.516602, -3.280148e-07
5.647461, -3.591565e-07
5.779297, -3.899511e-07
5.910156, -4.207082e-07
6.046875, -4.365608e-07
6.181641, -4.36554e-07
6.314453, -4.365498e-07
6.495117, -4.365423e-07
6.632813, -4.365356e-07
6.958008, -4.365379e-07
7.175781, -4.685002e-07
7.306641, -4.967425e-07
7.436523, -5.282345e-07
7.566406, -5.590109e-07
7.696289, -5.912842e-07
7.827148, -6.239604e-07
7.958008, -6.574764e-07
8.19043, -6.634219e-07
8.324219, -6.63417e-07
8.455078, -6.634057e-07
8.598633, -6.634002e-07
8.734375, -6.633991e-07
8.87207, -6.63396e-07
9.004883, -6.641026e-07
9.197266, -7.031052e-07
9.328125, -7.332083e-07
9.460938, -7.650881e-07
9.59082, -7.967824e-07
9.726563, -8.311966e-07
9.864258, -8.660243e-07
10.00098, -8.927978e-07
10.19922, -8.927877e-07
10.33398, -8.92779e-07
10.60449, -8.927749e-07
10.7666, -8.927624e-07
11.10547, -8.927541e-07
11.23633, -9.088428e-07
11.36816, -9.361783e-07
11.49609, -9.646205e-07
11.62598, -9.952082e-07
11.75781, -1.027454e-06
11.8877, -1.059945e-06
12.02148, -1.093918e-06
12.1543, -1.117729e-06
12.47656, -1.117707e-06
12.61328, -1.117705e-06
12.75586, -1.117698e-06
13.11035, -1.117689e-06
