Time sep (ms?), Charge (C)
0.0, -2.63e-10
2.002, -3.3e-10
4.004, -4.01e-10
6.006, -4.67e-10
8.008, -5.33e-10
10.01, -5.98e-10
12.012, -6.66e-10
14.014, -7.36e-10
16.016, -8.05e-10
18.018, -8.75e-10
20.02, -9.39e-10
22.022, -1.005e-09
24.024, -1.07e-09
26.026, -1.139e-09
28.028, -1.205e-09
30.03, -1.275e-09
32.032, -1.341e-09
34.034, -1.411e-09
36.036, -1.476e-09
38.038, -1.536e-09
40.04, -1.599e-09
42.042, -1.666e-09
44.044, -1.737e-09
46.046, -1.803e-09
48.048, -1.874e-09
50.05, -1.944e-09
52.052, -2.01e-09
54.054, -2.076e-09
56.056, -2.134e-09
58.058, -2.194e-09
60.06, -2.26e-09
62.062, -2.327e-09
64.064, -2.389e-09
66.066, -2.443e-09
68.068, -2.507e-09
70.07, -2.572e-09
72.072, -2.64e-09
74.074, -2.706e-09
76.076, -2.774e-09
78.078, -2.844e-09
80.08, -2.912e-09
82.082, -2.982e-09
84.084, -3.055e-09
86.086, -3.122e-09
88.088, -3.181e-09
90.09, -3.24e-09
92.092, -3.309e-09
94.094, -3.379e-09
96.096, -3.45e-09
98.098, -3.509e-09
100.1, -3.576e-09
102.1, -3.643e-09
104.1, -3.709e-09
106.11, -3.767e-09
108.11, -3.829e-09
110.11, -3.895e-09
112.11, -3.96e-09
114.11, -4.025e-09
116.12, -4.085e-09
118.12, -4.149e-09
120.12, -4.217e-09
122.12, -4.283e-09
124.12, -4.346e-09
126.13, -4.409e-09
128.13, -4.474e-09
130.13, -4.538e-09
132.13, -4.602e-09
134.13, -4.668e-09
136.14, -4.738e-09
138.14, -4.813e-09
140.14, -4.884e-09
142.14, -4.954e-09
144.14, -5.029e-09
146.15, -5.099e-09
148.15, -5.168e-09
150.15, -5.237e-09
152.15, -5.303e-09
154.15, -5.368e-09
156.16, -5.433e-09
158.16, -5.499e-09
160.16, -5.571e-09
162.16, -5.637e-09
164.16, -5.699e-09
166.17, -5.761e-09
168.17, -5.822e-09
170.17, -5.884e-09
172.17, -5.943e-09
174.17, -6.008e-09
176.18, -6.069e-09
178.18, -6.134e-09
180.18, -6.197e-09
182.18, -6.261e-09
184.18, -6.323e-09
186.19, -6.387e-09
188.19, -6.455e-09
190.19, -6.525e-09
192.19, -6.592e-09
194.19, -6.657e-09
196.2, -6.726e-09
198.2, -6.798e-09
200.2, -6.867e-09
202.2, -6.94e-09
204.2, -7.008e-09
206.21, -7.073e-09
208.21, -7.142e-09
210.21, -7.205e-09
212.21, -7.275e-09
214.21, -7.346e-09
216.22, -7.416e-09
218.22, -7.482e-09
220.22, -7.552e-09
222.22, -7.626e-09
224.22, -7.696e-09
226.23, -7.77e-09
228.23, -7.843e-09
230.23, -7.913e-09
232.23, -7.979e-09
234.23, -8.051e-09
236.24, -8.127e-09
238.24, -8.202e-09
240.24, -8.277e-09
242.24, -8.349e-09
244.24, -8.422e-09
246.25, -8.5e-09
248.25, -8.571e-09
250.25, -8.643e-09
252.25, -8.72e-09
254.25, -8.798e-09
256.26, -8.872e-09
258.26, -8.953e-09
260.26, -9.027e-09
262.26, -9.1e-09
264.26, -9.168e-09
266.27, -9.239e-09
268.27, -9.308e-09
270.27, -9.379e-09
272.27, -9.446e-09
274.27, -9.521e-09
276.28, -9.595e-09
278.28, -9.673e-09
280.28, -9.749e-09
282.28, -9.82e-09
284.28, -9.895e-09
286.29, -9.969e-09
288.29, -1.004e-08
290.29, -1.0111e-08
292.29, -1.0184e-08
294.29, -1.0258e-08
296.3, -1.0336e-08
298.3, -1.0409e-08
300.3, -1.0474e-08
302.3, -1.0544e-08
304.3, -1.0618e-08
306.31, -1.0696e-08
308.31, -1.0769e-08
310.31, -1.0839e-08
312.31, -1.0909e-08
314.31, -1.0984e-08
316.32, -1.1062e-08
318.32, -1.1139e-08
320.32, -1.1209e-08
322.32, -1.1284e-08
324.32, -1.1366e-08
326.33, -1.1443e-08
328.33, -1.1519e-08
330.33, -1.1593e-08
332.33, -1.167e-08
334.33, -1.1748e-08
336.34, -1.1823e-08
338.34, -1.1894e-08
340.34, -1.1966e-08
342.34, -1.2041e-08
344.34, -1.2112e-08
346.35, -1.2181e-08
348.35, -1.2254e-08
350.35, -1.2321e-08
352.35, -1.2395e-08
354.35, -1.2466e-08
356.36, -1.2543e-08
358.36, -1.262e-08
360.36, -1.2691e-08
362.36, -1.2763e-08
364.36, -1.2837e-08
366.37, -1.291e-08
368.37, -1.2987e-08
370.37, -1.3059e-08
372.37, -1.3129e-08
374.37, -1.3198e-08
376.38, -1.3267e-08
378.38, -1.3339e-08
380.38, -1.3408e-08
382.38, -1.3484e-08
384.38, -1.3557e-08
386.39, -1.3634e-08
388.39, -1.3709e-08
390.39, -1.3782e-08
392.39, -1.3856e-08
394.39, -1.3924e-08
396.4, -1.3997e-08
398.4, -1.4072e-08
400.4, -1.4143e-08
402.4, -1.4207e-08
404.4, -1.4276e-08
406.41, -1.4342e-08
408.41, -1.4405e-08
410.41, -1.4472e-08
412.41, -1.4538e-08
414.41, -1.4608e-08
416.42, -1.4678e-08
418.42, -1.4751e-08
420.42, -1.4823e-08
422.42, -1.4893e-08
424.42, -1.4961e-08
426.43, -1.5029e-08
428.43, -1.5099e-08
430.43, -1.5172e-08
432.43, -1.5242e-08
434.43, -1.5311e-08
436.44, -1.5384e-08
438.44, -1.5454e-08
440.44, -1.5525e-08
442.44, -1.5599e-08
444.44, -1.5671e-08
446.45, -1.5745e-08
448.45, -1.582e-08
450.45, -1.5899e-08
452.45, -1.5976e-08
454.45, -1.6049e-08
456.46, -1.6123e-08
458.46, -1.6197e-08
460.46, -1.6271e-08
462.46, -1.6343e-08
464.46, -1.6415e-08
466.47, -1.6486e-08
