Time sep (ms?), Charge (C)
0.0, -1.919e-09
2.002, -1.987e-09
4.004, -2.057e-09
6.006, -2.131e-09
8.008, -2.204e-09
10.01, -2.275e-09
12.012, -2.351e-09
14.014, -2.424e-09
16.016, -2.496e-09
18.018, -2.57e-09
20.02, -2.648e-09
22.022, -2.729e-09
24.024, -2.812e-09
26.026, -2.896e-09
28.028, -2.974e-09
30.03, -3.046e-09
32.032, -3.123e-09
34.034, -3.195e-09
36.036, -3.269e-09
38.038, -3.347e-09
40.04, -3.42e-09
42.042, -3.493e-09
44.044, -3.569e-09
46.046, -3.648e-09
48.048, -3.721e-09
50.05, -3.794e-09
52.052, -3.867e-09
54.054, -3.944e-09
56.056, -4.022e-09
58.058, -4.092e-09
60.06, -4.156e-09
62.062, -4.224e-09
64.064, -4.295e-09
66.066, -4.365e-09
68.068, -4.436e-09
70.07, -4.506e-09
72.072, -4.572e-09
74.074, -4.643e-09
76.076, -4.711e-09
78.078, -4.771e-09
80.08, -4.84e-09
82.082, -4.908e-09
84.084, -4.975e-09
86.086, -5.043e-09
88.088, -5.11e-09
90.09, -5.177e-09
92.092, -5.248e-09
94.094, -5.313e-09
96.096, -5.38e-09
98.098, -5.446e-09
100.1, -5.51e-09
102.1, -5.581e-09
104.1, -5.655e-09
106.11, -5.726e-09
108.11, -5.792e-09
110.11, -5.86e-09
112.11, -5.929e-09
114.11, -5.998e-09
116.12, -6.064e-09
118.12, -6.128e-09
120.12, -6.194e-09
122.12, -6.262e-09
124.12, -6.326e-09
126.13, -6.398e-09
128.13, -6.474e-09
130.13, -6.549e-09
132.13, -6.62e-09
134.13, -6.691e-09
136.14, -6.757e-09
138.14, -6.825e-09
140.14, -6.895e-09
142.14, -6.968e-09
144.14, -7.046e-09
146.15, -7.118e-09
148.15, -7.188e-09
150.15, -7.256e-09
152.15, -7.324e-09
154.15, -7.394e-09
156.16, -7.463e-09
158.16, -7.529e-09
160.16, -7.598e-09
162.16, -7.664e-09
164.16, -7.736e-09
166.17, -7.807e-09
168.17, -7.877e-09
170.17, -7.95e-09
172.17, -8.025e-09
174.17, -8.099e-09
176.18, -8.173e-09
178.18, -8.247e-09
180.18, -8.32e-09
182.18, -8.392e-09
184.18, -8.458e-09
186.19, -8.522e-09
188.19, -8.592e-09
190.19, -8.659e-09
192.19, -8.728e-09
194.19, -8.799e-09
196.2, -8.866e-09
198.2, -8.934e-09
200.2, -8.999e-09
202.2, -9.063e-09
204.2, -9.129e-09
206.21, -9.198e-09
208.21, -9.263e-09
210.21, -9.327e-09
212.21, -9.392e-09
214.21, -9.46e-09
216.22, -9.534e-09
218.22, -9.608e-09
220.22, -9.675e-09
222.22, -9.743e-09
224.22, -9.813e-09
226.23, -9.882e-09
228.23, -9.952e-09
230.23, -1.0019e-08
232.23, -1.0086e-08
