Time sep (s?), Charge (C)
1.984375, 4.608576e-11
2.114258, 4.440498e-11
2.245117, 4.176333e-11
2.375977, 3.756108e-11
2.504883, 4.06828e-11
2.636719, 3.696087e-11
2.770508, 3.852147e-11
2.90332, 4.440504e-11
3.033203, -4.608379e-10
3.164063, -1.716495e-09
3.299805, -3.05488e-09
3.431641, -4.361801e-09
3.566406, -5.737295e-09
3.696289, -7.040236e-09
3.827148, -8.385609e-09
3.957031, -9.573547e-09
4.088867, -9.577631e-09
4.222656, -9.569469e-09
4.363281, -9.570283e-09
4.493164, -9.567776e-09
4.625, -9.575698e-09
4.755859, -9.569962e-09
4.885742, -9.574122e-09
5.017578, -1.012836e-08
5.148438, -1.136927e-08
5.27832, -1.264281e-08
5.420898, -1.405131e-08
5.551758, -1.534338e-08
5.683594, -1.665109e-08
5.814453, -1.795533e-08
5.942383, -1.905685e-08
6.074219, -1.905162e-08
6.206055, -1.904975e-08
6.337891, -1.904656e-08
6.46875, -1.905397e-08
6.597656, -1.90484e-08
6.728516, -1.905071e-08
6.860352, -1.904645e-08
6.996094, -1.918258e-08
7.126953, -2.039529e-08
7.256836, -2.164385e-08
7.390625, -2.296088e-08
7.519531, -2.424421e-08
7.650391, -2.553399e-08
7.78418, -2.686307e-08
7.935547, -2.83669e-08
8.067383, -2.850066e-08
8.202148, -2.850116e-08
8.331055, -2.850415e-08
8.463867, -2.850482e-08
8.595703, -2.849899e-08
8.727539, -2.850107e-08
8.859375, -2.850701e-08
8.991211, -2.856351e-08
9.123047, -2.980407e-08
9.251953, -3.105108e-08
9.382813, -3.235337e-08
9.513672, -3.368078e-08
9.644531, -3.50278e-08
9.775391, -3.636578e-08
9.90625, -3.770441e-08
10.06836, -3.816903e-08
10.19824, -3.816441e-08
10.32715, -3.815874e-08
10.45801, -3.816756e-08
10.58789, -3.816266e-08
10.71973, -3.816286e-08
10.84766, -3.816651e-08
10.97754, -3.832277e-08
11.1084, -3.958638e-08
11.24023, -4.092144e-08
11.36914, -4.223387e-08
11.5, -4.360059e-08
11.63281, -4.497153e-08
11.7627, -4.631358e-08
11.89453, -4.767411e-08
12.02637, -4.799901e-08
12.16113, -4.800092e-08
12.28809, -4.799541e-08
12.41992, -4.799516e-08
12.54785, -4.799744e-08
12.67676, -4.799555e-08
12.80664, -4.799364e-08
12.93848, -4.80001e-08
13.07031, -4.799863e-08
13.2002, -4.799775e-08
13.33301, -4.799147e-08
