Time sep (s?), Charge (C)
1.989258, 3.984351e-11
2.118164, 3.516082e-11
2.251953, 3.660155e-11
2.393555, 4.032391e-11
2.524414, 3.492069e-11
2.657227, 3.92431e-11
2.787109, 3.191918e-11
2.915039, 3.384026e-11
3.048828, 3.672179e-11
3.178711, 3.960333e-11
3.3125, 3.624154e-11
3.444336, 3.119866e-11
3.576172, 4.164443e-11
3.708984, 3.408045e-11
3.84082, 3.612125e-11
3.970703, 3.636162e-11
4.105469, 4.00837e-11
4.241211, 4.164454e-11
4.371094, 4.596685e-11
4.501953, 3.816257e-11
4.633789, 3.984335e-11
4.767578, 4.260491e-11
4.897461, 4.068405e-11
5.029297, 3.984339e-11
5.161133, 3.888309e-11
5.293945, 3.780239e-11
5.427734, 3.792229e-11
5.560547, 4.488614e-11
5.694336, 3.996349e-11
5.827148, 4.332542e-11
5.958984, 3.864269e-11
6.091797, 4.572663e-11
6.227539, 4.380551e-11
6.363281, 4.524637e-11
6.500977, 3.552097e-11
6.634766, 4.536648e-11
6.767578, 3.960349e-11
6.911133, 4.248498e-11
7.066406, 4.008361e-11
7.196289, 4.60868e-11
7.331055, 4.392578e-11
7.461914, 3.864283e-11
7.600586, 3.864294e-11
7.734375, 3.576124e-11
7.867188, 3.828254e-11
8.038086, 3.9003e-11
8.168945, 3.864289e-11
8.304688, 4.116433e-11
8.4375, 3.600132e-11
8.568359, 4.128439e-11
8.720703, 3.672179e-11
8.853516, 3.888287e-11
8.981445, 4.308533e-11
9.110352, 4.644712e-11
9.238281, 3.912296e-11
9.370117, 4.116413e-11
9.833008, 3.840277e-11
9.963867, 3.7442e-11
10.0957, 4.080397e-11
10.24316, 3.864266e-11
10.37695, 4.524643e-11
10.50781, 3.684182e-11
10.6416, 3.816239e-11
10.77148, 4.188468e-11
10.90527, 3.84028e-11
11.03711, 4.488615e-11
11.16797, 3.780242e-11
11.29687, 4.536639e-11
11.42676, 4.056398e-11
11.56152, 3.540108e-11
11.69238, 4.392569e-11
11.8252, 3.912318e-11
11.95801, 3.684175e-11
12.09277, 3.864275e-11
12.22363, 4.020358e-11
12.35352, 3.468066e-11
12.48535, 4.428591e-11
12.61914, 3.972347e-11
12.74805, 3.780217e-11
12.87988, 4.116415e-11
13.0127, 4.176462e-11
13.14551, 3.6962e-11
13.27734, 4.404571e-11
13.41992, 3.912306e-11
13.55078, 3.504077e-11
