Wavelength(nm), SC photons / PD photons
350.0, 3.2236145244384833
356.0, 2.9204085634947443
362.0, 2.8030560183801736
364.0, 2.9153908813771845
368.0, 3.0718891805888315
370.0, 3.1432878727238966
376.0, 2.9832989547020983
378.0, 2.8641405087195073
386.0, 3.0355073281574003
388.0, 2.9348114761026287
390.0, 3.231126146397319
392.0, 3.4293810500582707
394.0, 3.3423284312963557
396.0, 3.168575119680376
398.0, 3.377052921844065
400.0, 3.4820946049559605
402.0, 3.641111648978374
404.0, 3.661497895687183
406.0, 3.880033572633802
410.0, 4.133754651329731
414.0, 4.158505038850443
418.0, 3.9027537142678073
424.0, 3.5395569907183155
428.0, 4.569407432286495
432.0, 3.4550882054925802
434.0, 3.433933825723485
438.0, 3.4126193236494133
440.0, 3.240673359372255
442.0, 2.602746786051738
444.0, 3.0519827138024036
450.0, 3.1116066188071545
452.0, 3.079653008740353
454.0, 3.0602537442724116
458.0, 3.0187647991513082
460.0, 3.1005935831407663
462.0, 3.1559622406427517
464.0, 3.2245938008396076
466.0, 3.2689331343279417
476.0, 3.381967389317717
480.0, 3.572705956679111
482.0, 3.613839521566897
486.0, 3.708863409746973
490.0, 4.268112105038971
492.0, 4.241769127590678
496.0, 4.833141631295795
502.0, 4.438464347721041
504.0, 3.9913315235120446
506.0, 4.12540832796887
512.0, 3.1488920913278102
