Time sep (ms?), Current (A)
0.0, -98999999999999993426744560981400092672
2.002, -98999999999999993426744560981400092672
4.004, -98999999999999993426744560981400092672
6.006, -98999999999999993426744560981400092672
8.008, -98999999999999993426744560981400092672
10.01, -98999999999999993426744560981400092672
12.012, -98999999999999993426744560981400092672
14.014, -98999999999999993426744560981400092672
16.016, -98999999999999993426744560981400092672
18.018, -98999999999999993426744560981400092672
20.02, -98999999999999993426744560981400092672
22.022, -98999999999999993426744560981400092672
24.024, -98999999999999993426744560981400092672
26.026, -98999999999999993426744560981400092672
28.028, -98999999999999993426744560981400092672
30.03, -98999999999999993426744560981400092672
32.032, -98999999999999993426744560981400092672
34.034, -98999999999999993426744560981400092672
36.036, -98999999999999993426744560981400092672
38.038, -98999999999999993426744560981400092672
40.04, -98999999999999993426744560981400092672
42.042, -98999999999999993426744560981400092672
44.044, -98999999999999993426744560981400092672
46.046, -98999999999999993426744560981400092672
48.048, -98999999999999993426744560981400092672
50.05, -98999999999999993426744560981400092672
52.052, -98999999999999993426744560981400092672
54.054, -98999999999999993426744560981400092672
56.056, -98999999999999993426744560981400092672
58.058, -98999999999999993426744560981400092672
60.06, -98999999999999993426744560981400092672
62.062, -98999999999999993426744560981400092672
64.064, -98999999999999993426744560981400092672
66.066, -98999999999999993426744560981400092672
68.068, -98999999999999993426744560981400092672
70.07, -98999999999999993426744560981400092672
72.072, -98999999999999993426744560981400092672
74.074, -98999999999999993426744560981400092672
76.076, -98999999999999993426744560981400092672
78.078, -98999999999999993426744560981400092672
80.08, -98999999999999993426744560981400092672
82.082, -98999999999999993426744560981400092672
84.084, -98999999999999993426744560981400092672
86.086, -98999999999999993426744560981400092672
88.088, -98999999999999993426744560981400092672
90.09, -98999999999999993426744560981400092672
92.092, -98999999999999993426744560981400092672
94.094, -98999999999999993426744560981400092672
96.096, -98999999999999993426744560981400092672
98.098, -98999999999999993426744560981400092672
100.1, -98999999999999993426744560981400092672
102.1, -98999999999999993426744560981400092672
104.1, -98999999999999993426744560981400092672
106.11, -98999999999999993426744560981400092672
