Time sep (ms?), Charge (C)
0.0, -1.961e-09
2.002, -2.023e-09
4.004, -2.08e-09
6.006, -2.141e-09
8.008, -2.206e-09
10.01, -2.265e-09
12.012, -2.327e-09
14.014, -2.389e-09
16.016, -2.446e-09
18.018, -2.513e-09
20.02, -2.579e-09
22.022, -2.644e-09
24.024, -2.708e-09
26.026, -2.776e-09
28.028, -2.841e-09
30.03, -2.903e-09
32.032, -2.968e-09
34.034, -3.031e-09
36.036, -3.098e-09
38.038, -3.162e-09
40.04, -3.221e-09
42.042, -3.281e-09
44.044, -3.345e-09
46.046, -3.411e-09
48.048, -3.471e-09
50.05, -3.528e-09
52.052, -3.584e-09
54.054, -3.648e-09
56.056, -3.709e-09
58.058, -3.77e-09
60.06, -3.829e-09
62.062, -3.888e-09
64.064, -3.953e-09
66.066, -4.012e-09
68.068, -4.072e-09
70.07, -4.132e-09
72.072, -4.193e-09
74.074, -4.252e-09
76.076, -4.312e-09
78.078, -4.38e-09
80.08, -4.444e-09
82.082, -4.502e-09
84.084, -4.558e-09
86.086, -4.62e-09
88.088, -4.683e-09
90.09, -4.745e-09
92.092, -4.808e-09
94.094, -4.869e-09
96.096, -4.93e-09
98.098, -4.992e-09
100.1, -5.055e-09
102.1, -5.114e-09
104.1, -5.169e-09
106.11, -5.226e-09
108.11, -5.287e-09
110.11, -5.342e-09
112.11, -5.397e-09
114.11, -5.457e-09
116.12, -5.517e-09
118.12, -5.578e-09
120.12, -5.64e-09
122.12, -5.703e-09
124.12, -5.765e-09
126.13, -5.829e-09
128.13, -5.901e-09
130.13, -5.967e-09
132.13, -6.036e-09
134.13, -6.102e-09
136.14, -6.171e-09
138.14, -6.241e-09
140.14, -6.307e-09
142.14, -6.372e-09
144.14, -6.435e-09
146.15, -6.498e-09
148.15, -6.563e-09
150.15, -6.626e-09
152.15, -6.691e-09
154.15, -6.755e-09
156.16, -6.815e-09
158.16, -6.882e-09
160.16, -6.947e-09
162.16, -7.013e-09
164.16, -7.079e-09
166.17, -7.147e-09
168.17, -7.214e-09
170.17, -7.274e-09
172.17, -7.336e-09
174.17, -7.404e-09
176.18, -7.467e-09
178.18, -7.531e-09
180.18, -7.592e-09
182.18, -7.652e-09
184.18, -7.713e-09
186.19, -7.778e-09
188.19, -7.841e-09
190.19, -7.9e-09
192.19, -7.962e-09
194.19, -8.024e-09
196.2, -8.09e-09
198.2, -8.155e-09
200.2, -8.218e-09
202.2, -8.284e-09
204.2, -8.351e-09
206.21, -8.419e-09
208.21, -8.489e-09
210.21, -8.553e-09
212.21, -8.621e-09
214.21, -8.682e-09
216.22, -8.742e-09
218.22, -8.797e-09
220.22, -8.852e-09
222.22, -8.913e-09
224.22, -8.974e-09
226.23, -9.039e-09
228.23, -9.105e-09
230.23, -9.168e-09
232.23, -9.234e-09
234.23, -9.296e-09
236.24, -9.358e-09
238.24, -9.422e-09
240.24, -9.485e-09
242.24, -9.551e-09
244.24, -9.616e-09
246.25, -9.682e-09
248.25, -9.744e-09
250.25, -9.806e-09
252.25, -9.871e-09
254.25, -9.936e-09
256.26, -9.998e-09
258.26, -1.0062e-08
260.26, -1.0117e-08
262.26, -1.0178e-08
264.26, -1.024e-08
266.27, -1.0302e-08
268.27, -1.0366e-08
270.27, -1.0428e-08
272.27, -1.0488e-08
274.27, -1.0551e-08
276.28, -1.0614e-08
278.28, -1.0681e-08
280.28, -1.0747e-08
282.28, -1.0813e-08
284.28, -1.0874e-08
286.29, -1.0934e-08
288.29, -1.1002e-08
290.29, -1.1064e-08
292.29, -1.1125e-08
294.29, -1.1186e-08
296.3, -1.125e-08
