Time sep (ms?), Charge (C)
0.0, -1.933e-09
2.002, -1.998e-09
4.004, -2.059e-09
6.006, -2.117e-09
8.008, -2.176e-09
10.01, -2.233e-09
12.012, -2.287e-09
14.014, -2.343e-09
16.016, -2.402e-09
18.018, -2.464e-09
20.02, -2.524e-09
22.022, -2.582e-09
24.024, -2.646e-09
26.026, -2.702e-09
28.028, -2.754e-09
30.03, -2.811e-09
32.032, -2.873e-09
34.034, -2.935e-09
36.036, -2.996e-09
38.038, -3.054e-09
40.04, -3.114e-09
42.042, -3.175e-09
44.044, -3.239e-09
46.046, -3.302e-09
48.048, -3.363e-09
50.05, -3.426e-09
52.052, -3.487e-09
54.054, -3.546e-09
56.056, -3.603e-09
58.058, -3.661e-09
60.06, -3.715e-09
62.062, -3.774e-09
64.064, -3.836e-09
66.066, -3.893e-09
68.068, -3.953e-09
70.07, -4.012e-09
72.072, -4.072e-09
74.074, -4.133e-09
76.076, -4.197e-09
78.078, -4.262e-09
80.08, -4.325e-09
82.082, -4.389e-09
84.084, -4.454e-09
86.086, -4.52e-09
88.088, -4.583e-09
90.09, -4.645e-09
92.092, -4.715e-09
94.094, -4.779e-09
96.096, -4.845e-09
98.098, -4.912e-09
100.1, -4.973e-09
102.1, -5.038e-09
104.1, -5.1e-09
106.11, -5.165e-09
108.11, -5.234e-09
110.11, -5.303e-09
112.11, -5.368e-09
114.11, -5.432e-09
116.12, -5.496e-09
118.12, -5.553e-09
120.12, -5.61e-09
122.12, -5.671e-09
124.12, -5.739e-09
126.13, -5.793e-09
128.13, -5.855e-09
130.13, -5.92e-09
132.13, -5.98e-09
134.13, -6.034e-09
136.14, -6.089e-09
138.14, -6.141e-09
140.14, -6.19e-09
142.14, -6.244e-09
144.14, -6.301e-09
146.15, -6.36e-09
148.15, -6.422e-09
150.15, -6.48e-09
152.15, -6.539e-09
154.15, -6.602e-09
156.16, -6.663e-09
158.16, -6.718e-09
160.16, -6.776e-09
162.16, -6.834e-09
164.16, -6.893e-09
166.17, -6.956e-09
168.17, -7.019e-09
170.17, -7.087e-09
172.17, -7.151e-09
174.17, -7.212e-09
176.18, -7.275e-09
178.18, -7.337e-09
180.18, -7.399e-09
182.18, -7.463e-09
184.18, -7.531e-09
186.19, -7.591e-09
188.19, -7.648e-09
190.19, -7.703e-09
192.19, -7.765e-09
194.19, -7.826e-09
196.2, -7.889e-09
198.2, -7.949e-09
200.2, -8.007e-09
202.2, -8.068e-09
204.2, -8.132e-09
206.21, -8.194e-09
208.21, -8.256e-09
210.21, -8.319e-09
212.21, -8.378e-09
214.21, -8.441e-09
216.22, -8.5e-09
218.22, -8.563e-09
220.22, -8.624e-09
222.22, -8.69e-09
224.22, -8.758e-09
226.23, -8.826e-09
228.23, -8.883e-09
230.23, -8.943e-09
232.23, -9.008e-09
234.23, -9.072e-09
236.24, -9.135e-09
238.24, -9.198e-09
240.24, -9.261e-09
242.24, -9.32e-09
244.24, -9.388e-09
246.25, -9.453e-09
248.25, -9.518e-09
250.25, -9.585e-09
252.25, -9.651e-09
254.25, -9.715e-09
256.26, -9.778e-09
258.26, -9.839e-09
260.26, -9.904e-09
262.26, -9.97e-09
264.26, -1.0034e-08
266.27, -1.0097e-08
268.27, -1.0159e-08
270.27, -1.0223e-08
272.27, -1.0286e-08
274.27, -1.036e-08
276.28, -1.042e-08
278.28, -1.0479e-08
280.28, -1.0543e-08
282.28, -1.0606e-08
284.28, -1.0671e-08
286.29, -1.0727e-08
288.29, -1.0785e-08
290.29, -1.0845e-08
292.29, -1.0912e-08
294.29, -1.0977e-08
296.3, -1.104e-08
298.3, -1.1104e-08
300.3, -1.1171e-08
302.3, -1.1239e-08
304.3, -1.1306e-08
306.31, -1.1361e-08
308.31, -1.1422e-08
310.31, -1.1487e-08
312.31, -1.1553e-08
314.31, -1.1615e-08
316.32, -1.1682e-08
318.32, -1.1745e-08
320.32, -1.1808e-08
322.32, -1.188e-08
324.32, -1.1953e-08
326.33, -1.2022e-08
328.33, -1.2087e-08
330.33, -1.2155e-08
332.33, -1.222e-08
334.33, -1.228e-08
336.34, -1.2338e-08
338.34, -1.2399e-08
340.34, -1.2462e-08
342.34, -1.2529e-08
344.34, -1.2593e-08
346.35, -1.2652e-08
348.35, -1.2713e-08
350.35, -1.2772e-08
352.35, -1.2831e-08
354.35, -1.2895e-08
356.36, -1.2957e-08
358.36, -1.3026e-08
360.36, -1.3097e-08
362.36, -1.3166e-08
364.36, -1.3232e-08
366.37, -1.3294e-08
368.37, -1.3357e-08
370.37, -1.3422e-08
372.37, -1.349e-08
374.37, -1.356e-08
376.38, -1.3626e-08
378.38, -1.3687e-08
380.38, -1.3753e-08
382.38, -1.3817e-08
384.38, -1.3884e-08
386.39, -1.3956e-08
388.39, -1.4019e-08
390.39, -1.4086e-08
392.39, -1.4152e-08
394.39, -1.4219e-08
396.4, -1.4291e-08
398.4, -1.4358e-08
400.4, -1.442e-08
402.4, -1.4485e-08
404.4, -1.4556e-08
406.41, -1.4621e-08
408.41, -1.4685e-08
410.41, -1.4753e-08
412.41, -1.4816e-08
414.41, -1.487e-08
416.42, -1.493e-08
418.42, -1.4989e-08
420.42, -1.5046e-08
422.42, -1.5101e-08
424.42, -1.5165e-08
426.43, -1.5228e-08
428.43, -1.5293e-08
430.43, -1.5356e-08
432.43, -1.5421e-08
434.43, -1.5489e-08
436.44, -1.5551e-08
438.44, -1.561e-08
440.44, -1.567e-08
442.44, -1.5731e-08
444.44, -1.5796e-08
446.45, -1.5856e-08
448.45, -1.592e-08
450.45, -1.5987e-08
452.45, -1.6053e-08
454.45, -1.6115e-08
456.46, -1.6181e-08
458.46, -1.6249e-08
460.46, -1.6314e-08
462.46, -1.6384e-08
464.46, -1.6454e-08
466.47, -1.6526e-08
468.47, -1.6595e-08
470.47, -1.6662e-08
472.47, -1.6728e-08
474.47, -1.6797e-08
476.48, -1.6865e-08
478.48, -1.6935e-08
480.48, -1.701e-08
482.48, -1.7078e-08
484.48, -1.7152e-08
486.49, -1.7219e-08
488.49, -1.7285e-08
490.49, -1.7355e-08
492.49, -1.7426e-08
494.49, -1.7494e-08
496.5, -1.7572e-08
498.5, -1.7647e-08
500.5, -1.772e-08
502.5, -1.7798e-08
504.5, -1.7874e-08
506.51, -1.7948e-08
508.51, -1.8021e-08
510.51, -1.8093e-08
512.51, -1.8167e-08
514.51, -1.8234e-08
516.52, -1.8298e-08
518.52, -1.8362e-08
520.52, -1.8427e-08
522.52, -1.849e-08
524.52, -1.8555e-08
526.53, -1.8616e-08
528.53, -1.868e-08
530.53, -1.8743e-08
532.53, -1.8812e-08
534.53, -1.8877e-08
536.54, -1.8946e-08
538.54, -1.9012e-08
540.54, -1.9077e-08
542.54, -1.9151e-08
544.54, -1.9221e-08
546.55, -1.9292e-08
548.55, -1.9362e-08
550.55, -1.9422e-08
552.55, -1.9483e-08
554.55, -1.9546e-08
556.56, -1.9606e-08
558.56, -1.9668e-08
560.56, -1.9735e-08
562.56, -1.9802e-08
564.56, -1.9865e-08
566.57, -1.9926e-08
568.57, -1.9986e-08
570.57, -2.005e-08
572.57, -2.0109e-08
574.57, -2.0172e-08
576.58, -2.0235e-08
578.58, -2.03e-08
580.58, -2.0368e-08
582.58, -2.0434e-08
584.58, -2.0499e-08
586.59, -2.0563e-08
588.59, -2.0629e-08
590.59, -2.0696e-08
592.59, -2.0759e-08
594.59, -2.0823e-08
596.6, -2.089e-08
598.6, -2.0953e-08
600.6, -2.1022e-08
602.6, -2.1088e-08
604.6, -2.1148e-08
606.61, -2.1215e-08
608.61, -2.1278e-08
610.61, -2.1341e-08
612.61, -2.1409e-08
614.61, -2.1467e-08
616.62, -2.1529e-08
618.62, -2.1592e-08
620.62, -2.1662e-08
622.62, -2.173e-08
624.62, -2.1797e-08
626.63, -2.1864e-08
628.63, -2.1931e-08
630.63, -2.1998e-08
632.63, -2.2059e-08
634.63, -2.2121e-08
636.64, -2.2184e-08
638.64, -2.2251e-08
640.64, -2.2317e-08
642.64, -2.2382e-08
644.64, -2.2446e-08
646.65, -2.2513e-08
648.65, -2.2583e-08
650.65, -2.2653e-08
652.65, -2.2722e-08
654.65, -2.2786e-08
656.66, -2.2848e-08
658.66, -2.2913e-08
660.66, -2.297e-08
662.66, -2.3029e-08
664.66, -2.3093e-08
666.67, -2.3153e-08
668.67, -2.322e-08
670.67, -2.3285e-08
672.67, -2.3353e-08
674.67, -2.3411e-08
676.68, -2.3475e-08
678.68, -2.3539e-08
680.68, -2.3599e-08
682.68, -2.366e-08
684.68, -2.373e-08
686.69, -2.3798e-08
688.69, -2.3866e-08
690.69, -2.3931e-08
692.69, -2.3997e-08
694.69, -2.4061e-08
696.7, -2.4126e-08
698.7, -2.4194e-08
700.7, -2.426e-08
702.7, -2.4328e-08
704.7, -2.44e-08
706.71, -2.4474e-08
708.71, -2.454e-08
710.71, -2.46e-08
712.71, -2.4658e-08
714.71, -2.4719e-08
716.72, -2.478e-08
718.72, -2.4845e-08
720.72, -2.491e-08
722.72, -2.4977e-08
724.72, -2.5043e-08
726.73, -2.5108e-08
728.73, -2.5176e-08
730.73, -2.5247e-08
732.73, -2.5313e-08
734.73, -2.5373e-08
736.74, -2.5433e-08
738.74, -2.5496e-08
740.74, -2.5565e-08
742.74, -2.5631e-08
