Time sep (s?), Charge (C)
1.991211, 3.624141e-11
2.123047, 4.116394e-11
2.253906, 4.176443e-11
2.385742, 3.492058e-11
2.517578, 4.224478e-11
2.649414, 3.816242e-11
2.78125, 4.332517e-11
2.913086, 3.984341e-11
3.042969, -1.663487e-08
3.172852, -1.663357e-08
3.304688, -1.66338e-08
3.436523, -1.663231e-08
3.567383, -1.663324e-08
3.699219, -1.662388e-08
3.831055, -1.663302e-08
3.961914, -1.662511e-08
4.092773, -1.662985e-08
4.22168, -1.66254e-08
4.354492, -1.663409e-08
4.483398, -1.662895e-08
4.615234, -1.663336e-08
4.746094, -1.662577e-08
4.876953, -1.663432e-08
5.006836, -3.29814e-08
5.137695, -3.298004e-08
5.269531, -3.297407e-08
5.396484, -3.298084e-08
5.527344, -3.297851e-08
5.65918, -3.298505e-08
5.790039, -3.298052e-08
5.917969, -3.2976e-08
6.046875, -3.29814e-08
6.177734, -3.297525e-08
6.310547, -3.29829e-08
6.438477, -3.297954e-08
6.569336, -3.298467e-08
6.701172, -3.297534e-08
6.833984, -3.298204e-08
6.96582, -4.88056e-08
7.099609, -4.968574e-08
7.231445, -4.968721e-08
7.359375, -4.968684e-08
7.491211, -4.96895e-08
7.623047, -4.968439e-08
7.754883, -4.968432e-08
7.883789, -4.96816e-08
8.013672, -4.96887e-08
8.144531, -4.968389e-08
8.275391, -4.968658e-08
8.407227, -4.968928e-08
8.538086, -4.96879e-08
8.669922, -4.96901e-08
8.799805, -4.968761e-08
8.931641, -5.658272e-08
9.063477, -6.638853e-08
9.192383, -6.638733e-08
9.321289, -6.637889e-08
9.452148, -6.637955e-08
9.583008, -6.63773e-08
9.713867, -6.638371e-08
9.845703, -6.638292e-08
9.974609, -6.638004e-08
10.10547, -6.638671e-08
10.23438, -6.637967e-08
10.36621, -6.638212e-08
10.49609, -6.63802e-08
10.62793, -6.637693e-08
10.75879, -6.637451e-08
10.89063, -7.55913e-08
11.02148, -8.257965e-08
11.15234, -8.257696e-08
11.28125, -8.258138e-08
11.41406, -8.257147e-08
11.5459, -8.257869e-08
11.67676, -8.257664e-08
11.80859, -8.257487e-08
11.93848, -8.258021e-08
12.07129, -8.256987e-08
12.20215, -8.257764e-08
12.33301, -8.257116e-08
12.46484, -8.257287e-08
12.59668, -8.258021e-08
12.72559, -8.257715e-08
12.85937, -8.25775e-08
12.99121, -8.256964e-08
13.12207, -8.257378e-08
13.25293, -8.257649e-08
13.38477, -8.256966e-08
