Wavelength(nm), SC photons / PD photons
350.0, 3.1483937812735783
360.0, 3.1482319023071597
370.0, 3.236593053327915
380.0, 3.08349012019137
390.0, 3.0179398117133047
400.0, 3.394846471003416
420.0, 3.4521553087643935
430.0, 3.28607452110089
440.0, 3.482169053374204
450.0, 3.406624623328045
460.0, 3.4903002371903327
470.0, 3.7655039657213254
480.0, 3.5609494793673817
490.0, 3.9139722862702353
500.0, 3.5996375417803366
510.0, 3.5228715886358986
520.0, 3.685305353016516
530.0, 3.415606541995784
540.0, 3.4793366329448494
550.0, 3.2775473672196043
560.0, 3.4763949061085566
570.0, 3.812455025931994
580.0, 3.2532763408303556
590.0, 3.5666352438689235
600.0, 3.516472355767456
610.0, 3.3984788823262395
620.0, 3.328574279882144
630.0, 3.3252071092720277
640.0, 3.377134897005187
650.0, 3.2841933158525594
660.0, 3.3322756259593693
670.0, 3.0274106094660995
680.0, 3.0068036090031973
690.0, 3.1791041016189476
700.0, 3.0042714029999646
710.0, 2.942233977707181
720.0, 2.85727254273092
730.0, 3.0953881371631864
740.0, 2.8728927447039814
750.0, 2.8611141183570505
760.0, 2.8986969574552326
770.0, 2.858912000911953
780.0, 2.829396544323514
790.0, 2.8091800311081534
800.0, 2.8481017345367587
810.0, 2.788282276403748
820.0, 2.81505076615076
840.0, 2.8867366859388386
850.0, 2.996557130148235
860.0, 3.2912013835198195
870.0, 3.036193869349785
880.0, 3.03151869620837
890.0, 3.277996846782972
