Wavelength(nm), SC charge (e-), PD charge (e-)
350.0, 1.0112995877634343e-07, 7.127337231032604e-09
360.0, 1.291916731975895e-07, 8.477975078495888e-09
370.0, 1.474717638218856e-07, 8.89696465055225e-09
380.0, 1.4414505114467495e-07, 9.3085031780084e-09
390.0, 1.6431667913213857e-07, 1.1843348131566958e-08
400.0, 1.7492731581780816e-07, 1.153022500621271e-08
420.0, 2.2591747813819937e-07, 1.8451735961346483e-08
430.0, 2.0815813474852403e-07, 1.875043105479108e-08
440.0, 1.8470338629365426e-07, 1.647473406982812e-08
450.0, 1.708928614828621e-07, 1.6819920625820164e-08
460.0, 1.6429491686258565e-07, 1.672480636166812e-08
470.0, 1.6292795151184252e-07, 1.6245066773715915e-08
480.0, 1.5977605318445097e-07, 1.7659590736694107e-08
490.0, 1.5629472909534656e-07, 1.6392395163285832e-08
500.0, 1.4947218036754943e-07, 1.784731362768373e-08
510.0, 1.386252773626607e-07, 1.8352581736663444e-08
520.0, 1.313914290626089e-07, 1.5930427543179318e-08
530.0, 1.250083387177892e-07, 1.8038130260666387e-08
540.0, 1.2086720524173693e-07, 1.762062517568418e-08
550.0, 1.1556942636823849e-07, 1.8227719567071402e-08
560.0, 1.108394167932071e-07, 1.6671006941460097e-08
570.0, 1.119550401199509e-07, 1.577239784631483e-08
580.0, 1.0830220313429073e-07, 1.888293072616968e-08
590.0, 1.0633304424767724e-07, 1.6832649706637008e-08
600.0, 1.0320148459638628e-07, 1.7391028642304884e-08
610.0, 9.436383448157986e-08, 1.6222088892982486e-08
620.0, 9.058301672682745e-08, 1.7000437146722922e-08
630.0, 8.280191025418106e-08, 1.5624722668213337e-08
640.0, 8.207126799021951e-08, 1.5335045103957785e-08
650.0, 7.738652272805099e-08, 1.533150568455909e-08
660.0, 7.44263679934365e-08, 1.50210049756916e-08
670.0, 7.021408513225186e-08, 1.568589274634923e-08
680.0, 7.071288776634801e-08, 1.647434725182963e-08
690.0, 6.805224994683145e-08, 1.3894803649050659e-08
700.0, 6.92482294339234e-08, 1.6690838173661314e-08
710.0, 6.604882728987384e-08, 1.6404420977738175e-08
720.0, 5.967479432911078e-08, 1.5882322296549503e-08
730.0, 6.367321485812337e-08, 1.648120796617591e-08
740.0, 6.103808091372033e-08, 1.6216683719708715e-08
750.0, 5.913732635482527e-08, 1.6139516347390134e-08
760.0, 5.9560792447590294e-08, 1.6674859259834504e-08
770.0, 5.996275275356336e-08, 1.6488799236571993e-08
780.0, 5.748943798411506e-08, 1.6085676050164324e-08
790.0, 5.574601208818485e-08, 1.6180104607840293e-08
800.0, 5.614055739073962e-08, 1.624899243407503e-08
810.0, 5.5258675725570346e-08, 1.5690143064593653e-08
820.0, 5.288176695688664e-08, 1.5838703865787132e-08
840.0, 5.433185557110711e-08, 1.6007845632023802e-08
850.0, 5.619182109131792e-08, 1.5637880826098772e-08
860.0, 6.088605050852285e-08, 1.5916797229504524e-08
870.0, 5.438776690878389e-08, 1.544632161788976e-08
880.0, 5.593186126113534e-08, 1.6076819159920328e-08
890.0, 5.806234840442824e-08, 1.6120014866683102e-08
