Time sep (ms?), Charge (C)
0.0, -3.13e-10
2.002, -3.81e-10
4.004, -4.49e-10
6.006, -5.19e-10
8.008, -5.85e-10
10.01, -6.51e-10
12.012, -7.22e-10
14.014, -7.91e-10
16.016, -8.59e-10
18.018, -9.31e-10
20.02, -1.002e-09
22.022, -1.07e-09
24.024, -1.138e-09
26.026, -1.209e-09
28.028, -1.277e-09
30.03, -1.349e-09
32.032, -1.416e-09
34.034, -1.482e-09
36.036, -1.548e-09
38.038, -1.613e-09
40.04, -1.681e-09
42.042, -1.75e-09
44.044, -1.818e-09
46.046, -1.888e-09
48.048, -1.956e-09
50.05, -2.021e-09
52.052, -2.086e-09
54.054, -2.156e-09
56.056, -2.222e-09
58.058, -2.29e-09
60.06, -2.358e-09
62.062, -2.425e-09
64.064, -2.486e-09
66.066, -2.554e-09
68.068, -2.627e-09
70.07, -2.698e-09
72.072, -2.763e-09
74.074, -2.831e-09
76.076, -2.902e-09
78.078, -2.977e-09
80.08, -3.047e-09
82.082, -3.122e-09
84.084, -3.193e-09
86.086, -3.272e-09
88.088, -3.345e-09
90.09, -3.414e-09
92.092, -3.477e-09
94.094, -3.546e-09
96.096, -3.617e-09
98.098, -3.688e-09
100.1, -3.763e-09
102.1, -3.836e-09
104.1, -3.902e-09
106.11, -3.972e-09
108.11, -4.045e-09
110.11, -4.118e-09
112.11, -4.193e-09
114.11, -4.27e-09
116.12, -4.348e-09
118.12, -4.425e-09
120.12, -4.496e-09
122.12, -4.567e-09
124.12, -4.645e-09
126.13, -4.721e-09
128.13, -4.793e-09
130.13, -4.863e-09
132.13, -4.936e-09
134.13, -5.006e-09
136.14, -5.077e-09
138.14, -5.146e-09
140.14, -5.218e-09
142.14, -5.291e-09
144.14, -5.36e-09
146.15, -5.433e-09
148.15, -5.515e-09
150.15, -5.59e-09
152.15, -5.67e-09
154.15, -5.743e-09
156.16, -5.815e-09
158.16, -5.886e-09
160.16, -5.959e-09
162.16, -6.032e-09
164.16, -6.105e-09
166.17, -6.179e-09
168.17, -6.249e-09
170.17, -6.318e-09
172.17, -6.385e-09
174.17, -6.453e-09
176.18, -6.523e-09
178.18, -6.593e-09
180.18, -6.665e-09
182.18, -6.739e-09
184.18, -6.809e-09
186.19, -6.877e-09
188.19, -6.944e-09
190.19, -7.015e-09
192.19, -7.086e-09
194.19, -7.154e-09
196.2, -7.224e-09
198.2, -7.291e-09
200.2, -7.367e-09
202.2, -7.437e-09
204.2, -7.515e-09
206.21, -7.592e-09
208.21, -7.664e-09
210.21, -7.736e-09
212.21, -7.806e-09
214.21, -7.879e-09
216.22, -7.957e-09
218.22, -8.029e-09
220.22, -8.099e-09
222.22, -8.175e-09
224.22, -8.245e-09
226.23, -8.313e-09
228.23, -8.386e-09
230.23, -8.454e-09
232.23, -8.516e-09
234.23, -8.58e-09
236.24, -8.65e-09
238.24, -8.716e-09
240.24, -8.785e-09
242.24, -8.854e-09
244.24, -8.924e-09
246.25, -8.989e-09
248.25, -9.057e-09
250.25, -9.126e-09
252.25, -9.195e-09
254.25, -9.266e-09
256.26, -9.339e-09
258.26, -9.411e-09
260.26, -9.479e-09
262.26, -9.542e-09
264.26, -9.606e-09
266.27, -9.672e-09
268.27, -9.734e-09
270.27, -9.799e-09
272.27, -9.864e-09
274.27, -9.93e-09
276.28, -9.996e-09
278.28, -1.0065e-08
280.28, -1.0134e-08
282.28, -1.0201e-08
284.28, -1.0267e-08
286.29, -1.0339e-08
288.29, -1.0408e-08
290.29, -1.0481e-08
292.29, -1.0548e-08
294.29, -1.0616e-08
296.3, -1.0682e-08
298.3, -1.0742e-08
300.3, -1.0807e-08
302.3, -1.087e-08
304.3, -1.0937e-08
306.31, -1.1005e-08
308.31, -1.1071e-08
310.31, -1.1136e-08
312.31, -1.1196e-08
314.31, -1.1261e-08
316.32, -1.1328e-08
318.32, -1.1397e-08
320.32, -1.1472e-08
322.32, -1.154e-08
324.32, -1.1611e-08
326.33, -1.1687e-08
328.33, -1.1762e-08
330.33, -1.1831e-08
332.33, -1.19e-08
334.33, -1.1973e-08
336.34, -1.2044e-08
338.34, -1.2115e-08
340.34, -1.2182e-08
342.34, -1.2249e-08
344.34, -1.2316e-08
346.35, -1.2388e-08
348.35, -1.2459e-08
350.35, -1.2529e-08
352.35, -1.26e-08
354.35, -1.2669e-08
356.36, -1.2742e-08
358.36, -1.2805e-08
360.36, -1.2877e-08
362.36, -1.2948e-08
364.36, -1.302e-08
366.37, -1.3084e-08
368.37, -1.3147e-08
370.37, -1.3214e-08
372.37, -1.3284e-08
374.37, -1.3354e-08
376.38, -1.342e-08
378.38, -1.348e-08
380.38, -1.3546e-08
382.38, -1.3613e-08
384.38, -1.3677e-08
386.39, -1.3743e-08
388.39, -1.381e-08
390.39, -1.3875e-08
392.39, -1.3936e-08
394.39, -1.3998e-08
396.4, -1.4057e-08
398.4, -1.4114e-08
400.4, -1.4176e-08
402.4, -1.4244e-08
404.4, -1.4318e-08
406.41, -1.4388e-08
408.41, -1.4464e-08
410.41, -1.4532e-08
412.41, -1.4598e-08
414.41, -1.4672e-08
416.42, -1.4744e-08
418.42, -1.4813e-08
420.42, -1.4879e-08
422.42, -1.4948e-08
424.42, -1.5024e-08
426.43, -1.5098e-08
428.43, -1.5168e-08
430.43, -1.5238e-08
432.43, -1.5309e-08
434.43, -1.5385e-08
436.44, -1.5458e-08
438.44, -1.5531e-08
440.44, -1.5603e-08
442.44, -1.5672e-08
444.44, -1.5736e-08
446.45, -1.5805e-08
448.45, -1.5874e-08
450.45, -1.5939e-08
452.45, -1.6002e-08
454.45, -1.6068e-08
456.46, -1.6132e-08
458.46, -1.6195e-08
460.46, -1.6259e-08
462.46, -1.6322e-08
464.46, -1.6387e-08
466.47, -1.6453e-08
468.47, -1.6519e-08
470.47, -1.6586e-08
472.47, -1.6655e-08
474.47, -1.6719e-08
476.48, -1.6785e-08
478.48, -1.6848e-08
480.48, -1.6911e-08
482.48, -1.6977e-08
484.48, -1.7046e-08
486.49, -1.7115e-08
488.49, -1.7178e-08
490.49, -1.7243e-08
492.49, -1.7313e-08
494.49, -1.7377e-08
496.5, -1.7439e-08
498.5, -1.7504e-08
500.5, -1.7574e-08
502.5, -1.7645e-08
504.5, -1.7715e-08
506.51, -1.7789e-08
508.51, -1.7857e-08
510.51, -1.7927e-08
512.51, -1.7991e-08
514.51, -1.8057e-08
516.52, -1.8133e-08
518.52, -1.8204e-08
520.52, -1.8278e-08
522.52, -1.8349e-08
524.52, -1.8419e-08
526.53, -1.8493e-08
528.53, -1.8566e-08
530.53, -1.8636e-08
532.53, -1.8704e-08
534.53, -1.8773e-08
536.54, -1.8838e-08
538.54, -1.89e-08
540.54, -1.8967e-08
542.54, -1.903e-08
544.54, -1.9099e-08
546.55, -1.9166e-08
548.55, -1.9231e-08
550.55, -1.9296e-08
552.55, -1.9361e-08
554.55, -1.9428e-08
556.56, -1.9497e-08
558.56, -1.9567e-08
560.56, -1.9637e-08
562.56, -1.9707e-08
564.56, -1.9768e-08
566.57, -1.9837e-08
568.57, -1.9902e-08
570.57, -1.997e-08
572.57, -2.004e-08
574.57, -2.0113e-08
576.58, -2.0188e-08
578.58, -2.026e-08
580.58, -2.0334e-08
582.58, -2.0409e-08
584.58, -2.049e-08
586.59, -2.0566e-08
588.59, -2.0639e-08
590.59, -2.0713e-08
592.59, -2.0786e-08
594.59, -2.0862e-08
596.6, -2.094e-08
598.6, -2.1017e-08
600.6, -2.1092e-08
602.6, -2.1166e-08
604.6, -2.1246e-08
606.61, -2.132e-08
608.61, -2.14e-08
610.61, -2.1473e-08
612.61, -2.1548e-08
614.61, -2.1625e-08
616.62, -2.1705e-08
618.62, -2.1784e-08
620.62, -2.1862e-08
