Time sep (s?), Charge (C)
1.984375, 4.008431e-11
2.117188, 4.332572e-11
2.24707, 3.792303e-11
2.375977, 4.224526e-11
2.508789, 4.272568e-11
2.639648, 4.260537e-11
2.770508, 3.660243e-11
2.902344, 3.768272e-11
3.032227, -1.513309e-08
3.213867, -1.513277e-08
3.342773, -1.512851e-08
3.473633, -1.513447e-08
3.605469, -1.512643e-08
3.737305, -1.513179e-08
3.867188, -1.512937e-08
3.99707, -1.513458e-08
4.12793, -1.513174e-08
4.257813, -1.512821e-08
4.388672, -1.512779e-08
4.520508, -1.51354e-08
4.65332, -1.512572e-08
4.782227, -1.512785e-08
4.912109, -1.51285e-08
5.042969, -2.985006e-08
5.174805, -2.985432e-08
5.303711, -2.984826e-08
5.433594, -2.985225e-08
5.564453, -2.984705e-08
5.694336, -2.985069e-08
5.823242, -2.984636e-08
5.952148, -2.984658e-08
6.084961, -2.985131e-08
6.214844, -2.984563e-08
6.345703, -2.984541e-08
6.476563, -2.984951e-08
6.608398, -2.985012e-08
6.737305, -2.984487e-08
6.870117, -2.98454e-08
7.0, -4.50061e-08
7.131836, -4.500928e-08
7.259766, -4.500734e-08
7.390625, -4.501025e-08
7.521484, -4.500641e-08
7.651367, -4.499997e-08
7.783203, -4.500062e-08
7.912109, -4.499808e-08
8.043945, -4.500671e-08
8.172852, -4.500301e-08
8.303711, -4.500801e-08
8.435547, -4.500022e-08
8.563477, -4.500273e-08
8.691406, -4.500094e-08
8.823242, -4.499793e-08
8.953125, -6.00383e-08
9.083984, -6.003089e-08
9.214844, -6.00286e-08
9.345703, -6.003422e-08
9.477539, -6.003208e-08
9.607422, -6.003161e-08
9.737305, -6.002808e-08
9.868164, -6.003415e-08
10.0, -6.002488e-08
10.12793, -6.002237e-08
10.25879, -6.002626e-08
10.38965, -6.002512e-08
10.52051, -6.002817e-08
10.64844, -6.002348e-08
10.77637, -6.003014e-08
10.90527, -7.537185e-08
11.03711, -7.536757e-08
11.16504, -7.536703e-08
11.2959, -7.535915e-08
11.42676, -7.536826e-08
11.55859, -7.536143e-08
11.68945, -7.536168e-08
11.82031, -7.536755e-08
11.94922, -7.536394e-08
12.07812, -7.535794e-08
12.20996, -7.536035e-08
12.34277, -7.536821e-08
12.47363, -7.535803e-08
12.60156, -7.53618e-08
12.73242, -7.536002e-08
12.86328, -7.5363e-08
12.99414, -7.535481e-08
13.12598, -7.536292e-08
13.25781, -7.536156e-08
13.38965, -7.535828e-08
