Time sep (ms?), Charge (C)
0.0, -3.42e-10
2.002, -4.27e-10
4.004, -5.15e-10
6.006, -6.09e-10
8.008, -7.04e-10
10.01, -7.92e-10
12.012, -8.77e-10
14.014, -9.69e-10
16.016, -1.062e-09
18.018, -1.157e-09
20.02, -1.247e-09
22.022, -1.335e-09
24.024, -1.424e-09
26.026, -1.516e-09
28.028, -1.604e-09
30.03, -1.693e-09
32.032, -1.78e-09
34.034, -1.873e-09
36.036, -1.965e-09
38.038, -2.048e-09
40.04, -2.136e-09
42.042, -2.228e-09
44.044, -2.317e-09
46.046, -2.402e-09
48.048, -2.488e-09
50.05, -2.577e-09
52.052, -2.666e-09
54.054, -2.752e-09
56.056, -2.839e-09
58.058, -2.931e-09
60.06, -3.015e-09
62.062, -3.1e-09
64.064, -3.187e-09
66.066, -3.275e-09
68.068, -3.367e-09
70.07, -3.46e-09
72.072, -3.551e-09
74.074, -3.642e-09
76.076, -3.732e-09
78.078, -3.824e-09
80.08, -3.911e-09
82.082, -4e-09
84.084, -4.09e-09
86.086, -4.178e-09
88.088, -4.264e-09
90.09, -4.351e-09
92.092, -4.432e-09
94.094, -4.519e-09
96.096, -4.608e-09
98.098, -4.702e-09
100.1, -4.792e-09
102.1, -4.88e-09
104.1, -4.968e-09
106.11, -5.061e-09
108.11, -5.155e-09
110.11, -5.245e-09
112.11, -5.34e-09
114.11, -5.433e-09
116.12, -5.53e-09
118.12, -5.623e-09
120.12, -5.714e-09
122.12, -5.806e-09
124.12, -5.896e-09
126.13, -5.989e-09
128.13, -6.08e-09
130.13, -6.165e-09
132.13, -6.253e-09
134.13, -6.335e-09
136.14, -6.422e-09
138.14, -6.507e-09
140.14, -6.591e-09
142.14, -6.675e-09
144.14, -6.764e-09
146.15, -6.854e-09
148.15, -6.94e-09
150.15, -7.028e-09
152.15, -7.12e-09
154.15, -7.21e-09
156.16, -7.296e-09
158.16, -7.381e-09
160.16, -7.472e-09
162.16, -7.564e-09
164.16, -7.656e-09
166.17, -7.741e-09
168.17, -7.826e-09
170.17, -7.917e-09
172.17, -8.013e-09
174.17, -8.109e-09
176.18, -8.201e-09
178.18, -8.292e-09
180.18, -8.374e-09
182.18, -8.462e-09
184.18, -8.551e-09
186.19, -8.641e-09
188.19, -8.731e-09
190.19, -8.818e-09
192.19, -8.909e-09
194.19, -9.003e-09
196.2, -9.093e-09
198.2, -9.18e-09
200.2, -9.264e-09
202.2, -9.349e-09
204.2, -9.441e-09
206.21, -9.528e-09
208.21, -9.614e-09
210.21, -9.704e-09
212.21, -9.785e-09
214.21, -9.867e-09
216.22, -9.952e-09
218.22, -1.0042e-08
220.22, -1.0127e-08
222.22, -1.0211e-08
224.22, -1.0299e-08
226.23, -1.0388e-08
228.23, -1.0477e-08
230.23, -1.0565e-08
232.23, -1.0654e-08
234.23, -1.0742e-08
236.24, -1.0828e-08
238.24, -1.0911e-08
240.24, -1.0994e-08
242.24, -1.1075e-08
244.24, -1.1156e-08
246.25, -1.1242e-08
248.25, -1.1326e-08
250.25, -1.141e-08
252.25, -1.1491e-08
254.25, -1.1576e-08
256.26, -1.1657e-08
258.26, -1.1742e-08
260.26, -1.1823e-08
262.26, -1.19e-08
264.26, -1.1983e-08
266.27, -1.2058e-08
268.27, -1.2136e-08
270.27, -1.2209e-08
272.27, -1.2285e-08
274.27, -1.2361e-08
276.28, -1.2437e-08
278.28, -1.2519e-08
280.28, -1.2601e-08
282.28, -1.2688e-08
284.28, -1.2774e-08
286.29, -1.2865e-08
288.29, -1.2952e-08
290.29, -1.3044e-08
292.29, -1.3131e-08
294.29, -1.3213e-08
296.3, -1.3301e-08
298.3, -1.3383e-08
300.3, -1.3468e-08
302.3, -1.3555e-08
304.3, -1.3639e-08
306.31, -1.3725e-08
308.31, -1.3818e-08
310.31, -1.3905e-08
312.31, -1.3993e-08
314.31, -1.4079e-08
316.32, -1.4167e-08
318.32, -1.4254e-08
320.32, -1.4344e-08
322.32, -1.4431e-08
324.32, -1.4517e-08
326.33, -1.4595e-08
328.33, -1.4673e-08
330.33, -1.4753e-08
332.33, -1.4836e-08
334.33, -1.4921e-08
336.34, -1.501e-08
338.34, -1.5092e-08
340.34, -1.5176e-08
342.34, -1.526e-08
344.34, -1.5342e-08
346.35, -1.5426e-08
348.35, -1.5516e-08
350.35, -1.5605e-08
352.35, -1.5687e-08
354.35, -1.577e-08
356.36, -1.5847e-08
358.36, -1.5928e-08
360.36, -1.6014e-08
362.36, -1.6099e-08
364.36, -1.6182e-08
366.37, -1.6262e-08
368.37, -1.6347e-08
370.37, -1.643e-08
372.37, -1.6511e-08
374.37, -1.6593e-08
376.38, -1.6676e-08
378.38, -1.6752e-08
380.38, -1.6834e-08
382.38, -1.6917e-08
384.38, -1.7e-08
386.39, -1.7084e-08
388.39, -1.7167e-08
390.39, -1.725e-08
392.39, -1.7335e-08
394.39, -1.7422e-08
396.4, -1.7509e-08
398.4, -1.7592e-08
400.4, -1.767e-08
402.4, -1.7751e-08
404.4, -1.7831e-08
406.41, -1.7913e-08
408.41, -1.7999e-08
410.41, -1.8084e-08
412.41, -1.8169e-08
414.41, -1.8253e-08
416.42, -1.8341e-08
418.42, -1.843e-08
420.42, -1.8518e-08
422.42, -1.8605e-08
424.42, -1.8694e-08
426.43, -1.8778e-08
428.43, -1.8867e-08
430.43, -1.8951e-08
432.43, -1.9031e-08
434.43, -1.9116e-08
436.44, -1.9202e-08
438.44, -1.9282e-08
440.44, -1.9358e-08
442.44, -1.9435e-08
444.44, -1.9518e-08
446.45, -1.9598e-08
448.45, -1.9682e-08
450.45, -1.9761e-08
452.45, -1.9839e-08
454.45, -1.9915e-08
456.46, -1.9996e-08
458.46, -2.008e-08
460.46, -2.0164e-08
462.46, -2.0246e-08
464.46, -2.0326e-08
466.47, -2.0405e-08
468.47, -2.0486e-08
470.47, -2.0571e-08
472.47, -2.0651e-08
474.47, -2.0733e-08
476.48, -2.0819e-08
478.48, -2.0903e-08
480.48, -2.0985e-08
482.48, -2.1067e-08
484.48, -2.115e-08
486.49, -2.1237e-08
488.49, -2.1327e-08
490.49, -2.1417e-08
492.49, -2.1503e-08
494.49, -2.1587e-08
496.5, -2.1671e-08
498.5, -2.1751e-08
500.5, -2.1835e-08
502.5, -2.1912e-08
504.5, -2.1993e-08
506.51, -2.2076e-08
508.51, -2.2157e-08
510.51, -2.2237e-08
512.51, -2.232e-08
514.51, -2.2402e-08
516.52, -2.2488e-08
518.52, -2.2574e-08
520.52, -2.2653e-08
522.52, -2.2732e-08
524.52, -2.2814e-08
526.53, -2.2896e-08
528.53, -2.2972e-08
530.53, -2.3047e-08
532.53, -2.3132e-08
534.53, -2.3216e-08
536.54, -2.33e-08
538.54, -2.3386e-08
540.54, -2.3469e-08
542.54, -2.355e-08
544.54, -2.3629e-08
546.55, -2.3716e-08
548.55, -2.3798e-08
550.55, -2.388e-08
552.55, -2.396e-08
554.55, -2.404e-08
556.56, -2.4122e-08
558.56, -2.4201e-08
560.56, -2.4283e-08
562.56, -2.4365e-08
564.56, -2.4452e-08
566.57, -2.4533e-08
568.57, -2.462e-08
570.57, -2.4701e-08
572.57, -2.478e-08
574.57, -2.486e-08
576.58, -2.4944e-08
578.58, -2.5026e-08
580.58, -2.5103e-08
582.58, -2.5185e-08
584.58, -2.5268e-08
586.59, -2.5347e-08
588.59, -2.5424e-08
590.59, -2.5504e-08
592.59, -2.558e-08
594.59, -2.5658e-08
596.6, -2.5738e-08
598.6, -2.5821e-08
600.6, -2.5901e-08
602.6, -2.5988e-08
604.6, -2.607e-08
606.61, -2.6151e-08
608.61, -2.6234e-08
610.61, -2.6311e-08
612.61, -2.6392e-08
614.61, -2.6472e-08
616.62, -2.6556e-08
618.62, -2.664e-08
620.62, -2.6727e-08
622.62, -2.6813e-08
624.62, -2.6897e-08
626.63, -2.6983e-08
628.63, -2.7071e-08
630.63, -2.7155e-08
632.63, -2.7232e-08
634.63, -2.7319e-08
636.64, -2.7409e-08
638.64, -2.7498e-08
640.64, -2.7584e-08
642.64, -2.7665e-08
644.64, -2.7749e-08
646.65, -2.7837e-08
648.65, -2.7927e-08
650.65, -2.8013e-08
652.65, -2.8101e-08
654.65, -2.8187e-08
656.66, -2.8271e-08
658.66, -2.8352e-08
660.66, -2.8435e-08
662.66, -2.8522e-08
664.66, -2.86e-08
666.67, -2.8682e-08
668.67, -2.8769e-08
670.67, -2.8854e-08
672.67, -2.8935e-08
674.67, -2.9019e-08
676.68, -2.9104e-08
678.68, -2.9191e-08
680.68, -2.9274e-08
682.68, -2.9353e-08
684.68, -2.944e-08
686.69, -2.9529e-08
688.69, -2.9615e-08
690.69, -2.9693e-08
692.69, -2.9775e-08
694.69, -2.9855e-08
696.7, -2.9938e-08
698.7, -3.0019e-08
700.7, -3.0097e-08
702.7, -3.0177e-08
704.7, -3.0257e-08
706.71, -3.0336e-08
708.71, -3.042e-08
710.71, -3.0506e-08
712.71, -3.0592e-08
714.71, -3.0678e-08
716.72, -3.0764e-08
718.72, -3.0849e-08
720.72, -3.0938e-08
722.72, -3.1025e-08
724.72, -3.1111e-08
726.73, -3.1198e-08
728.73, -3.1291e-08
730.73, -3.1372e-08
732.73, -3.1457e-08
734.73, -3.154e-08
736.74, -3.1625e-08
738.74, -3.1709e-08
740.74, -3.1795e-08
742.74, -3.1883e-08
744.74, -3.1972e-08
746.75, -3.2061e-08
748.75, -3.2144e-08
750.75, -3.223e-08
752.75, -3.2318e-08
754.75, -3.2404e-08
756.76, -3.2492e-08
