Time sep (s?), Charge (C)
1.978516, 4.452658e-11
2.108398, 3.996389e-11
2.240234, 4.524666e-11
2.37207, 4.3686e-11
2.500977, 4.680764e-11
2.634766, 3.888357e-11
2.764648, 3.816288e-11
2.895508, 4.104453e-11
3.027344, -9.643617e-10
3.15625, -2.939391e-09
3.289063, -5.052391e-09
3.419922, -7.164553e-09
3.549805, -9.299976e-09
3.680664, -1.143875e-08
3.813477, -1.364507e-08
3.942383, -1.557473e-08
4.072266, -1.557847e-08
4.202148, -1.55761e-08
4.333984, -1.557723e-08
4.46582, -1.5571e-08
4.595703, -1.557298e-08
4.727539, -1.557559e-08
4.859375, -1.557706e-08
4.991211, -1.644019e-08
5.12207, -1.844615e-08
5.253906, -2.054182e-08
5.381836, -2.262528e-08
5.513672, -2.479984e-08
5.646484, -2.69579e-08
5.779297, -2.914645e-08
5.907227, -3.115099e-08
6.037109, -3.115382e-08
6.168945, -3.115215e-08
6.300781, -3.115147e-08
6.431641, -3.114627e-08
6.561523, -3.115575e-08
6.693359, -3.114924e-08
6.822266, -3.114873e-08
6.952148, -3.124276e-08
7.084961, -3.321187e-08
7.21582, -3.524879e-08
7.344727, -3.729722e-08
7.477539, -3.944552e-08
7.609375, -4.156793e-08
7.741211, -4.370802e-08
7.87207, -4.587159e-08
8.001953, -4.661571e-08
8.132813, -4.662259e-08
8.264648, -4.661998e-08
8.392578, -4.661744e-08
8.523438, -4.662171e-08
8.657227, -4.661195e-08
8.786133, -4.661973e-08
8.916992, -4.661591e-08
9.048828, -4.844185e-08
9.181641, -5.047671e-08
9.3125, -5.255192e-08
9.444336, -5.464057e-08
9.576172, -5.678481e-08
9.708008, -5.899708e-08
9.835938, -6.113743e-08
9.96582, -6.203632e-08
10.09668, -6.20297e-08
10.22754, -6.203297e-08
10.35742, -6.203042e-08
10.48926, -6.203511e-08
10.62012, -6.20315e-08
10.75195, -6.203287e-08
10.88281, -6.20525e-08
11.01563, -6.392138e-08
11.14844, -6.595133e-08
11.27734, -6.800897e-08
11.40625, -7.008916e-08
11.53613, -7.217803e-08
11.66895, -7.432262e-08
11.7998, -7.644755e-08
11.92773, -7.7269e-08
12.06152, -7.727063e-08
12.19238, -7.726501e-08
12.32227, -7.727195e-08
12.45508, -7.726983e-08
12.58789, -7.726359e-08
12.71777, -7.726391e-08
12.84863, -7.726577e-08
12.98047, -7.726462e-08
13.11328, -7.727125e-08
13.24219, -7.726272e-08
13.37402, -7.726629e-08
