Time sep (ms?), Charge (C)
0.0, -2.091e-09
2.002, -2.169e-09
4.004, -2.251e-09
6.006, -2.337e-09
8.008, -2.418e-09
10.01, -2.5e-09
12.012, -2.583e-09
14.014, -2.661e-09
16.016, -2.734e-09
18.018, -2.813e-09
20.02, -2.893e-09
22.022, -2.975e-09
24.024, -3.06e-09
26.026, -3.137e-09
28.028, -3.217e-09
30.03, -3.302e-09
32.032, -3.382e-09
34.034, -3.458e-09
36.036, -3.534e-09
38.038, -3.613e-09
40.04, -3.692e-09
42.042, -3.773e-09
44.044, -3.852e-09
46.046, -3.932e-09
48.048, -4.009e-09
50.05, -4.094e-09
52.052, -4.175e-09
54.054, -4.248e-09
56.056, -4.321e-09
58.058, -4.398e-09
60.06, -4.478e-09
62.062, -4.558e-09
64.064, -4.637e-09
66.066, -4.716e-09
68.068, -4.795e-09
70.07, -4.877e-09
72.072, -4.956e-09
74.074, -5.032e-09
76.076, -5.104e-09
78.078, -5.178e-09
80.08, -5.254e-09
82.082, -5.332e-09
84.084, -5.412e-09
86.086, -5.494e-09
88.088, -5.574e-09
90.09, -5.65e-09
92.092, -5.724e-09
94.094, -5.801e-09
96.096, -5.875e-09
98.098, -5.95e-09
100.1, -6.029e-09
102.1, -6.11e-09
104.1, -6.183e-09
106.11, -6.261e-09
108.11, -6.34e-09
110.11, -6.419e-09
112.11, -6.497e-09
114.11, -6.571e-09
116.12, -6.649e-09
118.12, -6.729e-09
120.12, -6.803e-09
122.12, -6.881e-09
124.12, -6.961e-09
126.13, -7.049e-09
128.13, -7.13e-09
130.13, -7.209e-09
132.13, -7.289e-09
134.13, -7.368e-09
136.14, -7.437e-09
138.14, -7.515e-09
140.14, -7.591e-09
142.14, -7.674e-09
144.14, -7.755e-09
146.15, -7.834e-09
148.15, -7.912e-09
150.15, -7.992e-09
152.15, -8.072e-09
154.15, -8.155e-09
156.16, -8.239e-09
158.16, -8.32e-09
160.16, -8.398e-09
162.16, -8.474e-09
164.16, -8.558e-09
166.17, -8.636e-09
168.17, -8.714e-09
170.17, -8.791e-09
172.17, -8.864e-09
174.17, -8.946e-09
176.18, -9.022e-09
178.18, -9.097e-09
180.18, -9.173e-09
182.18, -9.252e-09
184.18, -9.332e-09
186.19, -9.417e-09
188.19, -9.494e-09
190.19, -9.569e-09
192.19, -9.645e-09
194.19, -9.72e-09
196.2, -9.793e-09
198.2, -9.872e-09
200.2, -9.95e-09
202.2, -1.0026e-08
204.2, -1.01e-08
206.21, -1.0175e-08
208.21, -1.0251e-08
210.21, -1.0329e-08
212.21, -1.0412e-08
214.21, -1.0483e-08
216.22, -1.0559e-08
218.22, -1.0633e-08
220.22, -1.0707e-08
222.22, -1.079e-08
224.22, -1.0869e-08
226.23, -1.0945e-08
228.23, -1.1025e-08
230.23, -1.1109e-08
232.23, -1.1188e-08
234.23, -1.1266e-08
236.24, -1.1345e-08
238.24, -1.1424e-08
240.24, -1.1505e-08
242.24, -1.1588e-08
244.24, -1.1663e-08
246.25, -1.1741e-08
248.25, -1.1818e-08
250.25, -1.1899e-08
252.25, -1.1979e-08
254.25, -1.2052e-08
256.26, -1.2127e-08
258.26, -1.2204e-08
260.26, -1.2284e-08
262.26, -1.2361e-08
264.26, -1.2438e-08
266.27, -1.2519e-08
268.27, -1.2597e-08
270.27, -1.2673e-08
272.27, -1.275e-08
274.27, -1.2825e-08
276.28, -1.2907e-08
278.28, -1.2985e-08
280.28, -1.3063e-08
282.28, -1.314e-08
284.28, -1.3217e-08
286.29, -1.3289e-08
288.29, -1.3366e-08
290.29, -1.3441e-08
292.29, -1.3513e-08
294.29, -1.3588e-08
296.3, -1.3663e-08
298.3, -1.3738e-08
300.3, -1.3813e-08
302.3, -1.389e-08
304.3, -1.3972e-08
306.31, -1.4049e-08
308.31, -1.413e-08
310.31, -1.4209e-08
312.31, -1.4286e-08
314.31, -1.4365e-08
316.32, -1.4442e-08
318.32, -1.4518e-08
320.32, -1.4591e-08
322.32, -1.4664e-08
324.32, -1.4738e-08
326.33, -1.4813e-08
328.33, -1.4893e-08
330.33, -1.4971e-08
332.33, -1.505e-08
334.33, -1.5134e-08
336.34, -1.5214e-08
338.34, -1.5293e-08
340.34, -1.5373e-08
342.34, -1.5454e-08
344.34, -1.5534e-08
346.35, -1.5614e-08
348.35, -1.5695e-08
350.35, -1.5774e-08
352.35, -1.5851e-08
354.35, -1.5929e-08
356.36, -1.6006e-08
358.36, -1.6082e-08
360.36, -1.616e-08
362.36, -1.6238e-08
364.36, -1.6314e-08
366.37, -1.6394e-08
368.37, -1.647e-08
370.37, -1.6553e-08
372.37, -1.6634e-08
374.37, -1.671e-08
376.38, -1.6787e-08
378.38, -1.6857e-08
380.38, -1.6937e-08
382.38, -1.7016e-08
384.38, -1.7096e-08
386.39, -1.7174e-08
388.39, -1.725e-08
390.39, -1.7327e-08
392.39, -1.7407e-08
394.39, -1.7482e-08
396.4, -1.7556e-08
398.4, -1.763e-08
400.4, -1.7702e-08
402.4, -1.7775e-08
404.4, -1.7847e-08
406.41, -1.792e-08
408.41, -1.7994e-08
410.41, -1.807e-08
412.41, -1.8143e-08
414.41, -1.8225e-08
416.42, -1.8305e-08
418.42, -1.8388e-08
420.42, -1.8474e-08
422.42, -1.8556e-08
424.42, -1.8637e-08
426.43, -1.8711e-08
428.43, -1.879e-08
430.43, -1.8868e-08
432.43, -1.8944e-08
434.43, -1.902e-08
436.44, -1.9093e-08
438.44, -1.9162e-08
440.44, -1.924e-08
442.44, -1.9318e-08
444.44, -1.9399e-08
446.45, -1.9474e-08
448.45, -1.9548e-08
450.45, -1.9624e-08
452.45, -1.97e-08
454.45, -1.9775e-08
456.46, -1.9855e-08
458.46, -1.9928e-08
460.46, -2.0004e-08
462.46, -2.008e-08
464.46, -2.0156e-08
466.47, -2.0233e-08
468.47, -2.0307e-08
470.47, -2.0383e-08
472.47, -2.0459e-08
474.47, -2.0534e-08
476.48, -2.0608e-08
478.48, -2.0684e-08
480.48, -2.0758e-08
482.48, -2.083e-08
484.48, -2.0901e-08
486.49, -2.0977e-08
488.49, -2.1054e-08
490.49, -2.1129e-08
492.49, -2.121e-08
494.49, -2.1284e-08
496.5, -2.1359e-08
498.5, -2.1438e-08
500.5, -2.152e-08
502.5, -2.1599e-08
504.5, -2.1677e-08
506.51, -2.1751e-08
508.51, -2.1828e-08
510.51, -2.1903e-08
512.51, -2.1982e-08
514.51, -2.2057e-08
516.52, -2.2135e-08
518.52, -2.2211e-08
520.52, -2.2289e-08
522.52, -2.2363e-08
524.52, -2.244e-08
526.53, -2.2517e-08
528.53, -2.2592e-08
530.53, -2.267e-08
532.53, -2.2745e-08
534.53, -2.2826e-08
536.54, -2.2909e-08
538.54, -2.2991e-08
540.54, -2.3071e-08
542.54, -2.3151e-08
544.54, -2.3228e-08
546.55, -2.3305e-08
548.55, -2.3379e-08
550.55, -2.3455e-08
552.55, -2.3538e-08
554.55, -2.361e-08
556.56, -2.3682e-08
558.56, -2.3761e-08
560.56, -2.3838e-08
562.56, -2.3912e-08
564.56, -2.3988e-08
566.57, -2.4064e-08
568.57, -2.4135e-08
570.57, -2.4214e-08
572.57, -2.4295e-08
574.57, -2.4372e-08
576.58, -2.4448e-08
578.58, -2.4528e-08
580.58, -2.4605e-08
582.58, -2.4684e-08
584.58, -2.476e-08
586.59, -2.4837e-08
588.59, -2.4912e-08
590.59, -2.4987e-08
592.59, -2.5064e-08
594.59, -2.5141e-08
596.6, -2.5224e-08
598.6, -2.5309e-08
600.6, -2.5391e-08
602.6, -2.5473e-08
604.6, -2.5552e-08
606.61, -2.5627e-08
608.61, -2.5703e-08
610.61, -2.578e-08
612.61, -2.5862e-08
614.61, -2.5936e-08
616.62, -2.6012e-08
618.62, -2.6089e-08
620.62, -2.6162e-08
622.62, -2.6242e-08
624.62, -2.6316e-08
626.63, -2.6391e-08
628.63, -2.6462e-08
630.63, -2.6536e-08
632.63, -2.661e-08
634.63, -2.6688e-08
636.64, -2.6763e-08
638.64, -2.6835e-08
640.64, -2.6912e-08
642.64, -2.6988e-08
644.64, -2.7067e-08
646.65, -2.7146e-08
648.65, -2.7228e-08
650.65, -2.7312e-08
652.65, -2.7394e-08
654.65, -2.7473e-08
656.66, -2.7547e-08
658.66, -2.7625e-08
660.66, -2.7707e-08
662.66, -2.7781e-08
664.66, -2.7854e-08
666.67, -2.793e-08
668.67, -2.8009e-08
670.67, -2.8087e-08
672.67, -2.8163e-08
674.67, -2.8238e-08
676.68, -2.8318e-08
678.68, -2.8396e-08
680.68, -2.8477e-08
682.68, -2.856e-08
684.68, -2.8637e-08
686.69, -2.8714e-08
688.69, -2.8791e-08
690.69, -2.8869e-08
692.69, -2.8948e-08
694.69, -2.9025e-08
696.7, -2.9104e-08
698.7, -2.9183e-08
700.7, -2.9264e-08
702.7, -2.9341e-08
704.7, -2.942e-08
706.71, -2.9498e-08
708.71, -2.9573e-08
710.71, -2.9646e-08
712.71, -2.9722e-08
714.71, -2.9794e-08
716.72, -2.9872e-08
718.72, -2.9951e-08
720.72, -3.0026e-08
722.72, -3.0102e-08
724.72, -3.0179e-08
726.73, -3.0255e-08
728.73, -3.0331e-08
730.73, -3.0404e-08
732.73, -3.0478e-08
734.73, -3.0555e-08
736.74, -3.0636e-08
738.74, -3.0714e-08
740.74, -3.0794e-08
742.74, -3.0877e-08
744.74, -3.0959e-08
746.75, -3.1034e-08
748.75, -3.1113e-08
750.75, -3.1191e-08
752.75, -3.1272e-08
754.75, -3.1348e-08
756.76, -3.1425e-08
758.76, -3.1503e-08
760.76, -3.1582e-08
762.76, -3.1661e-08
764.76, -3.1739e-08
766.77, -3.1813e-08
768.77, -3.1891e-08
770.77, -3.1976e-08
772.77, -3.2055e-08
774.77, -3.2132e-08
776.78, -3.2208e-08
778.78, -3.2283e-08
780.78, -3.2357e-08
782.78, -3.2432e-08
784.78, -3.2507e-08
786.79, -3.2584e-08
788.79, -3.2657e-08
790.79, -3.2733e-08
792.79, -3.2807e-08
794.79, -3.2883e-08
796.8, -3.2958e-08
798.8, -3.3032e-08
800.8, -3.3104e-08
802.8, -3.3179e-08
804.8, -3.3258e-08
806.81, -3.3335e-08
808.81, -3.3406e-08
810.81, -3.3477e-08
812.81, -3.3546e-08
814.81, -3.3619e-08
816.82, -3.3699e-08
818.82, -3.3776e-08
820.82, -3.3857e-08
822.82, -3.3937e-08
824.82, -3.4017e-08
826.83, -3.4094e-08
828.83, -3.4175e-08
830.83, -3.4254e-08
832.83, -3.4331e-08
834.83, -3.441e-08
836.84, -3.4488e-08
838.84, -3.4561e-08
840.84, -3.4641e-08
842.84, -3.4716e-08
844.84, -3.4788e-08
846.85, -3.4859e-08
848.85, -3.4931e-08
850.85, -3.5003e-08
852.85, -3.5073e-08
854.85, -3.5144e-08
856.86, -3.5214e-08
858.86, -3.5289e-08
860.86, -3.5365e-08
862.86, -3.5445e-08
864.86, -3.5518e-08
866.87, -3.5589e-08
868.87, -3.5662e-08
870.87, -3.5736e-08
