Time sep (s?), Charge (C)
1.983398, 3.768278e-11
2.113281, 4.800811e-11
2.242188, 4.080443e-11
2.373047, 4.656755e-11
2.504883, 3.984387e-11
2.635742, 4.428603e-11
2.767578, 4.248526e-11
2.898438, 3.924331e-11
3.02832, 3.936364e-11
3.157227, 4.716762e-11
3.289063, 4.656752e-11
3.419922, 4.044397e-11
3.549805, 4.020406e-11
3.681641, 4.128439e-11
3.810547, 4.260539e-11
3.941406, 4.872859e-11
4.072266, 4.128462e-11
4.202148, 4.356581e-11
4.334961, 4.548695e-11
4.462891, 4.464648e-11
4.592773, 4.320547e-11
4.72168, 4.596718e-11
4.853516, 4.344565e-11
4.982422, 3.852316e-11
5.113281, 4.692749e-11
5.245117, 4.512669e-11
5.376953, 3.660207e-11
5.506836, 4.176495e-11
5.638672, 4.284539e-11
5.771484, 4.548675e-11
5.902344, 4.524678e-11
6.03418, 3.852301e-11
6.165039, 4.476659e-11
6.296875, 4.260529e-11
6.427734, 4.128456e-11
6.558594, 4.02041e-11
6.688477, 4.884868e-11
6.820313, 3.936357e-11
6.949219, 4.776802e-11
7.081055, 4.356588e-11
7.214844, 4.284556e-11
7.345703, 4.704762e-11
7.474609, 4.092436e-11
7.607422, 4.464625e-11
7.738281, 4.536684e-11
7.867188, 4.656741e-11
7.996094, 4.128443e-11
8.12793, 4.41661e-11
8.259766, 4.440634e-11
8.389648, 4.716777e-11
8.522461, 3.936361e-11
8.654297, 4.092432e-11
8.786133, 4.392596e-11
8.915039, 3.6602e-11
9.046875, 4.80083e-11
9.177734, 4.032411e-11
9.30957, 4.380584e-11
9.439453, 4.296553e-11
9.570313, 4.500646e-11
9.702148, 4.440639e-11
9.833008, 4.176473e-11
9.961914, 4.500664e-11
10.09277, 3.744246e-11
10.22461, 4.524681e-11
10.35352, 4.140452e-11
10.48633, 4.620718e-11
10.61719, 4.416623e-11
10.74902, 4.752784e-11
10.87988, 4.032415e-11
11.01172, 4.200481e-11
11.14453, 4.22451e-11
11.27344, 3.972365e-11
11.40527, 4.524679e-11
11.53613, 4.224512e-11
11.66895, 4.51265e-11
11.79785, 4.428634e-11
11.92871, 4.812829e-11
12.05957, 3.924353e-11
12.19043, 4.320545e-11
12.32031, 4.536684e-11
12.45215, 4.080418e-11
12.58398, 4.212515e-11
12.71484, 4.020392e-11
12.84766, 4.7768e-11
12.97754, 4.272549e-11
13.10938, 4.680746e-11
13.24023, 4.116462e-11
13.37207, 4.152457e-11
