Time sep (s?), Charge (C)
1.980469, 4.020406e-11
2.108398, 4.224515e-11
2.240234, 4.176472e-11
2.37207, 4.320555e-11
2.501953, 3.876312e-11
2.629883, 4.008398e-11
2.757813, 4.272531e-11
2.885742, 4.188478e-11
3.017578, -5.646463e-09
3.149414, -5.644211e-09
3.280273, -5.644079e-09
3.410156, -5.647679e-09
3.540039, -5.64454e-09
3.669922, -5.641811e-09
3.802734, -5.641911e-09
3.935547, -5.641298e-09
4.06543, -5.636497e-09
4.195313, -5.642394e-09
4.328125, -5.640004e-09
4.458008, -5.639377e-09
4.589844, -5.645165e-09
4.720703, -5.643336e-09
4.852539, -5.642883e-09
4.984375, -1.078231e-08
5.115234, -1.130695e-08
5.245117, -1.129866e-08
5.37793, -1.130925e-08
5.508789, -1.130231e-08
5.641602, -1.130565e-08
5.771484, -1.131025e-08
5.90332, -1.130238e-08
6.035156, -1.130686e-08
6.165039, -1.130374e-08
6.295898, -1.130287e-08
6.427734, -1.129942e-08
6.556641, -1.130663e-08
6.6875, -1.130494e-08
6.816406, -1.131037e-08
6.947266, -1.629439e-08
7.078125, -1.695996e-08
7.21875, -1.696328e-08
7.351563, -1.696237e-08
7.483398, -1.695718e-08
7.613281, -1.696416e-08
7.746094, -1.695399e-08
7.875, -1.696068e-08
8.003906, -1.696061e-08
8.135742, -1.695295e-08
8.268555, -1.695904e-08
8.398438, -1.696104e-08
8.530273, -1.695487e-08
8.661133, -1.695784e-08
8.792969, -1.696321e-08
8.922852, -2.257006e-08
9.053711, -2.262735e-08
9.18457, -2.262534e-08
9.316406, -2.262629e-08
9.448242, -2.262004e-08
9.579102, -2.262674e-08
9.709961, -2.262652e-08
9.841797, -2.262417e-08
9.97168, -2.262618e-08
10.10449, -2.261937e-08
10.23633, -2.262505e-08
10.36621, -2.26205e-08
10.49707, -2.262318e-08
10.62695, -2.262829e-08
10.75684, -2.262676e-08
10.88477, -2.866494e-08
11.01465, -2.866845e-08
11.14258, -2.866989e-08
11.27539, -2.866826e-08
11.4043, -2.866601e-08
11.53613, -2.866861e-08
11.66699, -2.86598e-08
11.79688, -2.866597e-08
11.92773, -2.865998e-08
12.05859, -2.866216e-08
12.19043, -2.866483e-08
12.31934, -2.866851e-08
12.45215, -2.866389e-08
12.58203, -2.866451e-08
12.71387, -2.866816e-08
12.84277, -2.866605e-08
12.97363, -2.866365e-08
13.10449, -2.866463e-08
13.2373, -2.86658e-08
13.36621, -2.866287e-08
13.49707, -2.866435e-08
