Wavelength(nm), SC photons / PD electrons
350.0, 18.91171948648113
355.0, 19.381959903101542
360.0, 20.4875577806367
365.0, 20.192782369728015
370.0, 20.214304903958816
375.0, 19.60781995478346
380.0, 18.78714227864153
385.0, 18.572708109990756
390.0, 18.041242433049234
395.0, 17.354396020504772
400.0, 17.373238815275354
405.0, 15.67736613063651
410.0, 15.357935676876332
415.0, 16.121187189993165
420.0, 14.807427178291134
425.0, 12.303925377334501
430.0, 12.8255560685509
435.0, 11.91358007676124
440.0, 10.843326987361472
445.0, 10.838999351008036
450.0, 9.532899440592635
455.0, 10.10370126210614
460.0, 9.553197071137474
465.0, 8.990763265700773
470.0, 9.119424845599928
475.0, 8.93282985645029
480.0, 9.28225711341326
485.0, 8.798651551716361
490.0, 9.224706275760893
495.0, 8.939937465286436
505.0, 8.236008523004124
510.0, 8.143978109270266
515.0, 7.786197500089637
520.0, 9.311482003591484
530.0, 7.057174265277808
535.0, 7.513278003778442
545.0, 6.582589380941124
550.0, 9.736337769508973
570.0, 6.692099578725757
600.0, 5.728747695883316
605.0, 5.490379647619047
610.0, 5.55708352392278
615.0, 5.3205388227866806
620.0, 5.244355056441841
630.0, 5.233584918353441
635.0, 5.641911604544698
640.0, 5.473519851290295
645.0, 5.03974939371591
655.0, 5.026308890545764
660.0, 4.583453627310696
665.0, 5.06342290204906
670.0, 4.807766121510456
675.0, 4.3619425308932005
680.0, 4.246704135242538
685.0, 3.995305596514882
695.0, 3.980740810851096
700.0, 3.9250323717613362
705.0, 3.8061784895918405
710.0, 3.7959344934590233
715.0, 4.048510034833127
720.0, 3.7479107113097254
725.0, 3.7879664800175075
730.0, 3.690475038393464
735.0, 3.6501069055300928
740.0, 3.8108399032718743
745.0, 3.850432885798595
750.0, 3.645197662869424
755.0, 3.9481498354326465
760.0, 3.4008953455118776
765.0, 3.4744698381225425
770.0, 3.4401776597944593
775.0, 3.615347056330685
780.0, 3.34422483226152
785.0, 3.3782465608186962
790.0, 3.454241588359441
795.0, 3.142790947726108
800.0, 3.3792594765117663
805.0, 3.353624838516252
810.0, 3.348174469746301
815.0, 3.329570159761227
820.0, 3.35326821021146
825.0, 3.293631914642012
830.0, 3.731142808854675
835.0, 3.4128856984765825
840.0, 3.375857102658968
845.0, 3.3221883904773786
850.0, 3.542252485793893
855.0, 4.507082847914809
860.0, 3.7793362623014626
865.0, 3.513554987981461
870.0, 3.649350257175325
875.0, 3.4580503316310445
880.0, 3.468470780352059
885.0, 3.5168849604630825
890.0, 3.6112977736823195
895.0, 4.012565164564423
900.0, 3.5182147408772533
905.0, 3.831835888057661
910.0, 3.6104040283625567
915.0, 3.839643843058165
920.0, 3.786907798414478
925.0, 3.694571455024506
930.0, 3.90988460884093
935.0, 3.8800163548076343
940.0, 3.8759441028327046
945.0, 4.0413632285525285
950.0, 4.249860981831817
955.0, 4.172516261868485
960.0, 4.101624218985683
965.0, 4.218742106325473
970.0, 4.538642193184544
975.0, 4.297442712315979
980.0, 4.404585845814861
985.0, 5.784018094291626
990.0, 5.125118515188081
995.0, 4.941002117298228
1000.0, 5.13688715413839
1005.0, 5.52744649628122
1010.0, 5.714061540533181
1015.0, 5.488973081202383
1020.0, 6.0102247880560675
1025.0, 6.235126828205323
1030.0, 6.859868062941671
1035.0, 6.6703443074658
1040.0, 7.673803739714337
1045.0, 9.857947046374782
