Time sep (ms?), Charge (C)
0.0, -9.26e-10
2.002, -1e-09
4.004, -1.071e-09
6.006, -1.141e-09
8.008, -1.223e-09
10.01, -1.304e-09
12.012, -1.377e-09
14.014, -1.452e-09
16.016, -1.53e-09
18.018, -1.609e-09
20.02, -1.685e-09
22.022, -1.762e-09
24.024, -1.834e-09
26.026, -1.913e-09
28.028, -1.988e-09
30.03, -2.067e-09
32.032, -2.141e-09
34.034, -2.218e-09
36.036, -2.299e-09
38.038, -2.377e-09
40.04, -2.455e-09
42.042, -2.533e-09
44.044, -2.612e-09
46.046, -2.691e-09
48.048, -2.769e-09
50.05, -2.846e-09
52.052, -2.925e-09
54.054, -3.003e-09
56.056, -3.087e-09
58.058, -3.164e-09
60.06, -3.242e-09
62.062, -3.319e-09
64.064, -3.397e-09
66.066, -3.477e-09
68.068, -3.561e-09
70.07, -3.639e-09
72.072, -3.712e-09
74.074, -3.785e-09
76.076, -3.863e-09
78.078, -3.939e-09
80.08, -4.013e-09
82.082, -4.087e-09
84.084, -4.165e-09
86.086, -4.236e-09
88.088, -4.308e-09
90.09, -4.387e-09
92.092, -4.466e-09
94.094, -4.542e-09
96.096, -4.62e-09
98.098, -4.697e-09
100.1, -4.769e-09
102.1, -4.843e-09
104.1, -4.917e-09
106.11, -4.991e-09
108.11, -5.075e-09
110.11, -5.156e-09
112.11, -5.234e-09
114.11, -5.315e-09
116.12, -5.395e-09
118.12, -5.476e-09
120.12, -5.556e-09
122.12, -5.631e-09
124.12, -5.709e-09
126.13, -5.788e-09
128.13, -5.868e-09
130.13, -5.946e-09
132.13, -6.018e-09
134.13, -6.095e-09
136.14, -6.171e-09
138.14, -6.248e-09
140.14, -6.32e-09
142.14, -6.396e-09
144.14, -6.465e-09
146.15, -6.538e-09
148.15, -6.608e-09
150.15, -6.679e-09
152.15, -6.755e-09
154.15, -6.83e-09
156.16, -6.906e-09
158.16, -6.981e-09
160.16, -7.057e-09
162.16, -7.136e-09
164.16, -7.212e-09
166.17, -7.286e-09
168.17, -7.36e-09
170.17, -7.434e-09
172.17, -7.508e-09
174.17, -7.579e-09
176.18, -7.651e-09
178.18, -7.724e-09
180.18, -7.796e-09
182.18, -7.866e-09
184.18, -7.937e-09
186.19, -8.009e-09
188.19, -8.077e-09
190.19, -8.148e-09
192.19, -8.218e-09
194.19, -8.289e-09
196.2, -8.359e-09
198.2, -8.432e-09
200.2, -8.507e-09
202.2, -8.581e-09
204.2, -8.654e-09
206.21, -8.726e-09
208.21, -8.801e-09
210.21, -8.872e-09
212.21, -8.942e-09
214.21, -9.011e-09
216.22, -9.082e-09
218.22, -9.155e-09
220.22, -9.223e-09
222.22, -9.295e-09
224.22, -9.367e-09
226.23, -9.437e-09
228.23, -9.513e-09
230.23, -9.588e-09
232.23, -9.665e-09
234.23, -9.742e-09
236.24, -9.823e-09
238.24, -9.9e-09
240.24, -9.974e-09
242.24, -1.0048e-08
244.24, -1.0122e-08
246.25, -1.0197e-08
248.25, -1.0281e-08
250.25, -1.0361e-08
252.25, -1.0436e-08
254.25, -1.0517e-08
256.26, -1.06e-08
258.26, -1.0683e-08
260.26, -1.0764e-08
262.26, -1.0844e-08
264.26, -1.092e-08
