Time sep (ms?), Charge (C)
0.0, -1.039e-09
2.002, -1.117e-09
4.004, -1.195e-09
6.006, -1.273e-09
8.008, -1.353e-09
10.01, -1.439e-09
12.012, -1.52e-09
14.014, -1.6e-09
16.016, -1.682e-09
18.018, -1.759e-09
20.02, -1.84e-09
22.022, -1.919e-09
24.024, -1.999e-09
26.026, -2.075e-09
28.028, -2.151e-09
30.03, -2.227e-09
32.032, -2.305e-09
34.034, -2.382e-09
36.036, -2.461e-09
38.038, -2.539e-09
40.04, -2.613e-09
42.042, -2.693e-09
44.044, -2.773e-09
46.046, -2.852e-09
48.048, -2.931e-09
50.05, -3.009e-09
52.052, -3.085e-09
54.054, -3.167e-09
56.056, -3.25e-09
58.058, -3.33e-09
60.06, -3.41e-09
62.062, -3.492e-09
64.064, -3.576e-09
66.066, -3.66e-09
68.068, -3.745e-09
70.07, -3.828e-09
72.072, -3.906e-09
74.074, -3.989e-09
76.076, -4.071e-09
78.078, -4.154e-09
80.08, -4.234e-09
82.082, -4.312e-09
84.084, -4.395e-09
86.086, -4.472e-09
88.088, -4.553e-09
90.09, -4.634e-09
92.092, -4.716e-09
94.094, -4.798e-09
96.096, -4.882e-09
98.098, -4.963e-09
100.1, -5.042e-09
102.1, -5.118e-09
104.1, -5.199e-09
106.11, -5.277e-09
108.11, -5.357e-09
110.11, -5.435e-09
112.11, -5.511e-09
114.11, -5.59e-09
116.12, -5.675e-09
118.12, -5.756e-09
120.12, -5.834e-09
122.12, -5.916e-09
124.12, -5.993e-09
126.13, -6.071e-09
128.13, -6.151e-09
130.13, -6.228e-09
132.13, -6.309e-09
134.13, -6.386e-09
136.14, -6.46e-09
138.14, -6.534e-09
140.14, -6.611e-09
142.14, -6.688e-09
144.14, -6.765e-09
146.15, -6.842e-09
148.15, -6.921e-09
150.15, -6.999e-09
152.15, -7.072e-09
154.15, -7.145e-09
156.16, -7.219e-09
158.16, -7.293e-09
160.16, -7.366e-09
162.16, -7.44e-09
164.16, -7.512e-09
166.17, -7.588e-09
168.17, -7.669e-09
170.17, -7.74e-09
172.17, -7.818e-09
174.17, -7.893e-09
176.18, -7.964e-09
178.18, -8.04e-09
180.18, -8.114e-09
182.18, -8.186e-09
184.18, -8.254e-09
186.19, -8.323e-09
188.19, -8.39e-09
190.19, -8.458e-09
192.19, -8.531e-09
194.19, -8.606e-09
196.2, -8.68e-09
198.2, -8.747e-09
200.2, -8.813e-09
202.2, -8.886e-09
204.2, -8.958e-09
206.21, -9.034e-09
208.21, -9.105e-09
210.21, -9.181e-09
212.21, -9.258e-09
214.21, -9.336e-09
216.22, -9.415e-09
218.22, -9.493e-09
220.22, -9.568e-09
222.22, -9.643e-09
224.22, -9.717e-09
226.23, -9.789e-09
228.23, -9.861e-09
230.23, -9.938e-09
232.23, -1.0012e-08
234.23, -1.0087e-08
236.24, -1.0162e-08
238.24, -1.0237e-08
240.24, -1.0312e-08
242.24, -1.039e-08
244.24, -1.0462e-08
246.25, -1.0537e-08
248.25, -1.0611e-08
250.25, -1.0682e-08
252.25, -1.0753e-08
254.25, -1.0823e-08
256.26, -1.0895e-08
258.26, -1.0965e-08
260.26, -1.1041e-08
262.26, -1.1122e-08
264.26, -1.1196e-08
266.27, -1.1268e-08
268.27, -1.1342e-08
270.27, -1.1414e-08
272.27, -1.1488e-08
274.27, -1.1562e-08
276.28, -1.1639e-08
278.28, -1.172e-08
280.28, -1.1794e-08
282.28, -1.1867e-08
284.28, -1.1943e-08
286.29, -1.2012e-08
288.29, -1.2089e-08
290.29, -1.2162e-08
292.29, -1.2231e-08
294.29, -1.2298e-08
296.3, -1.2373e-08
298.3, -1.2443e-08
300.3, -1.2511e-08
302.3, -1.2579e-08
304.3, -1.2647e-08
306.31, -1.272e-08
308.31, -1.279e-08
310.31, -1.2858e-08
312.31, -1.2925e-08
314.31, -1.2995e-08
316.32, -1.306e-08
318.32, -1.3128e-08
320.32, -1.3203e-08
322.32, -1.3276e-08
324.32, -1.3347e-08
326.33, -1.3418e-08
328.33, -1.3486e-08
330.33, -1.3552e-08
332.33, -1.3616e-08
334.33, -1.3686e-08
336.34, -1.3763e-08
338.34, -1.3829e-08
340.34, -1.3895e-08
342.34, -1.3962e-08
344.34, -1.4033e-08
346.35, -1.4109e-08
348.35, -1.418e-08
350.35, -1.4253e-08
352.35, -1.4324e-08
354.35, -1.4401e-08
356.36, -1.4475e-08
358.36, -1.4554e-08
360.36, -1.4634e-08
362.36, -1.4711e-08
364.36, -1.479e-08
366.37, -1.4868e-08
368.37, -1.4941e-08
370.37, -1.5012e-08
372.37, -1.5077e-08
374.37, -1.5153e-08
376.38, -1.5224e-08
378.38, -1.5301e-08
380.38, -1.5374e-08
382.38, -1.5447e-08
384.38, -1.5523e-08
386.39, -1.5598e-08
