Time sep (s?), Charge (C)
1.97168, 4.056442e-11
2.104492, 4.12849e-11
2.234375, 4.308581e-11
2.363281, 4.30856e-11
2.493164, 4.104473e-11
2.62207, 4.356609e-11
2.750977, 3.720245e-11
2.882813, 3.660226e-11
3.012695, -1.597442e-08
3.141602, -1.5968e-08
3.271484, -1.595998e-08
3.404297, -1.596186e-08
3.53418, -1.596384e-08
3.663086, -1.59644e-08
3.794922, -1.595879e-08
3.926758, -1.596114e-08
4.055664, -1.596112e-08
4.18457, -1.596433e-08
4.31543, -1.596199e-08
4.445313, -1.59678e-08
4.577148, -1.596326e-08
4.708008, -1.596575e-08
4.84082, -1.595818e-08
4.972656, -3.176233e-08
5.100586, -3.177395e-08
5.230469, -3.177892e-08
5.360352, -3.177432e-08
5.490234, -3.177504e-08
5.619141, -3.177754e-08
5.749023, -3.177489e-08
5.879883, -3.178016e-08
6.009766, -3.177685e-08
6.139648, -3.177342e-08
6.270508, -3.177268e-08
6.402344, -3.177666e-08
6.53125, -3.177549e-08
6.661133, -3.177152e-08
6.791992, -3.177826e-08
6.922852, -4.278611e-08
7.052734, -4.81997e-08
7.183594, -4.819889e-08
7.314453, -4.819994e-08
7.445313, -4.819496e-08
7.574219, -4.819481e-08
7.706055, -4.81924e-08
7.836914, -4.820041e-08
7.96582, -4.81985e-08
8.09668, -4.818925e-08
8.226563, -4.819182e-08
8.356445, -4.818847e-08
8.484375, -4.819621e-08
8.616211, -4.819251e-08
8.746094, -4.81999e-08
8.876953, -4.823907e-08
9.006836, -6.478415e-08
9.144531, -6.478353e-08
9.276367, -6.477799e-08
9.408203, -6.478049e-08
9.539063, -6.47853e-08
9.669922, -6.477595e-08
9.800781, -6.477966e-08
9.929688, -6.477887e-08
10.06152, -6.47831e-08
10.19238, -6.47741e-08
10.32324, -6.477958e-08
10.45215, -6.477815e-08
10.58301, -6.477875e-08
10.71387, -6.477856e-08
10.84473, -6.477958e-08
10.97363, -8.058041e-08
11.10449, -8.05834e-08
11.23438, -8.057626e-08
11.36621, -8.057657e-08
11.49512, -8.057599e-08
11.62598, -8.057791e-08
11.75586, -8.05688e-08
11.8877, -8.05748e-08
12.01855, -8.056962e-08
12.14941, -8.057138e-08
12.28125, -8.05767e-08
12.41016, -8.057496e-08
12.54199, -8.05709e-08
12.67285, -8.056875e-08
12.80469, -8.057116e-08
12.93359, -8.057259e-08
13.06543, -8.056639e-08
13.19629, -8.056768e-08
13.32715, -8.057525e-08
