Wavelength(nm), SC photons / PD electrons
350.0, 18.498061215724952
355.0, 19.451036884940017
360.0, 19.98629840091333
365.0, 19.11605702841134
370.0, 20.09443142138489
380.0, 18.568872501546966
385.0, 18.175050268868407
390.0, 17.84880570460602
395.0, 16.567753752385165
400.0, 15.970374326824919
405.0, 16.057790196666502
410.0, 15.346019405243355
415.0, 14.347974753356889
420.0, 12.443838133503832
425.0, 12.397753290296327
430.0, 11.814445471165188
435.0, 11.122433847679224
440.0, 10.215241385110653
445.0, 9.813197284707318
450.0, 9.30090241446749
455.0, 9.708882404461274
460.0, 8.969405751584961
465.0, 9.68832104672642
470.0, 8.562496948936047
475.0, 8.546950660601434
480.0, 8.518043174564585
485.0, 8.895138717464473
490.0, 9.16601999623497
495.0, 8.569102883003167
500.0, 8.110824643719322
505.0, 7.729745473958449
510.0, 7.417124575612539
515.0, 7.275457910134378
520.0, 8.031859153926629
525.0, 7.464861628032313
530.0, 6.450496834791422
535.0, 6.732856128332747
540.0, 6.7096293991780325
545.0, 13.07764058686959
550.0, 6.390784990065373
555.0, 6.062216074687554
560.0, 6.012015584908614
565.0, 7.16661835545246
570.0, 6.291349700222613
575.0, 6.085593255239687
580.0, 5.919570722436848
590.0, 5.797357533070746
595.0, 5.994388022725288
600.0, 5.8272091819005
605.0, 5.5849598101848015
610.0, 5.26184221531506
615.0, 5.4504992339534875
620.0, 5.146793868089041
625.0, 5.281670861591763
635.0, 5.282647239686435
640.0, 5.051670446964898
645.0, 5.069445406201421
650.0, 4.824397850279009
655.0, 4.4616995746058015
660.0, 4.555873258041991
665.0, 4.602586194773361
670.0, 4.530099647470268
675.0, 4.492621031562801
680.0, 4.272316513682184
685.0, 4.213700382889757
695.0, 3.9944926254633226
700.0, 4.385897576580236
705.0, 4.021513947374751
710.0, 4.187592116459445
715.0, 3.8371463694629324
720.0, 3.9293892365286824
725.0, 3.8032081681073078
730.0, 3.7085190925693996
735.0, 3.6959720553540945
740.0, 3.678412895011654
745.0, 3.9940865760419832
750.0, 4.024777208162963
755.0, 3.5352118329451248
760.0, 3.6375156960652073
765.0, 3.4817498603462336
770.0, 3.558596208318726
775.0, 3.540224863143539
780.0, 3.782196973564728
785.0, 3.485377168361405
790.0, 3.6362658490117377
795.0, 3.489944386683715
800.0, 3.444875050378023
805.0, 3.4122438399305777
810.0, 3.4230910199787306
815.0, 3.7456905809097756
820.0, 3.4486432201617054
825.0, 3.264589104572382
830.0, 3.8034639682831943
835.0, 3.52960131652327
840.0, 3.4312905342046713
845.0, 3.587673751489917
850.0, 3.679543112281132
855.0, 4.404915075338415
860.0, 4.114868044769066
865.0, 3.5058070569256254
870.0, 3.690998874940305
875.0, 3.4680747408832233
880.0, 3.5875321079853415
885.0, 3.5692353695270884
890.0, 3.59168538985245
895.0, 3.5249571569679072
900.0, 3.8821506519769726
905.0, 3.681236664276375
910.0, 3.9125923679874126
915.0, 3.752774031300961
920.0, 4.027269601907163
925.0, 3.8207245120359032
930.0, 3.8086672757179585
935.0, 3.804199742954906
940.0, 3.9545334713633276
945.0, 4.1120087932485
950.0, 4.058420553020551
955.0, 4.096924465387892
960.0, 4.8038581286558175
965.0, 4.2384409280567406
970.0, 4.412671957967215
975.0, 4.403802227153673
980.0, 4.488363720403836
985.0, 4.981333511138692
990.0, 4.739635561637979
995.0, 5.150896640764735
1000.0, 5.58228247396511
1005.0, 5.3279281334625095
1010.0, 5.491222468477054
1015.0, 5.743177884141006
1020.0, 5.905247874250579
1025.0, 6.205462148729688
1030.0, 6.681110716326554
1035.0, 7.11679018762689
1040.0, 9.138753643279438
1045.0, 9.44161840417228
