Time sep (ms?), Charge (C)
0.0, -1.229e-09
2.002, -1.335e-09
4.004, -1.44e-09
6.006, -1.546e-09
8.008, -1.649e-09
10.01, -1.752e-09
12.012, -1.855e-09
14.014, -1.961e-09
16.016, -2.061e-09
18.018, -2.16e-09
20.02, -2.26e-09
22.022, -2.365e-09
24.024, -2.465e-09
26.026, -2.568e-09
28.028, -2.67e-09
30.03, -2.771e-09
32.032, -2.869e-09
34.034, -2.967e-09
36.036, -3.059e-09
38.038, -3.156e-09
40.04, -3.254e-09
42.042, -3.351e-09
44.044, -3.449e-09
46.046, -3.544e-09
48.048, -3.641e-09
50.05, -3.735e-09
52.052, -3.835e-09
54.054, -3.928e-09
56.056, -4.025e-09
58.058, -4.12e-09
60.06, -4.211e-09
62.062, -4.307e-09
64.064, -4.404e-09
66.066, -4.504e-09
68.068, -4.604e-09
70.07, -4.698e-09
72.072, -4.786e-09
74.074, -4.878e-09
76.076, -4.972e-09
78.078, -5.063e-09
80.08, -5.152e-09
82.082, -5.242e-09
84.084, -5.332e-09
86.086, -5.42e-09
88.088, -5.509e-09
90.09, -5.602e-09
92.092, -5.693e-09
94.094, -5.787e-09
96.096, -5.887e-09
98.098, -5.985e-09
100.1, -6.083e-09
102.1, -6.18e-09
104.1, -6.273e-09
106.11, -6.366e-09
108.11, -6.462e-09
110.11, -6.555e-09
112.11, -6.65e-09
114.11, -6.747e-09
116.12, -6.84e-09
118.12, -6.937e-09
120.12, -7.036e-09
122.12, -7.138e-09
124.12, -7.237e-09
126.13, -7.337e-09
128.13, -7.436e-09
130.13, -7.534e-09
132.13, -7.627e-09
134.13, -7.721e-09
136.14, -7.819e-09
138.14, -7.915e-09
140.14, -8.009e-09
142.14, -8.1e-09
144.14, -8.194e-09
146.15, -8.289e-09
148.15, -8.379e-09
150.15, -8.466e-09
152.15, -8.552e-09
154.15, -8.643e-09
156.16, -8.735e-09
158.16, -8.833e-09
160.16, -8.931e-09
162.16, -9.024e-09
164.16, -9.117e-09
166.17, -9.21e-09
168.17, -9.304e-09
170.17, -9.401e-09
172.17, -9.498e-09
174.17, -9.589e-09
176.18, -9.682e-09
178.18, -9.774e-09
180.18, -9.867e-09
182.18, -9.962e-09
184.18, -1.005e-08
186.19, -1.0142e-08
188.19, -1.0237e-08
190.19, -1.0328e-08
192.19, -1.0421e-08
194.19, -1.0515e-08
196.2, -1.0614e-08
198.2, -1.0706e-08
200.2, -1.0801e-08
202.2, -1.0899e-08
204.2, -1.0991e-08
206.21, -1.1087e-08
208.21, -1.1187e-08
210.21, -1.129e-08
212.21, -1.1388e-08
214.21, -1.1486e-08
216.22, -1.1589e-08
218.22, -1.1688e-08
220.22, -1.1786e-08
222.22, -1.1882e-08
224.22, -1.1977e-08
226.23, -1.2075e-08
228.23, -1.2172e-08
230.23, -1.2266e-08
232.23, -1.236e-08
234.23, -1.2452e-08
236.24, -1.2545e-08
238.24, -1.2639e-08
240.24, -1.2736e-08
242.24, -1.2832e-08
244.24, -1.2924e-08
246.25, -1.3015e-08
248.25, -1.3114e-08
250.25, -1.3213e-08
252.25, -1.3311e-08
254.25, -1.3405e-08
256.26, -1.3502e-08
258.26, -1.3594e-08
260.26, -1.3685e-08
262.26, -1.3778e-08
264.26, -1.3873e-08
266.27, -1.3967e-08
268.27, -1.4063e-08
270.27, -1.4165e-08
272.27, -1.4266e-08
274.27, -1.4365e-08
276.28, -1.4465e-08
278.28, -1.4565e-08
280.28, -1.4666e-08
282.28, -1.477e-08
284.28, -1.4867e-08
286.29, -1.4967e-08
288.29, -1.5064e-08
290.29, -1.5163e-08
292.29, -1.5265e-08
294.29, -1.5364e-08
296.3, -1.5458e-08
298.3, -1.5557e-08
300.3, -1.5657e-08
302.3, -1.5751e-08
304.3, -1.5851e-08
306.31, -1.5946e-08
308.31, -1.6041e-08
310.31, -1.6138e-08
312.31, -1.6232e-08
314.31, -1.6325e-08
316.32, -1.6415e-08
318.32, -1.6505e-08
320.32, -1.6596e-08
322.32, -1.6688e-08
324.32, -1.6782e-08
326.33, -1.6879e-08
328.33, -1.6975e-08
330.33, -1.7071e-08
332.33, -1.7169e-08
334.33, -1.7265e-08
336.34, -1.7355e-08
338.34, -1.7444e-08
340.34, -1.7534e-08
342.34, -1.7626e-08
344.34, -1.772e-08
346.35, -1.7815e-08
348.35, -1.7913e-08
350.35, -1.8009e-08
352.35, -1.8102e-08
354.35, -1.8196e-08
356.36, -1.8286e-08
358.36, -1.8381e-08
360.36, -1.8476e-08
362.36, -1.857e-08
364.36, -1.866e-08
366.37, -1.875e-08
368.37, -1.8837e-08
370.37, -1.8924e-08
372.37, -1.9008e-08
374.37, -1.9096e-08
376.38, -1.9184e-08
378.38, -1.9277e-08
380.38, -1.9366e-08
382.38, -1.9461e-08
384.38, -1.9553e-08
386.39, -1.9645e-08
388.39, -1.9736e-08
390.39, -1.9831e-08
392.39, -1.9917e-08
394.39, -2.0006e-08
396.4, -2.0094e-08
398.4, -2.0183e-08
400.4, -2.0277e-08
402.4, -2.0374e-08
404.4, -2.0466e-08
406.41, -2.056e-08
408.41, -2.0652e-08
410.41, -2.0747e-08
412.41, -2.0843e-08
414.41, -2.0934e-08
416.42, -2.1027e-08
418.42, -2.112e-08
420.42, -2.1212e-08
422.42, -2.1303e-08
424.42, -2.139e-08
426.43, -2.1487e-08
428.43, -2.158e-08
430.43, -2.167e-08
432.43, -2.1759e-08
434.43, -2.1849e-08
436.44, -2.1941e-08
438.44, -2.2032e-08
440.44, -2.2127e-08
442.44, -2.2222e-08
444.44, -2.2317e-08
446.45, -2.2411e-08
448.45, -2.2509e-08
450.45, -2.2602e-08
452.45, -2.2695e-08
454.45, -2.2786e-08
